Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
25006LRa064_T2T06_PoreC_05350	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 93.0)	(4, 92.0)	(5, 91.0)	(6, 90.0)	(7, 88.0)	(8, 85.0)	(9, 81.0)	(10, 77.0)	(11, 73.0)	(12, 67.0)	(13, 62.0)	(14, 56.00000000000001)	(15, 51.0)	(16, 45.0)	(17, 41.0)	(18, 36.0)	(19, 32.0)	(20, 28.000000000000004)	(21, 25.0)	(22, 22.0)	(23, 20.0)	(24, 18.0)	(25, 16.0)	(26, 14.000000000000002)	(27, 12.0)	(28, 11.0)	(29, 10.0)	(30, 8.0)	(31, 7.000000000000001)	(32, 7.000000000000001)	(33, 6.0)	(34, 5.0)	(35, 4.0)	(36, 4.0)	(37, 3.0)	(38, 3.0)	(39, 3.0)	(40, 2.0)	(41, 2.0)	(42, 2.0)	(43, 1.0)	(44, 1.0)	(45, 1.0)	(46, 1.0)	(47, 1.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)																																	
25006LRa065_T2T07_05351_PoreC	(0, 100.0)	(1, 94.0)	(2, 93.0)	(3, 92.0)	(4, 92.0)	(5, 92.0)	(6, 92.0)	(7, 92.0)	(8, 92.0)	(9, 91.0)	(10, 91.0)	(11, 91.0)	(12, 90.0)	(13, 90.0)	(14, 90.0)	(15, 89.0)	(16, 89.0)	(17, 88.0)	(18, 87.0)	(19, 86.0)	(20, 85.0)	(21, 84.0)	(22, 82.0)	(23, 81.0)	(24, 79.0)	(25, 78.0)	(26, 76.0)	(27, 74.0)	(28, 72.0)	(29, 70.0)	(30, 67.0)	(31, 65.0)	(32, 62.0)	(33, 60.0)	(34, 56.99999999999999)	(35, 55.00000000000001)	(36, 52.0)	(37, 49.0)	(38, 46.0)	(39, 43.0)	(40, 40.0)	(41, 37.0)	(42, 34.0)	(43, 32.0)	(44, 28.999999999999996)	(45, 26.0)	(46, 23.0)	(47, 21.0)	(48, 18.0)	(49, 16.0)	(50, 14.000000000000002)	(51, 12.0)	(52, 11.0)	(53, 9.0)	(54, 8.0)	(55, 7.000000000000001)	(56, 6.0)	(57, 5.0)	(58, 4.0)	(59, 3.0)	(60, 3.0)	(61, 3.0)	(62, 2.0)	(63, 2.0)	(64, 2.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
25006LRa065_T2T07_PoreC_05351	(0, 100.0)	(1, 94.0)	(2, 93.0)	(3, 92.0)	(4, 92.0)	(5, 92.0)	(6, 92.0)	(7, 92.0)	(8, 92.0)	(9, 91.0)	(10, 91.0)	(11, 91.0)	(12, 90.0)	(13, 90.0)	(14, 90.0)	(15, 89.0)	(16, 89.0)	(17, 88.0)	(18, 87.0)	(19, 86.0)	(20, 85.0)	(21, 84.0)	(22, 82.0)	(23, 81.0)	(24, 79.0)	(25, 78.0)	(26, 76.0)	(27, 74.0)	(28, 72.0)	(29, 70.0)	(30, 67.0)	(31, 65.0)	(32, 62.0)	(33, 60.0)	(34, 56.99999999999999)	(35, 55.00000000000001)	(36, 52.0)	(37, 49.0)	(38, 46.0)	(39, 43.0)	(40, 40.0)	(41, 37.0)	(42, 34.0)	(43, 32.0)	(44, 28.999999999999996)	(45, 26.0)	(46, 23.0)	(47, 21.0)	(48, 18.0)	(49, 16.0)	(50, 14.000000000000002)	(51, 12.0)	(52, 11.0)	(53, 9.0)	(54, 8.0)	(55, 7.000000000000001)	(56, 6.0)	(57, 5.0)	(58, 4.0)	(59, 3.0)	(60, 3.0)	(61, 3.0)	(62, 2.0)	(63, 2.0)	(64, 2.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
25006LRa078_T2T04_PoreC_05377	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 93.0)	(7, 92.0)	(8, 92.0)	(9, 91.0)	(10, 91.0)	(11, 90.0)	(12, 89.0)	(13, 88.0)	(14, 87.0)	(15, 86.0)	(16, 84.0)	(17, 82.0)	(18, 80.0)	(19, 78.0)	(20, 76.0)	(21, 73.0)	(22, 70.0)	(23, 67.0)	(24, 64.0)	(25, 60.0)	(26, 56.99999999999999)	(27, 53.0)	(28, 50.0)	(29, 46.0)	(30, 43.0)	(31, 39.0)	(32, 36.0)	(33, 32.0)	(34, 28.999999999999996)	(35, 26.0)	(36, 23.0)	(37, 20.0)	(38, 18.0)	(39, 15.0)	(40, 13.0)	(41, 11.0)	(42, 10.0)	(43, 8.0)	(44, 7.000000000000001)	(45, 6.0)	(46, 5.0)	(47, 4.0)	(48, 3.0)	(49, 3.0)	(50, 2.0)	(51, 2.0)	(52, 2.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)																					
25006LRa079_T2T04_PoreC_05378	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 92.0)	(7, 92.0)	(8, 91.0)	(9, 90.0)	(10, 89.0)	(11, 88.0)	(12, 87.0)	(13, 85.0)	(14, 84.0)	(15, 81.0)	(16, 79.0)	(17, 76.0)	(18, 73.0)	(19, 70.0)	(20, 67.0)	(21, 63.0)	(22, 59.0)	(23, 55.00000000000001)	(24, 51.0)	(25, 47.0)	(26, 43.0)	(27, 40.0)	(28, 36.0)	(29, 32.0)	(30, 28.000000000000004)	(31, 25.0)	(32, 22.0)	(33, 19.0)	(34, 16.0)	(35, 14.000000000000002)	(36, 12.0)	(37, 10.0)	(38, 8.0)	(39, 7.000000000000001)	(40, 6.0)	(41, 5.0)	(42, 4.0)	(43, 3.0)	(44, 3.0)	(45, 2.0)	(46, 2.0)	(47, 1.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)																														
25006LRa079_T2T04_PoreC_06050	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 93.0)	(7, 92.0)	(8, 92.0)	(9, 91.0)	(10, 91.0)	(11, 90.0)	(12, 89.0)	(13, 88.0)	(14, 87.0)	(15, 85.0)	(16, 84.0)	(17, 82.0)	(18, 80.0)	(19, 78.0)	(20, 75.0)	(21, 72.0)	(22, 70.0)	(23, 67.0)	(24, 63.0)	(25, 60.0)	(26, 56.99999999999999)	(27, 53.0)	(28, 50.0)	(29, 46.0)	(30, 43.0)	(31, 39.0)	(32, 36.0)	(33, 33.0)	(34, 30.0)	(35, 27.0)	(36, 24.0)	(37, 21.0)	(38, 18.0)	(39, 16.0)	(40, 14.000000000000002)	(41, 12.0)	(42, 10.0)	(43, 9.0)	(44, 7.000000000000001)	(45, 6.0)	(46, 5.0)	(47, 4.0)	(48, 4.0)	(49, 3.0)	(50, 2.0)	(51, 2.0)	(52, 2.0)	(53, 2.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)																			
25006LRa080_T2T08_PoreC_05379	(0, 100.0)	(1, 93.0)	(2, 92.0)	(3, 92.0)	(4, 92.0)	(5, 91.0)	(6, 91.0)	(7, 90.0)	(8, 89.0)	(9, 87.0)	(10, 85.0)	(11, 82.0)	(12, 79.0)	(13, 75.0)	(14, 70.0)	(15, 65.0)	(16, 59.0)	(17, 54.0)	(18, 48.0)	(19, 42.0)	(20, 37.0)	(21, 32.0)	(22, 27.0)	(23, 23.0)	(24, 20.0)	(25, 16.0)	(26, 13.0)	(27, 11.0)	(28, 9.0)	(29, 7.000000000000001)	(30, 6.0)	(31, 4.0)	(32, 3.0)	(33, 3.0)	(34, 2.0)	(35, 2.0)	(36, 1.0)	(37, 1.0)	(38, 1.0)	(39, 1.0)	(40, 1.0)	(41, 1.0)	(42, 1.0)	(43, 1.0)	(44, 1.0)	(45, 1.0)	(46, 1.0)																																												
25006LRa081_T2T09_PoreC_05380	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 92.0)	(10, 92.0)	(11, 92.0)	(12, 91.0)	(13, 91.0)	(14, 90.0)	(15, 90.0)	(16, 89.0)	(17, 88.0)	(18, 87.0)	(19, 86.0)	(20, 85.0)	(21, 84.0)	(22, 83.0)	(23, 81.0)	(24, 79.0)	(25, 77.0)	(26, 74.0)	(27, 71.0)	(28, 69.0)	(29, 66.0)	(30, 62.0)	(31, 59.0)	(32, 56.00000000000001)	(33, 53.0)	(34, 50.0)	(35, 47.0)	(36, 44.0)	(37, 41.0)	(38, 38.0)	(39, 36.0)	(40, 33.0)	(41, 31.0)	(42, 28.999999999999996)	(43, 27.0)	(44, 26.0)	(45, 24.0)	(46, 22.0)	(47, 21.0)	(48, 19.0)	(49, 18.0)	(50, 17.0)	(51, 16.0)	(52, 15.0)	(53, 14.000000000000002)	(54, 13.0)	(55, 12.0)	(56, 11.0)	(57, 10.0)	(58, 9.0)	(59, 9.0)	(60, 8.0)	(61, 7.000000000000001)	(62, 7.000000000000001)	(63, 6.0)	(64, 6.0)	(65, 5.0)	(66, 5.0)	(67, 4.0)	(68, 4.0)	(69, 4.0)	(70, 3.0)	(71, 3.0)	(72, 3.0)	(73, 2.0)	(74, 2.0)	(75, 2.0)	(76, 2.0)	(77, 2.0)	(78, 2.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
25006LRa082_T2T10_PoreC_05381	(0, 100.0)	(1, 93.0)	(2, 93.0)	(3, 92.0)	(4, 92.0)	(5, 92.0)	(6, 92.0)	(7, 91.0)	(8, 91.0)	(9, 90.0)	(10, 90.0)	(11, 89.0)	(12, 88.0)	(13, 87.0)	(14, 85.0)	(15, 84.0)	(16, 81.0)	(17, 79.0)	(18, 76.0)	(19, 73.0)	(20, 70.0)	(21, 67.0)	(22, 63.0)	(23, 60.0)	(24, 56.99999999999999)	(25, 53.0)	(26, 50.0)	(27, 47.0)	(28, 44.0)	(29, 41.0)	(30, 39.0)	(31, 36.0)	(32, 34.0)	(33, 31.0)	(34, 28.999999999999996)	(35, 27.0)	(36, 25.0)	(37, 24.0)	(38, 22.0)	(39, 20.0)	(40, 19.0)	(41, 17.0)	(42, 16.0)	(43, 15.0)	(44, 14.000000000000002)	(45, 13.0)	(46, 12.0)	(47, 11.0)	(48, 10.0)	(49, 9.0)	(50, 8.0)	(51, 7.000000000000001)	(52, 7.000000000000001)	(53, 6.0)	(54, 5.0)	(55, 5.0)	(56, 4.0)	(57, 4.0)	(58, 3.0)	(59, 3.0)	(60, 3.0)	(61, 2.0)	(62, 2.0)	(63, 2.0)	(64, 2.0)	(65, 2.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)			
25006LRa095_T2T11_PoreC_05486	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 92.0)	(9, 92.0)	(10, 91.0)	(11, 91.0)	(12, 90.0)	(13, 89.0)	(14, 88.0)	(15, 87.0)	(16, 86.0)	(17, 84.0)	(18, 83.0)	(19, 81.0)	(20, 79.0)	(21, 77.0)	(22, 75.0)	(23, 73.0)	(24, 70.0)	(25, 68.0)	(26, 65.0)	(27, 63.0)	(28, 60.0)	(29, 56.99999999999999)	(30, 55.00000000000001)	(31, 52.0)	(32, 49.0)	(33, 46.0)	(34, 43.0)	(35, 40.0)	(36, 37.0)	(37, 34.0)	(38, 31.0)	(39, 28.999999999999996)	(40, 26.0)	(41, 23.0)	(42, 21.0)	(43, 18.0)	(44, 16.0)	(45, 14.000000000000002)	(46, 12.0)	(47, 11.0)	(48, 9.0)	(49, 8.0)	(50, 7.000000000000001)	(51, 6.0)	(52, 5.0)	(53, 4.0)	(54, 3.0)	(55, 3.0)	(56, 2.0)	(57, 2.0)	(58, 2.0)	(59, 2.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)					
25006LRa096_T2T11_PoreC_05487	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 94.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 93.0)	(10, 92.0)	(11, 92.0)	(12, 92.0)	(13, 91.0)	(14, 91.0)	(15, 91.0)	(16, 90.0)	(17, 90.0)	(18, 89.0)	(19, 88.0)	(20, 87.0)	(21, 87.0)	(22, 86.0)	(23, 84.0)	(24, 83.0)	(25, 82.0)	(26, 81.0)	(27, 79.0)	(28, 78.0)	(29, 76.0)	(30, 75.0)	(31, 73.0)	(32, 71.0)	(33, 69.0)	(34, 68.0)	(35, 66.0)	(36, 64.0)	(37, 62.0)	(38, 60.0)	(39, 57.99999999999999)	(40, 56.00000000000001)	(41, 54.0)	(42, 51.0)	(43, 49.0)	(44, 47.0)	(45, 45.0)	(46, 43.0)	(47, 40.0)	(48, 38.0)	(49, 36.0)	(50, 34.0)	(51, 32.0)	(52, 28.999999999999996)	(53, 27.0)	(54, 25.0)	(55, 23.0)	(56, 21.0)	(57, 19.0)	(58, 17.0)	(59, 16.0)	(60, 14.000000000000002)	(61, 12.0)	(62, 11.0)	(63, 10.0)	(64, 8.0)	(65, 7.000000000000001)	(66, 6.0)	(67, 6.0)	(68, 5.0)	(69, 4.0)	(70, 4.0)	(71, 3.0)	(72, 3.0)	(73, 2.0)	(74, 2.0)	(75, 2.0)	(76, 2.0)	(77, 2.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
25006LRa097_T2T04_1_PoreC_05488	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 93.0)	(5, 93.0)	(6, 92.0)	(7, 92.0)	(8, 91.0)	(9, 90.0)	(10, 89.0)	(11, 88.0)	(12, 86.0)	(13, 85.0)	(14, 83.0)	(15, 81.0)	(16, 78.0)	(17, 76.0)	(18, 73.0)	(19, 70.0)	(20, 66.0)	(21, 62.0)	(22, 59.0)	(23, 54.0)	(24, 50.0)	(25, 46.0)	(26, 41.0)	(27, 37.0)	(28, 32.0)	(29, 28.000000000000004)	(30, 24.0)	(31, 21.0)	(32, 17.0)	(33, 14.000000000000002)	(34, 12.0)	(35, 9.0)	(36, 8.0)	(37, 6.0)	(38, 5.0)	(39, 4.0)	(40, 3.0)	(41, 2.0)	(42, 2.0)	(43, 2.0)	(44, 1.0)	(45, 1.0)	(46, 1.0)	(47, 1.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)																																				
25006LRa098_T2T04_1_PoreC_05489	(0, 100.0)	(1, 95.0)	(2, 94.0)	(3, 94.0)	(4, 94.0)	(5, 93.0)	(6, 93.0)	(7, 93.0)	(8, 93.0)	(9, 92.0)	(10, 92.0)	(11, 92.0)	(12, 91.0)	(13, 91.0)	(14, 90.0)	(15, 90.0)	(16, 89.0)	(17, 88.0)	(18, 87.0)	(19, 86.0)	(20, 85.0)	(21, 84.0)	(22, 83.0)	(23, 81.0)	(24, 80.0)	(25, 78.0)	(26, 77.0)	(27, 75.0)	(28, 73.0)	(29, 71.0)	(30, 69.0)	(31, 67.0)	(32, 64.0)	(33, 62.0)	(34, 59.0)	(35, 56.00000000000001)	(36, 53.0)	(37, 50.0)	(38, 47.0)	(39, 44.0)	(40, 41.0)	(41, 38.0)	(42, 35.0)	(43, 31.0)	(44, 28.000000000000004)	(45, 25.0)	(46, 22.0)	(47, 20.0)	(48, 17.0)	(49, 15.0)	(50, 13.0)	(51, 11.0)	(52, 9.0)	(53, 8.0)	(54, 7.000000000000001)	(55, 5.0)	(56, 5.0)	(57, 4.0)	(58, 3.0)	(59, 3.0)	(60, 2.0)	(61, 2.0)	(62, 2.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)							
25006LRa099_T2T04_2_PoreC_05490	(0, 100.0)	(1, 94.0)	(2, 93.0)	(3, 93.0)	(4, 93.0)	(5, 92.0)	(6, 92.0)	(7, 92.0)	(8, 92.0)	(9, 92.0)	(10, 92.0)	(11, 91.0)	(12, 91.0)	(13, 91.0)	(14, 90.0)	(15, 90.0)	(16, 89.0)	(17, 88.0)	(18, 88.0)	(19, 87.0)	(20, 85.0)	(21, 84.0)	(22, 83.0)	(23, 81.0)	(24, 79.0)	(25, 77.0)	(26, 75.0)	(27, 73.0)	(28, 70.0)	(29, 68.0)	(30, 66.0)	(31, 63.0)	(32, 61.0)	(33, 57.99999999999999)	(34, 56.00000000000001)	(35, 53.0)	(36, 51.0)	(37, 49.0)	(38, 46.0)	(39, 44.0)	(40, 42.0)	(41, 40.0)	(42, 38.0)	(43, 36.0)	(44, 34.0)	(45, 32.0)	(46, 30.0)	(47, 28.000000000000004)	(48, 26.0)	(49, 24.0)	(50, 23.0)	(51, 21.0)	(52, 20.0)	(53, 18.0)	(54, 17.0)	(55, 15.0)	(56, 14.000000000000002)	(57, 13.0)	(58, 11.0)	(59, 10.0)	(60, 9.0)	(61, 8.0)	(62, 7.000000000000001)	(63, 7.000000000000001)	(64, 6.0)	(65, 5.0)	(66, 5.0)	(67, 4.0)	(68, 4.0)	(69, 3.0)	(70, 3.0)	(71, 2.0)	(72, 2.0)	(73, 2.0)	(74, 2.0)	(75, 2.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
25006LRa100_T2T04_2_PoreC_05491	(0, 100.0)	(1, 94.0)	(2, 93.0)	(3, 93.0)	(4, 92.0)	(5, 92.0)	(6, 92.0)	(7, 92.0)	(8, 91.0)	(9, 91.0)	(10, 90.0)	(11, 90.0)	(12, 89.0)	(13, 88.0)	(14, 86.0)	(15, 85.0)	(16, 83.0)	(17, 81.0)	(18, 78.0)	(19, 76.0)	(20, 73.0)	(21, 70.0)	(22, 67.0)	(23, 64.0)	(24, 60.0)	(25, 56.99999999999999)	(26, 54.0)	(27, 51.0)	(28, 48.0)	(29, 45.0)	(30, 42.0)	(31, 39.0)	(32, 36.0)	(33, 34.0)	(34, 31.0)	(35, 28.999999999999996)	(36, 26.0)	(37, 24.0)	(38, 22.0)	(39, 20.0)	(40, 18.0)	(41, 16.0)	(42, 14.000000000000002)	(43, 13.0)	(44, 11.0)	(45, 10.0)	(46, 9.0)	(47, 7.000000000000001)	(48, 6.0)	(49, 6.0)	(50, 5.0)	(51, 4.0)	(52, 4.0)	(53, 3.0)	(54, 3.0)	(55, 2.0)	(56, 2.0)	(57, 2.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 1.0)	(62, 1.0)	(63, 1.0)	(64, 1.0)	(65, 1.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(69, 1.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)											
25006LRa112_T2T13_PoreC_05519	(0, 100.0)	(1, 94.0)	(2, 93.0)	(3, 93.0)	(4, 92.0)	(5, 92.0)	(6, 92.0)	(7, 92.0)	(8, 92.0)	(9, 92.0)	(10, 91.0)	(11, 91.0)	(12, 91.0)	(13, 91.0)	(14, 91.0)	(15, 90.0)	(16, 90.0)	(17, 90.0)	(18, 89.0)	(19, 89.0)	(20, 88.0)	(21, 88.0)	(22, 87.0)	(23, 86.0)	(24, 86.0)	(25, 85.0)	(26, 84.0)	(27, 82.0)	(28, 81.0)	(29, 80.0)	(30, 78.0)	(31, 77.0)	(32, 75.0)	(33, 73.0)	(34, 71.0)	(35, 69.0)	(36, 67.0)	(37, 65.0)	(38, 62.0)	(39, 60.0)	(40, 56.99999999999999)	(41, 55.00000000000001)	(42, 52.0)	(43, 49.0)	(44, 46.0)	(45, 44.0)	(46, 41.0)	(47, 38.0)	(48, 35.0)	(49, 32.0)	(50, 28.999999999999996)	(51, 27.0)	(52, 24.0)	(53, 22.0)	(54, 19.0)	(55, 17.0)	(56, 15.0)	(57, 13.0)	(58, 11.0)	(59, 10.0)	(60, 8.0)	(61, 7.000000000000001)	(62, 6.0)	(63, 5.0)	(64, 4.0)	(65, 4.0)	(66, 3.0)	(67, 3.0)	(68, 2.0)	(69, 2.0)	(70, 2.0)	(71, 2.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
25006LRa112_T2T13_PoreC_06055	(0, 100.0)	(1, 93.0)	(2, 92.0)	(3, 92.0)	(4, 92.0)	(5, 91.0)	(6, 91.0)	(7, 91.0)	(8, 90.0)	(9, 89.0)	(10, 88.0)	(11, 87.0)	(12, 86.0)	(13, 84.0)	(14, 82.0)	(15, 79.0)	(16, 77.0)	(17, 73.0)	(18, 70.0)	(19, 66.0)	(20, 62.0)	(21, 57.99999999999999)	(22, 53.0)	(23, 49.0)	(24, 44.0)	(25, 39.0)	(26, 35.0)	(27, 30.0)	(28, 26.0)	(29, 22.0)	(30, 19.0)	(31, 15.0)	(32, 13.0)	(33, 10.0)	(34, 8.0)	(35, 7.000000000000001)	(36, 5.0)	(37, 4.0)	(38, 3.0)	(39, 3.0)	(40, 2.0)	(41, 2.0)	(42, 1.0)	(43, 1.0)	(44, 1.0)	(45, 1.0)	(46, 1.0)	(47, 1.0)	(48, 1.0)	(49, 1.0)	(50, 1.0)	(51, 1.0)	(52, 1.0)	(53, 1.0)	(54, 1.0)	(55, 1.0)	(56, 1.0)																																		
25006LRa113_T2T13_PoreC_05520	(0, 100.0)	(1, 94.0)	(2, 93.0)	(3, 93.0)	(4, 92.0)	(5, 92.0)	(6, 92.0)	(7, 92.0)	(8, 92.0)	(9, 92.0)	(10, 91.0)	(11, 91.0)	(12, 91.0)	(13, 91.0)	(14, 91.0)	(15, 90.0)	(16, 90.0)	(17, 90.0)	(18, 90.0)	(19, 89.0)	(20, 89.0)	(21, 88.0)	(22, 88.0)	(23, 87.0)	(24, 86.0)	(25, 85.0)	(26, 84.0)	(27, 83.0)	(28, 82.0)	(29, 81.0)	(30, 79.0)	(31, 78.0)	(32, 76.0)	(33, 75.0)	(34, 73.0)	(35, 71.0)	(36, 69.0)	(37, 67.0)	(38, 64.0)	(39, 62.0)	(40, 59.0)	(41, 56.99999999999999)	(42, 54.0)	(43, 52.0)	(44, 49.0)	(45, 46.0)	(46, 43.0)	(47, 41.0)	(48, 38.0)	(49, 35.0)	(50, 32.0)	(51, 28.999999999999996)	(52, 27.0)	(53, 24.0)	(54, 22.0)	(55, 19.0)	(56, 17.0)	(57, 15.0)	(58, 13.0)	(59, 12.0)	(60, 10.0)	(61, 9.0)	(62, 7.000000000000001)	(63, 6.0)	(64, 5.0)	(65, 5.0)	(66, 4.0)	(67, 3.0)	(68, 3.0)	(69, 3.0)	(70, 2.0)	(71, 2.0)	(72, 2.0)	(73, 2.0)	(74, 1.0)	(75, 1.0)	(76, 1.0)	(77, 1.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(81, 1.0)	(82, 1.0)	(83, 1.0)	(84, 1.0)	(85, 1.0)	(86, 1.0)	(87, 1.0)	(88, 1.0)	(89, 1.0)	(90, 1.0)
