Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126
25006LRa096_T2T11_PoreC_05487	100.0	95.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	92.0	92.0	92.0	91.0	91.0	91.0	90.0	90.0	89.0	88.0	87.0	87.0	86.0	84.0	83.0	82.0	81.0	79.0	78.0	76.0	75.0	73.0	71.0	69.0	68.0	66.0	64.0	62.0	60.0	57.99999999999999	56.00000000000001	54.0	51.0	49.0	47.0	45.0	43.0	40.0	38.0	36.0	34.0	32.0	28.999999999999996	27.0	25.0	23.0	21.0	19.0	17.0	16.0	14.000000000000002	12.0	11.0	10.0	8.0	7.000000000000001	6.0	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0												
25006LRa097_T2T04_1_PoreC_05488	100.0	95.0	94.0	94.0	93.0	93.0	92.0	92.0	91.0	90.0	89.0	88.0	86.0	85.0	83.0	81.0	78.0	76.0	73.0	70.0	66.0	62.0	59.0	54.0	50.0	46.0	41.0	37.0	32.0	28.000000000000004	24.0	21.0	17.0	14.000000000000002	12.0	9.0	8.0	6.0	5.0	4.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																								
25006LRa098_T2T04_1_PoreC_05489	100.0	95.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	92.0	92.0	92.0	91.0	91.0	90.0	90.0	89.0	88.0	87.0	86.0	85.0	84.0	83.0	81.0	80.0	78.0	77.0	75.0	73.0	71.0	69.0	67.0	64.0	62.0	59.0	56.00000000000001	53.0	50.0	47.0	44.0	41.0	38.0	35.0	31.0	28.000000000000004	25.0	22.0	20.0	17.0	15.0	13.0	11.0	9.0	8.0	7.000000000000001	5.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																											
25006LRa099_T2T04_2_PoreC_05490	100.0	94.0	93.0	93.0	93.0	92.0	92.0	92.0	92.0	92.0	92.0	91.0	91.0	91.0	90.0	90.0	89.0	88.0	88.0	87.0	85.0	84.0	83.0	81.0	79.0	77.0	75.0	73.0	70.0	68.0	66.0	63.0	61.0	57.99999999999999	56.00000000000001	53.0	51.0	49.0	46.0	44.0	42.0	40.0	38.0	36.0	34.0	32.0	30.0	28.000000000000004	26.0	24.0	23.0	21.0	20.0	18.0	17.0	15.0	14.000000000000002	13.0	11.0	10.0	9.0	8.0	7.000000000000001	7.000000000000001	6.0	5.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																					
25006LRa100_T2T04_2_PoreC_05491	100.0	94.0	93.0	93.0	92.0	92.0	92.0	92.0	91.0	91.0	90.0	90.0	89.0	88.0	86.0	85.0	83.0	81.0	78.0	76.0	73.0	70.0	67.0	64.0	60.0	56.99999999999999	54.0	51.0	48.0	45.0	42.0	39.0	36.0	34.0	31.0	28.999999999999996	26.0	24.0	22.0	20.0	18.0	16.0	14.000000000000002	13.0	11.0	10.0	9.0	7.000000000000001	6.0	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																															
25006LRa112_T2T13_PoreC_05519	100.0	94.0	93.0	93.0	92.0	92.0	92.0	92.0	92.0	92.0	91.0	91.0	91.0	91.0	91.0	90.0	90.0	90.0	89.0	89.0	88.0	88.0	87.0	86.0	86.0	85.0	84.0	82.0	81.0	80.0	78.0	77.0	75.0	73.0	71.0	69.0	67.0	65.0	62.0	60.0	56.99999999999999	55.00000000000001	52.0	49.0	46.0	44.0	41.0	38.0	35.0	32.0	28.999999999999996	27.0	24.0	22.0	19.0	17.0	15.0	13.0	11.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																								
25006LRa112_T2T13_PoreC_06055	100.0	93.0	92.0	92.0	92.0	91.0	91.0	91.0	90.0	89.0	88.0	87.0	86.0	84.0	82.0	79.0	77.0	73.0	70.0	66.0	62.0	57.99999999999999	53.0	49.0	44.0	39.0	35.0	30.0	26.0	22.0	19.0	15.0	13.0	10.0	8.0	7.000000000000001	5.0	4.0	3.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																						
25006LRa113_T2T13_PoreC_05520	100.0	94.0	93.0	93.0	92.0	92.0	92.0	92.0	92.0	92.0	91.0	91.0	91.0	91.0	91.0	90.0	90.0	90.0	90.0	89.0	89.0	88.0	88.0	87.0	86.0	85.0	84.0	83.0	82.0	81.0	79.0	78.0	76.0	75.0	73.0	71.0	69.0	67.0	64.0	62.0	59.0	56.99999999999999	54.0	52.0	49.0	46.0	43.0	41.0	38.0	35.0	32.0	28.999999999999996	27.0	24.0	22.0	19.0	17.0	15.0	13.0	12.0	10.0	9.0	7.000000000000001	6.0	5.0	5.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																					
25006LRa116_T2T01_PoreC_05523	100.0	94.0	93.0	93.0	93.0	92.0	92.0	92.0	92.0	92.0	91.0	91.0	91.0	91.0	90.0	90.0	89.0	89.0	88.0	87.0	87.0	86.0	85.0	83.0	82.0	81.0	79.0	78.0	76.0	74.0	72.0	70.0	67.0	65.0	62.0	59.0	56.00000000000001	52.0	49.0	45.0	42.0	38.0	34.0	31.0	27.0	24.0	21.0	18.0	16.0	13.0	11.0	9.0	8.0	7.000000000000001	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																												
25006LRa117_T2T02_PoreC_05524	100.0	95.0	94.0	94.0	94.0	93.0	93.0	93.0	92.0	92.0	91.0	91.0	90.0	89.0	88.0	87.0	85.0	84.0	82.0	79.0	77.0	74.0	71.0	68.0	65.0	62.0	57.99999999999999	55.00000000000001	52.0	48.0	45.0	42.0	40.0	37.0	35.0	32.0	30.0	28.000000000000004	26.0	24.0	23.0	21.0	20.0	18.0	17.0	16.0	14.000000000000002	13.0	12.0	11.0	10.0	9.0	9.0	8.0	7.000000000000001	7.000000000000001	6.0	5.0	5.0	4.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																												
