Sample	UU	MU	MM	NM	NU	NN
25006LRa095_T2T11_PoreC_05486	213262319.0	5124037.0	1789547.0	1591321.0	42568628.0	16744014.0
25006LRa096_T2T11_PoreC_05487	287546544.0	6900761.0	2421750.0	2104241.0	56117277.0	19859277.0
25006LRa097_T2T04_1_PoreC_05488	166015870.0	3478083.0	1448316.0	1181136.0	34654416.0	13134265.0
25006LRa098_T2T04_1_PoreC_05489	255625969.0	5388966.0	2236146.0	1817939.0	53098293.0	20358489.0
25006LRa099_T2T04_2_PoreC_05490	250802700.0	5705449.0	1648552.0	1517498.0	48346025.0	16162102.0
25006LRa100_T2T04_2_PoreC_05491	186563444.0	4249483.0	1228559.0	1160362.0	36927336.0	14248142.0
25006LRa112_T2T13_PoreC_05519	289008467.0	6023327.0	2131234.0	1990939.0	64890797.0	29496340.0
25006LRa112_T2T13_PoreC_06055	155771356.0	3229284.0	1155338.0	1018520.0	33326595.0	12701157.0
25006LRa113_T2T13_PoreC_05520	297493453.0	6194724.0	2206679.0	1980736.0	64417149.0	25354261.0
25006LRa114_T2T14_PoreC_05521	236050158.0	5408854.0	1361222.0	1458283.0	49218501.0	18497584.0
25006LRa115_T2T14_PoreC_05522	297958288.0	6788155.0	1730825.0	1882421.0	63428495.0	25054887.0
25006LRa116_T2T01_PoreC_05523	253672924.0	5013801.0	1924161.0	1675590.0	55744592.0	26812515.0
25006LRa117_T2T02_PoreC_05524	195947987.0	5275191.0	1278250.0	1512211.0	43682261.0	16437369.0
25006LRa118_T2T03_PoreC_05525	166469462.0	3459061.0	1204881.0	1048643.0	34830302.0	14553248.0
25006LRa119_T2T05_PoreC_05526	315632441.0	6861643.0	2790273.0	2373225.0	67261507.0	30478765.0
25006LRa120_T2T06_PoreC_05527	110453686.0	3072046.0	658956.0	928853.0	26687452.0	11223927.0
25006LRa121_T2T07_PoreC_05528	293137548.0	6111745.0	2167492.0	1801435.0	60630765.0	25871421.0
25006LRa122_T2T08_PoreC_05529	211602038.0	5025732.0	1123252.0	1511015.0	50031493.0	20511152.0
25006LRa123_T2T09_PoreC_05530	201528800.0	5520250.0	1011449.0	1558604.0	47461008.0	17889632.0
25006LRa124_T2T10_PoreC_05531	258161892.0	6231853.0	1290475.0	1575952.0	52515107.0	16676925.0
25006LRa145_T2T12_PoreC_06052	300486995.0	6195445.0	1984033.0	1793300.0	61376707.0	30837600.0
25006LRa168_T2T17_PoreC_05787	249021459.0	5536145.0	2074245.0	1880129.0	54564734.0	23309715.0
25006LRa169_T2T17_PoreC_05788	181629836.0	4029573.0	1500654.0	1372589.0	40043454.0	16460686.0
25006LRa170_T2T18_PoreC_05789	167418188.0	3815436.0	1377904.0	1319804.0	36920877.0	15456193.0
25006LRa171_T2T18_PoreC_05790	124878987.0	2885749.0	1058144.0	994245.0	27029788.0	11271846.0
25006LRa172_T2T19_PoreC_05791	212005576.0	4875824.0	1712750.0	1773379.0	51307906.0	20419074.0
25006LRa173_T2T19_PoreC_05792	201605307.0	4650364.0	1632894.0	1722249.0	49751148.0	21259038.0
25006LRa192_T2T00-1_PoreC_05915	250439048.0	5781907.0	1893726.0	1787689.0	54251906.0	21330243.0
25006LRa193_T2T00-1_PoreC_05916	226461007.0	5248483.0	1722297.0	1633502.0	49350948.0	20511070.0
