Sample	mosdepth-1_x_pc	mosdepth-5_x_pc	mosdepth-10_x_pc	mosdepth-30_x_pc	mosdepth-50_x_pc	mosdepth-median_coverage	mosdepth-mean_coverage	mosdepth-min_coverage	mosdepth-max_coverage	mosdepth-coverage_bases	mosdepth-length	pairtools-total	pairtools-frac_unmapped	pairtools-frac_single_sided_mapped	pairtools-frac_mapped	pairtools-frac_dups	pairtools-total_nodups	pairtools-frac_cis
25006LRa099_T2T04_2_PoreC_05490	94.0	92.0	92.0	66.0	23.0	36	37.19	0.0	41043.0	115944.31216999999	3117292070	373.858887	5.528012498469777	27.387130428171417	67.0848570733588	0.0	250.8027	50.36474168739012
25006LRa100_T2T04_2_PoreC_05491	94.0	92.0	90.0	42.0	5.0	27	27.77	0.0	30061.0	86569.07539299999	3117292070	283.266026	6.257638182137663	27.880794642136152	65.8615671757262	0.0	186.563444	50.25998555215351
25006LRa112_T2T13_PoreC_05519	94.0	92.0	91.0	78.0	28.999999999999996	42	40.49	0.0	36348.0	126232.708969	3117292070	462.422867	7.690871178306153	29.810388464201964	62.498740357491876	0.0	289.008467	56.7678852813679
25006LRa112_T2T13_PoreC_06055	93.0	91.0	88.0	19.0	1.0	22	21.71	0.0	19929.0	67668.754193	3117292070	241.95604799999998	6.542903197030231	29.077075188465635	64.38002161450413	0.0	155.771356	57.24741139186077
25006LRa113_T2T13_PoreC_05520	94.0	92.0	91.0	79.0	32.0	43	41.41	0.0	38210.0	129102.44698899999	3117292070	465.45561499999997	6.751878157061227	29.3336596659168	63.91446217702197	0.0	297.493453	56.915925810306824
25006LRa114_T2T14_PoreC_05521	94.0	92.0	91.0	62.0	15.0	34	34.26	0.0	15173.0	106785.359962	3117292070	361.867804	6.249924627171309	28.519028180799417	65.23104719202928	0.0	236.05015799999998	45.53185937710747
25006LRa115_T2T14_PoreC_05522	94.0	92.0	92.0	78.0	36.0	43	43.6	0.0	18282.0	135926.54879499998	3117292070	459.495237	6.5894167255535665	28.565887615501005	64.84469565894543	0.0	297.958288	46.32257250719604
25006LRa116_T2T01_PoreC_05523	94.0	92.0	91.0	72.0	11.0	37	35.28	0.0	15555.0	109988.091558	3117292070	400.67243099999996	7.967882122640976	28.720318918074	63.31179895928503	0.0	253.672924	59.39772034953167
25006LRa117_T2T02_PoreC_05524	95.0	93.0	91.0	45.0	10.0	28	30.36	0.0	16111.0	94632.390525	3117292070	307.831748	6.668790705759172	29.676960415401986	63.654248878838835	0.0	195.94798699999998	38.07506274611537
25006LRa118_T2T03_PoreC_05525	93.0	92.0	89.0	27.0	1.0	24	23.4	0.0	23579.0	72941.56131399999	3117292070	257.418058	6.903023874105989	28.428062338967685	64.66891378692632	0.0	166.469462	56.34599395773863
25006LRa119_T2T05_PoreC_05526	95.0	94.0	93.0	80.0	44.0	47	44.77	0.0	17273.0	139561.138485	3117292070	493.664297	7.650339761151494	28.413004718467622	63.93665552038089	0.0	315.632441	59.719180133324755
25006LRa120_T2T06_PoreC_05527	95.0	92.0	80.0	10.0	1.0	16	17.25	0.0	12283.0	53762.77155	3117292070	178.896285	7.592541119565451	30.665715053836923	61.74174382659763	0.0	110.45368599999999	34.091767657260434
25006LRa121_T2T07_PoreC_05528	94.0	92.0	92.0	78.0	34.0	43	41.67	0.0	31981.0	129910.568198	3117292070	451.881933	6.967740841278555	28.16187453106252	64.87038462765892	0.0	293.137548	57.93598676072709
25006LRa122_T2T08_PoreC_05529	94.0	92.0	91.0	50.0	4.0	30	29.59	0.0	30036.0	92225.606417	3117292070	340.0428	7.200769726634412	30.571170158580035	62.228060114785556	0.0	211.602038	40.42932894625523
25006LRa123_T2T09_PoreC_05530	95.0	93.0	91.0	45.0	8.0	28	29.73	0.0	31120.0	92671.393839	3117292070	322.228644	6.76647542234017	30.69135033197111	62.54217424568872	0.0	201.5288	31.40165177384076
25006LRa124_T2T10_PoreC_05531	94.0	92.0	91.0	69.0	27.0	37	40.1	0.0	28203.0	124992.134738	3117292070	388.829386	5.3780744853476685	28.227280126404846	66.39464538824748	0.0	258.16189199999997	37.93747955643275
25006LRa145_T2T12_PoreC_06052	94.0	92.0	92.0	77.0	39.0	45	42.99	0.0	24802.0	134008.076467	3117292070	465.46995699999997	7.787866102817029	27.65651854948825	64.55561534769471	0.0	300.486995	56.467952631360966
25006LRa168_T2T17_PoreC_05787	95.0	93.0	92.0	67.0	17.0	36	35.61	0.0	18368.0	111004.67297999999	3117292070	391.75431799999996	7.383994169529486	29.05028426515008	63.56572156532043	0.0	249.021459	57.401590840410265
