sample	reference	haplotype	total_reads_used	count_reads	pass_threshold	base	mod_code	pass_count	pass_frac	all_count	all_frac
T2T07	ref	hp1	100420	100420	0.7421875	C	m	7212752	0.811961	7634476	0.7740141
T2T07	ref	hp2	100420	100420	0.7363281	C	-	1462865	0.16343044	1794218	0.18055564
T2T07	ref	hp2	100420	100420	0.7363281	C	h	206441	0.02306347	451877	0.04547326
T2T07	ref	hp2	100420	100420	0.7363281	C	m	7281689	0.81350607	7691108	0.7739711
T2T08	ref	combined	66208	66208	0.7207031	C	-	12007572	0.18035318	14480936	0.19596957
T2T08	ref	combined	66208	66208	0.7207031	C	h	1523111	0.022877058	3216043	0.0435225
T2T08	ref	combined	66208	66208	0.7207031	C	m	53047416	0.79676974	56196818	0.7605079
T2T08	ref	hp1	100420	100420	0.7167969	C	-	1472474	0.16784343	1752018	0.1799394
T2T08	ref	hp1	100420	100420	0.7167969	C	h	227024	0.025877869	477280	0.049018607
T2T08	ref	hp1	100420	100420	0.7167969	C	m	7073404	0.8062787	7507413	0.771042
T2T08	ref	hp2	100420	100420	0.7167969	C	-	1470497	0.16749327	1749059	0.17946737
T2T08	ref	hp2	100420	100420	0.7167969	C	h	222527	0.02534638	472058	0.048436906
T2T08	ref	hp2	100420	100420	0.7167969	C	m	7086415	0.8071603	7524716	0.77209574
T2T09	ref	combined	66315	66315	0.7167969	C	-	11001089	0.18340264	13031314	0.19553529
T2T09	ref	combined	66315	66315	0.7167969	C	h	1481792	0.024703424	3107827	0.046633046
T2T09	ref	combined	66315	66315	0.7167969	C	m	47500381	0.7918939	50505167	0.7578317
T2T09	ref	hp1	100420	100420	0.6640625	C	-	1498989	0.1746288	1743667	0.18290102
T2T09	ref	hp1	100420	100420	0.6640625	C	h	277644	0.032344893	548713	0.05755696
T2T09	ref	hp1	100420	100420	0.6640625	C	m	6807226	0.7930263	7241011	0.759542
T2T09	ref	hp2	100420	100420	0.6699219	C	-	1466866	0.17324601	1720355	0.18295257
T2T09	ref	hp2	100420	100420	0.6699219	C	h	273512	0.03230347	535939	0.056994874
T2T09	ref	hp2	100420	100420	0.6699219	C	m	6726576	0.7944505	7146990	0.76005256
