sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T00_1,LINE,CR1,118586,20730297,174.812347157337,30.0235027743579
T2T00_1,LINE,Dong-R4,921,199611,216.732899022801,28.7232356134636
T2T00_1,LINE,I-Jockey,240,28802,120.008333333333,26.8445833333333
T2T00_1,LINE,L1,1846040,982304064,532.114181707872,19.4709070767697
T2T00_1,LINE,L1-Tx1,338,92488,273.633136094675,28.0949704142012
T2T00_1,LINE,L2,950691,200094773,210.472985439012,29.5142669910623
T2T00_1,LINE,RTE-BovB,10462,1642888,157.033836742497,30.9917988912254
T2T00_1,LINE,RTE-X,24889,5692444,228.713246815862,28.4437984651854
T2T00_1,LTR,DIRS,13657,936459,68.5698908984404,24.9710038807937
T2T00_1,LTR,ERV1,351447,164416588,467.827547254636,15.8437980691256
T2T00_1,LTR,ERVK,20781,17379791,836.330831047592,8.70636158028969
T2T00_1,LTR,ERVL,313032,113263912,361.828541490966,23.1773406552685
T2T00_1,LTR,ERVL-MaLR,667028,213630020,320.27144287796,20.3100952283862
T2T00_1,LTR,Gypsy,40292,8476270,210.371041397796,27.8908219994043
T2T00_1,LTR,Unknown,27223,5703884,209.524446240312,27.1103809278919
T2T00_1,Low_complexity,Unknown,211011,16819024,79.706858884134,19.5069152792982
T2T00_1,PLE,Unknown,1380,123573,89.545652173913,23.6147826086957
T2T00_1,RC,Helitron,4063,848392,208.809254245631,27.061284764952
T2T00_1,Retroposon,SVA,84342,17333274,205.511773493633,23.7268454625216
T2T00_1,SINE,5S-Deu-L2,3808,412526,108.331407563025,27.4919905462185
T2T00_1,SINE,Alu,2379075,616332363,259.063864317014,13.0568817712767
T2T00_1,SINE,MIR,1107565,157240262,141.96933091963,28.2773275609106
T2T00_1,SINE,tRNA,3060,384031,125.500326797386,29.5278104575163
T2T00_1,SINE,tRNA-Deu,823,89125,108.292831105711,27.8601458080194
T2T00_1,SINE,tRNA-Deu-L2,13,733,56.3846153846154,21.6692307692308
T2T00_1,SINE,tRNA-RTE,8020,1032505,128.741271820449,31.0694139650873
T2T00_1,Satellite,Unknown,74456,128934073,1731.6814360159,14.688359568067
T2T00_1,Satellite,acro,1520,1512162,994.843421052632,16.3894736842105
T2T00_1,Satellite,centr,5392,173539323,32184.5925445104,17.4621661721068
T2T00_1,Satellite,subtelo,384,282964,736.885416666667,11.4895833333333
T2T00_1,Simple_repeat,Unknown,1430544,142267159,99.4496911664374,10.7610106365131
T2T00_1,Unknown,Unknown,85315,14232611,166.824251303991,17.1781679657739
