sample	modifier	k	tech	haplotype	unique_kmers	total_kmers	qv	error_rate
T2T02		31	NSXPlus	diploid	1489839	5961675144	50.9354	8.06235e-06
T2T02		37	NSXPlus	hap1	1677659	2926761125	48.0976	1.54966e-05
T2T02		37	NSXPlus	hap2	1803593	3034912279	47.9408	1.60663e-05
T2T02		37	NSXPlus	diploid	3481252	5961673404	48.0171	1.57866e-05
T2T03		21	NSXPlus	hap1	60367	3019871053	60.214	9.5191e-07
T2T03		21	NSXPlus	hap2	66608	3033191535	59.8059	1.04571e-06
T2T03		21	NSXPlus	diploid	126975	6053062588	60.0047	9.98914e-07
T2T03		31	NSXPlus	hap1	712394	3019870623	51.1858	7.61062e-06
T2T03		31	NSXPlus	hap2	724087	3033190565	51.1342	7.70157e-06
T2T03		31	NSXPlus	diploid	1436481	6053061188	51.1599	7.6562e-06
T2T03		37	NSXPlus	hap1	1681561	3019870365	48.2236	1.50536e-05
T2T03		37	NSXPlus	hap2	1694253	3033189983	48.2101	1.51006e-05
T2T03		37	NSXPlus	diploid	3375814	6053060348	48.2168	1.50772e-05
T2T04		21	NSXPlus	hap1	71794	2926539894	59.3248	1.16821e-06
T2T04		21	NSXPlus	hap2	89849	3023653869	58.4923	1.41504e-06
T2T04		21	NSXPlus	diploid	161643	5950193763	58.8819	1.29364e-06
T2T04		31	NSXPlus	hap1	1048659	2926538984	49.3701	1.1561e-05
T2T04		31	NSXPlus	hap2	1155178	3023653099	49.0916	1.23264e-05
T2T04		31	NSXPlus	diploid	2203837	5950192083	49.2264	1.19499e-05
T2T04		37	NSXPlus	hap1	2300213	2926538438	46.7262	2.12509e-05
T2T04		37	NSXPlus	hap2	2497177	3023652637	46.5111	2.23301e-05
T2T04		37	NSXPlus	diploid	4797390	5950191075	46.6156	2.17993e-05
T2T04_1		21	NSXPlus	hap1	78603	2922205993	58.9249	1.2809e-06
T2T04_1		21	NSXPlus	hap2	87430	3057769879	58.6596	1.36158e-06
T2T04_1		21	NSXPlus	diploid	166033	5979975872	58.7872	1.32215e-06
T2T04_1		31	NSXPlus	hap1	661428	2922204593	51.3654	7.30227e-06
