[M::mm_idx_gen::38.796*1.47] collected minimizers
[M::mm_idx_gen::40.868*2.21] sorted minimizers
[M::main::40.868*2.21] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::44.714*2.11] mid_occ = 177
[M::worker_pipeline::1424.906*26.01] mapped 5214 sequences
[M::worker_pipeline::1436.325*26.06] mapped 8761 sequences
[M::worker_pipeline::1445.829*26.10] mapped 29934 sequences
[M::worker_pipeline::1459.628*26.14] mapped 5670 sequences
[M::worker_pipeline::1472.610*26.16] mapped 4992 sequences
[M::worker_pipeline::1481.160*26.20] mapped 28110 sequences
[M::worker_pipeline::1495.413*26.23] mapped 8417 sequences
[M::worker_pipeline::1505.830*26.28] mapped 5621 sequences
[M::worker_pipeline::1518.131*26.31] mapped 7587 sequences
[M::worker_pipeline::1533.900*26.26] mapped 6673 sequences
[M::worker_pipeline::1544.105*26.30] mapped 4823 sequences
[M::worker_pipeline::1555.486*26.33] mapped 4833 sequences
[M::worker_pipeline::1565.735*26.39] mapped 5964 sequences
[M::worker_pipeline::1577.570*26.42] mapped 5213 sequences
[M::worker_pipeline::1590.410*26.42] mapped 21576 sequences
[M::worker_pipeline::1599.196*26.47] mapped 29488 sequences
[M::worker_pipeline::1610.370*26.51] mapped 15389 sequences
[M::worker_pipeline::1620.880*26.55] mapped 5591 sequences
[M::worker_pipeline::1632.782*26.61] mapped 5163 sequences
[M::worker_pipeline::1646.112*26.61] mapped 6367 sequences
[M::worker_pipeline::1660.287*26.60] mapped 5210 sequences
[M::worker_pipeline::1668.410*26.65] mapped 28513 sequences
[M::worker_pipeline::1682.596*26.65] mapped 11309 sequences
[M::worker_pipeline::1694.073*26.71] mapped 16122 sequences
[M::worker_pipeline::1705.780*26.74] mapped 8417 sequences
[M::worker_pipeline::1714.842*26.79] mapped 26269 sequences
[M::worker_pipeline::1728.169*26.81] mapped 17520 sequences
[M::worker_pipeline::1739.650*26.85] mapped 7634 sequences
[M::worker_pipeline::1751.484*26.89] mapped 5766 sequences
[M::worker_pipeline::1764.341*26.90] mapped 6901 sequences
[M::worker_pipeline::1774.500*26.95] mapped 14371 sequences
[M::worker_pipeline::1783.226*26.98] mapped 30267 sequences
[M::worker_pipeline::1795.199*27.01] mapped 26466 sequences
[M::worker_pipeline::1808.575*27.05] mapped 4930 sequences
[M::worker_pipeline::1823.567*27.03] mapped 4917 sequences
[M::worker_pipeline::1836.360*27.06] mapped 4730 sequences
[M::worker_pipeline::1845.704*27.10] mapped 19367 sequences
[M::worker_pipeline::1859.814*27.09] mapped 21274 sequences
[M::worker_pipeline::1872.520*27.13] mapped 7071 sequences
[M::worker_pipeline::1882.904*27.16] mapped 6396 sequences
[M::worker_pipeline::1892.823*27.20] mapped 14900 sequences
[M::worker_pipeline::1904.204*27.20] mapped 30486 sequences
[M::worker_pipeline::1916.412*27.23] mapped 12619 sequences
[M::worker_pipeline::1931.880*27.21] mapped 6299 sequences
[M::worker_pipeline::1940.340*27.24] mapped 25236 sequences
