metric	value	haplotype	asm_method	asm_name	source
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_05UL	stat
Number of bases in mapped sequences	6095322729	NA	unphased_verkko	TUE_02_05UL	stat
Number of mapped bases	6045087132	NA	unphased_verkko	TUE_02_05UL	stat
Number of substitutions	8186142	NA	unphased_verkko	TUE_02_05UL	stat
Number of insertions in [0,50)	732069	NA	unphased_verkko	TUE_02_05UL	stat
Number of insertions in [50,100)	7291	NA	unphased_verkko	TUE_02_05UL	stat
Number of insertions in [100,300)	7057	NA	unphased_verkko	TUE_02_05UL	stat
Number of insertions in [300,400)	3881	NA	unphased_verkko	TUE_02_05UL	stat
Number of insertions in [400,1000)	3460	NA	unphased_verkko	TUE_02_05UL	stat
Number of insertions in [1000,inf)	5173	NA	unphased_verkko	TUE_02_05UL	stat
Number of deletions in [0,50)	871763	NA	unphased_verkko	TUE_02_05UL	stat
Number of deletions in [50,100)	7299	NA	unphased_verkko	TUE_02_05UL	stat
Number of deletions in [100,300)	6761	NA	unphased_verkko	TUE_02_05UL	stat
Number of deletions in [300,400)	3953	NA	unphased_verkko	TUE_02_05UL	stat
Number of deletions in [400,1000)	4683	NA	unphased_verkko	TUE_02_05UL	stat
Number of deletions in [1000,inf)	4752	NA	unphased_verkko	TUE_02_05UL	stat
Number of mapped sequences	911	NA	unphased_verkko	TUE_02_06UL	stat
Number of primary alignments	27208	NA	unphased_verkko	TUE_02_06UL	stat
Number of secondary alignments	15879	NA	unphased_verkko	TUE_02_06UL	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_06UL	stat
Number of bases in mapped sequences	6093572729	NA	unphased_verkko	TUE_02_06UL	stat
Number of mapped bases	6043831604	NA	unphased_verkko	TUE_02_06UL	stat
Number of substitutions	8167755	NA	unphased_verkko	TUE_02_06UL	stat
Number of insertions in [0,50)	730574	NA	unphased_verkko	TUE_02_06UL	stat
Number of insertions in [50,100)	7358	NA	unphased_verkko	TUE_02_06UL	stat
Number of insertions in [100,300)	7064	NA	unphased_verkko	TUE_02_06UL	stat
Number of insertions in [300,400)	3966	NA	unphased_verkko	TUE_02_06UL	stat
Number of insertions in [400,1000)	3458	NA	unphased_verkko	TUE_02_06UL	stat
Number of insertions in [1000,inf)	5149	NA	unphased_verkko	TUE_02_06UL	stat
Number of deletions in [0,50)	872538	NA	unphased_verkko	TUE_02_06UL	stat
Number of deletions in [50,100)	7334	NA	unphased_verkko	TUE_02_06UL	stat
Number of deletions in [100,300)	6738	NA	unphased_verkko	TUE_02_06UL	stat
Number of deletions in [300,400)	3954	NA	unphased_verkko	TUE_02_06UL	stat
Number of deletions in [400,1000)	4729	NA	unphased_verkko	TUE_02_06UL	stat
Number of deletions in [1000,inf)	4760	NA	unphased_verkko	TUE_02_06UL	stat
Number of mapped sequences	19202	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of primary alignments	45070	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of secondary alignments	38843	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of bases in mapped sequences	6704919616	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of mapped bases	6660100434	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of substitutions	9031891	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of insertions in [0,50)	863444	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of insertions in [50,100)	7727	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of insertions in [100,300)	8258	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of insertions in [300,400)	4575	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of insertions in [400,1000)	4119	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of insertions in [1000,inf)	5246	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of deletions in [0,50)	948297	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of deletions in [50,100)	7681	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of deletions in [100,300)	7378	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of deletions in [300,400)	4482	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of deletions in [400,1000)	7971	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of deletions in [1000,inf)	5245	NA	unphased_verkko	TUE_02_01UL_01DX	stat
Number of mapped sequences	3856	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of primary alignments	31965	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of secondary alignments	35051	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of bases in mapped sequences	6365466376	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of mapped bases	6315215010	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of substitutions	8692827	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of insertions in [0,50)	794819	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of insertions in [50,100)	7578	NA	unphased_verkko	TUE_02_02UL_01DX	stat
