metric	value	haplotype	asm_method	asm_name	source
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of bases in mapped sequences	6313339032	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of mapped bases	6260515791	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of substitutions	9013789	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of insertions in [0,50)	813591	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of insertions in [50,100)	8199	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of insertions in [100,300)	7622	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of insertions in [300,400)	4641	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of insertions in [400,1000)	4458	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of insertions in [1000,inf)	5670	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of deletions in [0,50)	960556	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of deletions in [50,100)	8005	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of deletions in [100,300)	7538	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of deletions in [300,400)	4565	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of deletions in [400,1000)	11990	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Number of deletions in [1000,inf)	5591	NA	unphased_verkko	TUE_02_06UL_02DX	stat
Length	6685275250	NA	unphased_verkko	TUE_02_01UL	asmstat
l_cov	2992425528	NA	unphased_verkko	TUE_02_01UL	asmstat
Rcov	0.9599	NA	unphased_verkko	TUE_02_01UL	asmstat
Rdup	0.9024	NA	unphased_verkko	TUE_02_01UL	asmstat
Qcov	0.9704999999999999	NA	unphased_verkko	TUE_02_01UL	asmstat
NG75	1274297	NA	unphased_verkko	TUE_02_01UL	asmstat
NG50	1767315	NA	unphased_verkko	TUE_02_01UL	asmstat
NGA50	1218709	NA	unphased_verkko	TUE_02_01UL	asmstat
AUNGA	1606086	NA	unphased_verkko	TUE_02_01UL	asmstat
#breaks	22434	NA	unphased_verkko	TUE_02_01UL	asmstat
bp(10000,0)	5569	NA	unphased_verkko	TUE_02_01UL	asmstat
bp(10000,10k)	1849	NA	unphased_verkko	TUE_02_01UL	asmstat
Length	6362135574	NA	unphased_verkko	TUE_02_02UL	asmstat
l_cov	2998596545	NA	unphased_verkko	TUE_02_02UL	asmstat
Rcov	0.9619	NA	unphased_verkko	TUE_02_02UL	asmstat
Rdup	0.9162	NA	unphased_verkko	TUE_02_02UL	asmstat
Qcov	0.9684999999999999	NA	unphased_verkko	TUE_02_02UL	asmstat
NG75	7981137	NA	unphased_verkko	TUE_02_02UL	asmstat
NG50	11184237	NA	unphased_verkko	TUE_02_02UL	asmstat
NGA50	3705349	NA	unphased_verkko	TUE_02_02UL	asmstat
AUNGA	4339352	NA	unphased_verkko	TUE_02_02UL	asmstat
#breaks	26232	NA	unphased_verkko	TUE_02_02UL	asmstat
bp(10000,0)	6321	NA	unphased_verkko	TUE_02_02UL	asmstat
bp(10000,10k)	2342	NA	unphased_verkko	TUE_02_02UL	asmstat
Length	6221161103	NA	unphased_verkko	TUE_02_03UL	asmstat
l_cov	2998428176	NA	unphased_verkko	TUE_02_03UL	asmstat
Rcov	0.9619	NA	unphased_verkko	TUE_02_03UL	asmstat
Rdup	0.9162	NA	unphased_verkko	TUE_02_03UL	asmstat
Qcov	0.9703	NA	unphased_verkko	TUE_02_03UL	asmstat
NG75	14363189	NA	unphased_verkko	TUE_02_03UL	asmstat
NG50	18772608	NA	unphased_verkko	TUE_02_03UL	asmstat
NGA50	4467808	NA	unphased_verkko	TUE_02_03UL	asmstat
AUNGA	5147297	NA	unphased_verkko	TUE_02_03UL	asmstat
#breaks	26255	NA	unphased_verkko	TUE_02_03UL	asmstat
bp(10000,0)	6303	NA	unphased_verkko	TUE_02_03UL	asmstat
bp(10000,10k)	2369	NA	unphased_verkko	TUE_02_03UL	asmstat
Length	6131355245	NA	unphased_verkko	TUE_02_04UL	asmstat
l_cov	2998939554	NA	unphased_verkko	TUE_02_04UL	asmstat
Rcov	0.9620000000000001	NA	unphased_verkko	TUE_02_04UL	asmstat
Rdup	0.9165000000000001	NA	unphased_verkko	TUE_02_04UL	asmstat
Qcov	0.9703	NA	unphased_verkko	TUE_02_04UL	asmstat
NG75	22234576	NA	unphased_verkko	TUE_02_04UL	asmstat
NG50	31130254	NA	unphased_verkko	TUE_02_04UL	asmstat
NGA50	5117878	NA	unphased_verkko	TUE_02_04UL	asmstat
AUNGA	5848632	NA	unphased_verkko	TUE_02_04UL	asmstat
#breaks	26409	NA	unphased_verkko	TUE_02_04UL	asmstat
bp(10000,0)	6389	NA	unphased_verkko	TUE_02_04UL	asmstat
bp(10000,10k)	2429	NA	unphased_verkko	TUE_02_04UL	asmstat
Length	6095322729	NA	unphased_verkko	TUE_02_05UL	asmstat
l_cov	2998418294	NA	unphased_verkko	TUE_02_05UL	asmstat
Rcov	0.9619	NA	unphased_verkko	TUE_02_05UL	asmstat
Rdup	0.9175	NA	unphased_verkko	TUE_02_05UL	asmstat
Qcov	0.9704	NA	unphased_verkko	TUE_02_05UL	asmstat
NG75	30000473	NA	unphased_verkko	TUE_02_05UL	asmstat
NG50	38005352	NA	unphased_verkko	TUE_02_05UL	asmstat
NGA50	5528873	NA	unphased_verkko	TUE_02_05UL	asmstat
AUNGA	6395976	NA	unphased_verkko	TUE_02_05UL	asmstat
#breaks	26032	NA	unphased_verkko	TUE_02_05UL	asmstat
bp(10000,0)	6282	NA	unphased_verkko	TUE_02_05UL	asmstat
bp(10000,10k)	2373	NA	unphased_verkko	TUE_02_05UL	asmstat
Length	6093572729	NA	unphased_verkko	TUE_02_06UL	asmstat
l_cov	2998117071	NA	unphased_verkko	TUE_02_06UL	asmstat
Rcov	0.9618000000000001	NA	unphased_verkko	TUE_02_06UL	asmstat
Rdup	0.9178000000000001	NA	unphased_verkko	TUE_02_06UL	asmstat
Qcov	0.9704	NA	unphased_verkko	TUE_02_06UL	asmstat
NG75	38016888	NA	unphased_verkko	TUE_02_06UL	asmstat
NG50	43300063	NA	unphased_verkko	TUE_02_06UL	asmstat
NGA50	5552500	NA	unphased_verkko	TUE_02_06UL	asmstat
AUNGA	6403104	NA	unphased_verkko	TUE_02_06UL	asmstat
#breaks	26296	NA	unphased_verkko	TUE_02_06UL	asmstat
bp(10000,0)	6356	NA	unphased_verkko	TUE_02_06UL	asmstat
bp(10000,10k)	2436	NA	unphased_verkko	TUE_02_06UL	asmstat
Length	6704919616	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
l_cov	2991226537	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
Rcov	0.9595999999999999	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
Rdup	0.904	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
Qcov	0.9704999999999999	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
NG75	1319855	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
NG50	1881100	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
NGA50	1254839	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
AUNGA	1690114	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
#breaks	22631	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
bp(10000,0)	5759	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
bp(10000,10k)	1970	NA	unphased_verkko	TUE_02_01UL_01DX	asmstat
Length	6365466376	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
l_cov	2998645258	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
Rcov	0.9619	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
Rdup	0.9163	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
Qcov	0.9690000000000001	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
NG75	8706958	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
NG50	11796130	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
NGA50	3744219	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
AUNGA	4377148	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
#breaks	26589	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
bp(10000,0)	6374	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
bp(10000,10k)	2397	NA	unphased_verkko	TUE_02_02UL_01DX	asmstat
Length	6247887895	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
l_cov	3000296543	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
Rcov	0.9625	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
Rdup	0.9153	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
Qcov	0.9708	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
NG75	11866486	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
NG50	15158302	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
NGA50	4167953	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
AUNGA	4811051	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
#breaks	26248	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
bp(10000,0)	6043	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
bp(10000,10k)	2136	NA	unphased_verkko	TUE_02_03UL_01DX	asmstat
Length	6132695299	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
l_cov	2998088699	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
Rcov	0.9618000000000001	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
Rdup	0.9165000000000001	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
Qcov	0.9704999999999999	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
NG75	21536913	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
NG50	28848159	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
NGA50	5045250	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
AUNGA	5813164	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
#breaks	25425	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
bp(10000,0)	6091	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
bp(10000,10k)	2183	NA	unphased_verkko	TUE_02_04UL_01DX	asmstat
Length	6100123645	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
l_cov	2998479696	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
Rcov	0.9619	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
Rdup	0.9170999999999999	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
Qcov	0.9706	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
NG75	27367192	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
NG50	32434973	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
NGA50	5272288	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
AUNGA	6118780	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
#breaks	25687	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
bp(10000,0)	6177	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
bp(10000,10k)	2265	NA	unphased_verkko	TUE_02_05UL_01DX	asmstat
Length	6085588958	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
l_cov	2997878672	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
Rcov	0.9617	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
Rdup	0.9174	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
Qcov	0.9704	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
NG75	36579165	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
NG50	43294771	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
NGA50	5552517	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
AUNGA	6446246	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
#breaks	25681	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
bp(10000,0)	6221	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
bp(10000,10k)	2327	NA	unphased_verkko	TUE_02_06UL_01DX	asmstat
Length	6705589813	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
l_cov	2992372448	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
Rcov	0.9599	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
Rdup	0.9039	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
Qcov	0.9706999999999999	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
NG75	1328438	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
NG50	1886744	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
NGA50	1257679	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
AUNGA	1698891	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
#breaks	22427	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
bp(10000,0)	5759	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
bp(10000,10k)	1995	NA	unphased_verkko	TUE_02_01UL_02DX	asmstat
Length	6369204196	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
l_cov	2999313274	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
Rcov	0.9621999999999999	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
Rdup	0.9164	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
Qcov	0.9691	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
NG75	8746100	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
NG50	11796129	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
NGA50	3740282	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
AUNGA	4371939	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
#breaks	26283	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
bp(10000,0)	6316	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
bp(10000,10k)	2318	NA	unphased_verkko	TUE_02_02UL_02DX	asmstat
Length	6296562967	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
l_cov	2998941349	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
Rcov	0.9620000000000001	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
Rdup	0.9168000000000001	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
Qcov	0.9682	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
NG75	12944885	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
NG50	17032635	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
NGA50	4344083	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
AUNGA	5047501	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
#breaks	26741	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
bp(10000,0)	6428	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
bp(10000,10k)	2448	NA	unphased_verkko	TUE_02_03UL_02DX	asmstat
Length	6266104028	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
l_cov	2999128708	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
Rcov	0.9621	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
Rdup	0.9175	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
Qcov	0.9693	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
NG75	17533283	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
NG50	21563029	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
NGA50	4803570	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
AUNGA	5534269	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
#breaks	27131	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
bp(10000,0)	6560	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
bp(10000,10k)	2553	NA	unphased_verkko	TUE_02_04UL_02DX	asmstat
Length	6252796519	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
l_cov	2999453686	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
Rcov	0.9621999999999999	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
Rdup	0.9181999999999999	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
Qcov	0.9689	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
NG75	27367193	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
NG50	33284458	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
NGA50	5272293	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
AUNGA	6044898	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
#breaks	27135	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
bp(10000,0)	6646	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
bp(10000,10k)	2529	NA	unphased_verkko	TUE_02_05UL_02DX	asmstat
Length	6313339032	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
l_cov	2999905749	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
Rcov	0.9623	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
Rdup	0.9181	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
Qcov	0.9669	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
NG75	28361374	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
NG50	35377072	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
NGA50	5380425	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
AUNGA	6180488	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
#breaks	27150	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
bp(10000,0)	6841	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
bp(10000,10k)	2743	NA	unphased_verkko	TUE_02_06UL_02DX	asmstat
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.full_sgl	3540	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.full_dup	32010	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.frag	350	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.part50+	93	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.part10+	8	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.part10-	117	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.dup_cnt	1448	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_01UL	asmgene
asm.dup_sum	6748	NA	unphased_verkko	TUE_02_01UL	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.full_sgl	2194	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.full_dup	33771	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.frag	18	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.part50+	14	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.part10-	121	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.dup_cnt	1449	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_02UL	asmgene
asm.dup_sum	6584	NA	unphased_verkko	TUE_02_02UL	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.full_sgl	2157	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.full_dup	33808	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.frag	19	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.part50+	12	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.part10+	3	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.part10-	119	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.dup_cnt	1451	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_03UL	asmgene
asm.dup_sum	6505	NA	unphased_verkko	TUE_02_03UL	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.full_sgl	2135	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.full_dup	33839	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.frag	6	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.part50+	10	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.part10+	2	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.part10-	126	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.dup_cnt	1451	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_04UL	asmgene
asm.dup_sum	6480	NA	unphased_verkko	TUE_02_04UL	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.full_sgl	2099	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.full_dup	33884	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.frag	3	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.part50+	11	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.part10+	2	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.part10-	119	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.dup_cnt	1451	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_05UL	asmgene
asm.dup_sum	6447	NA	unphased_verkko	TUE_02_05UL	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.full_sgl	2098	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.full_dup	33881	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.frag	3	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.part50+	11	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.part10+	2	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.part10-	123	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.dup_cnt	1449	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_06UL	asmgene
asm.dup_sum	6457	NA	unphased_verkko	TUE_02_06UL	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.full_sgl	3413	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.full_dup	32145	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.frag	342	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.part50+	93	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.part10+	7	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.part10-	118	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.dup_cnt	1446	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
asm.dup_sum	6789	NA	unphased_verkko	TUE_02_01UL_01DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.full_sgl	2193	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.full_dup	33772	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.frag	16	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.part50+	15	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.part10-	122	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.dup_cnt	1449	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
asm.dup_sum	6572	NA	unphased_verkko	TUE_02_02UL_01DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.full_sgl	2192	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
