[M::mm_idx_gen::66.259*1.54] collected minimizers
[M::mm_idx_gen::83.757*7.61] sorted minimizers
[M::main::83.757*7.61] loaded/built the index for 1166 target sequence(s)
[M::mm_mapopt_update::86.949*7.36] mid_occ = 340
[M::worker_pipeline::1741.124*24.03] mapped 9998 sequences
[M::worker_pipeline::1754.059*24.05] mapped 18055 sequences
[M::worker_pipeline::1776.753*24.06] mapped 23039 sequences
[M::worker_pipeline::1787.842*24.15] mapped 14144 sequences
[M::worker_pipeline::1797.424*24.21] mapped 32267 sequences
[M::worker_pipeline::1809.390*24.28] mapped 24668 sequences
[M::worker_pipeline::1825.626*24.36] mapped 5348 sequences
[M::worker_pipeline::1840.469*24.38] mapped 5327 sequences
[M::worker_pipeline::1850.128*24.45] mapped 19944 sequences
[M::worker_pipeline::1863.007*24.49] mapped 21867 sequences
[M::worker_pipeline::1873.872*24.57] mapped 18472 sequences
[M::worker_pipeline::1887.834*24.63] mapped 10416 sequences
[M::worker_pipeline::1907.424*24.62] mapped 5453 sequences
[M::worker_pipeline::1921.019*24.69] mapped 5242 sequences
[M::worker_pipeline::1932.864*24.74] mapped 18710 sequences
[M::worker_pipeline::1940.526*24.76] mapped 32018 sequences
[M::worker_pipeline::1956.838*24.82] mapped 21048 sequences
[M::worker_pipeline::1974.984*24.83] mapped 11660 sequences
[M::worker_pipeline::1993.386*24.81] mapped 5344 sequences
[M::worker_pipeline::2010.475*24.85] mapped 5354 sequences
[M::worker_pipeline::2028.445*24.82] mapped 5187 sequences
[M::worker_pipeline::2056.243*24.73] mapped 5316 sequences
[M::worker_pipeline::2067.336*24.77] mapped 11542 sequences
[M::worker_pipeline::2090.049*24.72] mapped 5446 sequences
[M::worker_pipeline::2099.264*24.76] mapped 26611 sequences
[M::worker_pipeline::2116.303*24.82] mapped 17811 sequences
[M::worker_pipeline::2130.081*24.86] mapped 9267 sequences
[M::worker_pipeline::2141.029*24.90] mapped 8487 sequences
[M::worker_pipeline::2151.948*24.93] mapped 13404 sequences
[M::worker_pipeline::2165.671*24.98] mapped 10822 sequences
[M::worker_pipeline::2190.640*24.93] mapped 7834 sequences
[M::worker_pipeline::2200.073*24.91] mapped 24993 sequences
[M::worker_pipeline::2222.277*24.91] mapped 12798 sequences
[M::worker_pipeline::2241.890*24.89] mapped 5321 sequences
[M::worker_pipeline::2253.132*24.94] mapped 19613 sequences
[M::worker_pipeline::2263.466*24.96] mapped 31691 sequences
[M::worker_pipeline::2281.471*25.03] mapped 11040 sequences
[M::worker_pipeline::2295.054*25.07] mapped 5107 sequences
[M::worker_pipeline::2309.200*25.06] mapped 9910 sequences
[M::worker_pipeline::2321.777*25.10] mapped 5071 sequences
[M::worker_pipeline::2337.147*25.15] mapped 9525 sequences
[M::worker_pipeline::2348.241*25.19] mapped 8703 sequences
[M::worker_pipeline::2364.149*25.24] mapped 5279 sequences
[M::worker_pipeline::2379.786*25.24] mapped 9198 sequences
[M::worker_pipeline::2399.246*25.27] mapped 6716 sequences
[M::worker_pipeline::2405.181*25.24] mapped 35178 sequences
[M::worker_pipeline::2419.695*25.32] mapped 31575 sequences
[M::worker_pipeline::2435.034*25.34] mapped 16281 sequences
[M::worker_pipeline::2447.941*25.38] mapped 5200 sequences
[M::worker_pipeline::2467.611*25.34] mapped 5400 sequences
[M::worker_pipeline::2482.486*25.38] mapped 5239 sequences
[M::worker_pipeline::2496.416*25.42] mapped 5121 sequences
[M::worker_pipeline::2512.639*25.43] mapped 7031 sequences
[M::worker_pipeline::2524.189*25.43] mapped 7000 sequences
[M::worker_pipeline::2544.194*25.47] mapped 6456 sequences
[M::worker_pipeline::2550.210*25.47] mapped 33571 sequences
[M::worker_pipeline::2563.781*25.52] mapped 31807 sequences
[M::worker_pipeline::2579.738*25.55] mapped 6923 sequences
[M::worker_pipeline::2595.595*25.56] mapped 5418 sequences
[M::worker_pipeline::2615.163*25.52] mapped 5438 sequences
[M::worker_pipeline::2629.235*25.57] mapped 5486 sequences
[M::worker_pipeline::2638.152*25.55] mapped 5341 sequences
[M::worker_pipeline::2656.610*25.60] mapped 5422 sequences
[M::worker_pipeline::2683.631*25.56] mapped 5353 sequences
