[M::mm_idx_gen::37.857*1.56] collected minimizers
[M::mm_idx_gen::40.491*2.78] sorted minimizers
[M::main::40.491*2.78] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.831*2.72] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.466*2.70] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::85.616*17.56] mapped 37340 sequences
[M::worker_pipeline::128.333*20.95] mapped 36813 sequences
[M::worker_pipeline::170.702*22.43] mapped 33410 sequences
[M::worker_pipeline::194.909*25.17] mapped 45020 sequences
[M::worker_pipeline::219.939*27.04] mapped 42762 sequences
[M::worker_pipeline::246.253*28.51] mapped 38766 sequences
[M::worker_pipeline::278.538*28.98] mapped 37788 sequences
[M::worker_pipeline::307.693*29.76] mapped 37559 sequences
[M::worker_pipeline::347.454*29.54] mapped 40628 sequences
[M::worker_pipeline::387.501*29.70] mapped 36409 sequences
[M::worker_pipeline::423.888*29.91] mapped 31839 sequences
[M::worker_pipeline::449.690*30.56] mapped 37772 sequences
[M::worker_pipeline::482.564*30.94] mapped 41369 sequences
[M::worker_pipeline::526.724*30.33] mapped 39851 sequences
[M::worker_pipeline::578.875*30.11] mapped 12218 sequences
[M::worker_pipeline::614.384*30.10] mapped 44769 sequences
[M::worker_pipeline::653.688*30.02] mapped 38600 sequences
[M::worker_pipeline::692.605*30.50] mapped 20064 sequences
[M::worker_pipeline::721.528*30.69] mapped 43846 sequences
[M::worker_pipeline::762.352*30.46] mapped 38796 sequences
[M::worker_pipeline::881.030*28.66] mapped 39646 sequences
[M::worker_pipeline::884.484*28.56] mapped 37122 sequences
[M::worker_pipeline::929.770*28.57] mapped 34574 sequences
[M::worker_pipeline::993.745*28.00] mapped 31209 sequences
[M::worker_pipeline::1028.797*28.07] mapped 41139 sequences
[M::worker_pipeline::1080.858*27.96] mapped 35185 sequences
[M::worker_pipeline::1151.969*27.25] mapped 37033 sequences
[M::worker_pipeline::1179.907*27.48] mapped 40253 sequences
[M::worker_pipeline::1223.471*27.53] mapped 35057 sequences
[M::worker_pipeline::1260.128*27.63] mapped 35629 sequences
[M::worker_pipeline::1301.610*27.69] mapped 31197 sequences
[M::worker_pipeline::1336.974*27.72] mapped 40508 sequences
[M::worker_pipeline::1376.299*27.76] mapped 36902 sequences
[M::worker_pipeline::1403.614*28.02] mapped 34343 sequences
[M::worker_pipeline::1437.419*28.18] mapped 37845 sequences
[M::worker_pipeline::1477.342*28.16] mapped 37531 sequences
[M::worker_pipeline::1549.670*27.67] mapped 35191 sequences
[M::worker_pipeline::1571.378*27.96] mapped 41281 sequences
[M::worker_pipeline::1610.548*28.08] mapped 35073 sequences
[M::worker_pipeline::1649.161*28.10] mapped 36266 sequences
[M::worker_pipeline::1741.498*27.81] mapped 35262 sequences
[M::worker_pipeline::1745.065*27.76] mapped 40104 sequences
[M::worker_pipeline::1778.408*27.94] mapped 37849 sequences
[M::worker_pipeline::1824.175*27.87] mapped 36207 sequences
[M::worker_pipeline::1894.914*27.50] mapped 29885 sequences
[M::worker_pipeline::1939.868*27.47] mapped 38202 sequences
[M::worker_pipeline::1983.421*27.43] mapped 37432 sequences
[M::worker_pipeline::2018.981*27.59] mapped 27789 sequences
[M::worker_pipeline::2062.229*27.53] mapped 31305 sequences
[M::worker_pipeline::2111.619*27.51] mapped 37322 sequences
[M::worker_pipeline::2141.901*27.64] mapped 37187 sequences
[M::worker_pipeline::2219.358*27.22] mapped 38916 sequences
[M::worker_pipeline::2266.169*27.21] mapped 33034 sequences
[M::worker_pipeline::2301.392*27.27] mapped 32152 sequences
[M::worker_pipeline::2326.712*27.46] mapped 40236 sequences
[M::worker_pipeline::2402.278*27.02] mapped 46088 sequences
[M::worker_pipeline::2446.776*27.00] mapped 38630 sequences
[M::worker_pipeline::2471.291*27.14] mapped 45265 sequences
[M::worker_pipeline::2510.359*27.17] mapped 40599 sequences
[M::worker_pipeline::2563.003*27.09] mapped 32369 sequences
[M::worker_pipeline::2700.212*26.49] mapped 40404 sequences
[M::worker_pipeline::2703.651*26.46] mapped 39039 sequences
[M::worker_pipeline::2750.785*26.50] mapped 36910 sequences
[M::worker_pipeline::2785.410*26.58] mapped 37147 sequences
[M::worker_pipeline::2821.693*26.69] mapped 30295 sequences
