sample	tag_type	total_reads	reads_with_phased_frags	reads_with_phased_frags_pct	total_frags	phased_frags	phased_frags_pct	h1_frags	h1_frags_pct	h2_frags	h2_frags_pct	contacts_dist_2147483647_h1	contacts_dist_2147483647_h1_pct	contacts_dist_2147483647_h2	contacts_dist_2147483647_h2_pct	contacts_dist_2147483647_htrans	contacts_dist_2147483647_htrans_pct	contacts_dist_2147483647_phased	contacts_dist_2147483647_phased_pct	contacts_dist_2147483647_total	contacts_dist_50000000_h1	contacts_dist_50000000_h1_pct	contacts_dist_50000000_h2	contacts_dist_50000000_h2_pct	contacts_dist_50000000_htrans	contacts_dist_50000000_htrans_pct	contacts_dist_50000000_phased	contacts_dist_50000000_phased_pct	contacts_dist_50000000_total	contacts_dist_5000000_h1	contacts_dist_5000000_h1_pct	contacts_dist_5000000_h2	contacts_dist_5000000_h2_pct	contacts_dist_5000000_htrans	contacts_dist_5000000_htrans_pct	contacts_dist_5000000_phased	contacts_dist_5000000_phased_pct	contacts_dist_5000000_total
T2T06	imputed	656550070	284410137	43.3189	3675124309	1042737721	28.3729	520205730	14.1548	522531991	14.2181	1320449581	49.3175	1320618009	49.3238	36379292	1.35873	2677446882	67.0686	3992101908	959798213	49.5353	962171147	49.6578	15635082	0.806928	1937604442	69.3213	2795106425	392603404	49.8951	393218241	49.9733	1035689	0.131623	786857334	69.8201	1126977735
T2T07	imputed	968720254	504652140	52.0947	7604530120	3859970279	50.7588	1926140852	25.3289	1933829427	25.43	9408111221	49.3084	9463088994	49.5965	208957245	1.09515	19080157460	78.5041	24304652697	7161292851	49.5793	7196700225	49.8244	86127154	0.596278	14444120230	78.5499	18388462961	3278329391	49.8365	3295568753	50.0985	4276227	0.0650063	6578174371	76.7973	8565628906
T2T08	imputed	730110308	331225940	45.3666	5276978719	2005194730	37.9989	997347057	18.9	1007847673	19.099	4516063817	49.0409	4571776483	49.6459	120926418	1.31317	9208766718	78.3949	11746640684	3301806455	49.3989	3331840439	49.8482	50321373	0.752867	6683968267	79.7669	8379375346	1317777933	49.7796	1326878125	50.1234	2567041	0.0969711	2647223099	79.703	3321358258
T2T09	imputed	1218548943	547720485	44.9486	7638652841	2332728433	30.5385	1172234172	15.3461	1160494261	15.1924	3772023178	49.2231	3774565578	49.2563	116525574	1.5206	7663114330	72.5417	10563736600	2710400640	49.6232	2702894402	49.4857	48670312	0.891077	5461965354	74.8499	7297229497	1081513220	50.0013	1078662877	49.8696	2792299	0.129096	2162968396	76.0145	2845469692
T2T10	imputed	1257064069	543879016	43.2658	7324170287	2466742449	33.6795	1230898888	16.806	1235843561	16.8735	4116601940	49.2714	4138377325	49.5321	99968185	1.19651	8354947450	73.0468	11437799632	3007757245	49.543	3020844915	49.7586	42402839	0.698448	6071004999	74.3214	8168581219	1243257153	49.8492	1248324484	50.0524	2454585	0.0984182	2494036222	73.8561	3376883671
T2T11	imputed	931106689	478593324	51.4005	7400713124	3651733400	49.343	1823759330	24.643	1827974070	24.7	9183590941	49.2606	9242461460	49.5763	216836666	1.16311	18642889067	78.851	23643201106	6907328403	49.6165	6922457111	49.7251	91659589	0.658406	13921445103	78.7862	17669896399	3137148618	49.9203	3142688430	50.0084	4481550	0.0713132	6284318598	76.9074	8171274997
T2T12	imputed	2595782407	1270546424	48.9466	20037198788	10499654444	52.4008	5246119445	26.1819	5253534999	26.2189	28050434848	49.2614	28295617638	49.692	595922532	1.04654	56941975018	80.7477	70518369251	21252344467	49.6651	21289730541	49.7525	249233202	0.582439	42791308210	80.6653	53047973222	9497262411	49.9108	9519096672	50.0255	12113195	0.0636583	19028472278	78.8439	24134359616
T2T13	imputed	2415854365	1048782883	43.4125	16772309617	7800312173	46.5071	3893564083	23.2142	3906748090	23.2928	19151845945	49.4176	19210500405	49.569	392731627	1.01337	38755077977	77.2815	50147955186	14398003823	49.6457	14436878749	49.7798	166616022	0.574508	29001498594	77.3887	37475101794	6277465056	49.9054	6293111032	50.0298	8158725	0.0648613	12578734813	75.5469	16650233251
T2T15	imputed	1060414970	541936917	51.1061	8616469780	4250872354	49.3343	2137845050	24.8111	2113027304	24.5231	10927881490	49.8998	10720012872	48.9506	251750276	1.14956	21899644638	80.0541	27356044733	8117670355	49.935	8033705753	49.4185	105111870	0.646584	16256487978	80.2502	20257266948	3537446808	50.2056	3503321049	49.7213	5151043	0.0731068	7045918900	78.741	8948222064
T2T16	imputed	834788012	457994515	54.8636	7718834431	4385123786	56.8107	2194776653	28.434	2190347133	28.3767	13414584524	49.5542	13407600875	49.5284	248342211	0.91739	27070527610	82.8232	32684722443	10155904694	49.8175	10125588289	49.6688	104710177	0.513633	20386203160	82.6622	24662071964	4472667918	49.9967	4468416546	49.9492	4838526	0.0540864	8945922990	80.7813	11074252498
T2T17	imputed	770060523	387326559	50.2982	6083869490	3022140094	49.6746	1515200756	24.9052	1506939338	24.7694	7854080898	49.5789	7805636049	49.2731	181862260	1.14801	15841579207	79.4334	19943216032	5999577996	49.8339	5963015856	49.5302	76568242	0.635993	12039162094	79.6683	15111609018	2752218478	50.1263	2734470812	49.8031	3874374	0.0705642	5490563664	78.2166	7019690084
T2T18	imputed	773452411	302004999	39.0464	4384085788	1961843086	44.7492	981648660	22.3912	980194426	22.358	4342421138	49.5954	4321531319	49.3568	91749347	1.04788	8755701804	77.0274	11366997679	3309106075	49.7413	3304476647	49.6717	39047289	0.586945	6652630011	77.1198	8626362620	1507270337	49.9856	1506028432	49.9444	2112535	0.0700579	3015411304	75.217	4008948188
T2T19	imputed	912021410	396881030	43.5166	5993071226	2381678507	39.7405	1187289191	19.811	1194389316	19.9295	5557933563	49.374	5586100268	49.6242	112763178	1.00173	11256797009	76.6583	14684388810	4191097827	49.6216	4207677747	49.8179	47338522	0.560477	8446114096	77.1394	10949156627	1909690956	49.8546	1918287464	50.079	2540668	0.066327	3830519088	75.8401	5050784413
T2T00	snp-tagged	1294061399	600617499	46.4134	9923540433	1267491179	12.7726	635143898	6.40038	632347281	6.37219	383427268	47.5121	379269292	46.9969	44312771	5.49099	807009331	2.32701	34680085725	295890063	48.1785	293677163	47.8182	24585892	4.00322	614153118	2.40542	25532032863	144746517	49.1963	144197793	49.0098	5278300	1.79398	294222610	2.66347	11046570854
T2T00_1	snp-tagged	788484735	403942090	51.2302	6811452900	890843712	13.0786	446883440	6.56077	443960272	6.51785	252018599	47.2171	247348786	46.3422	34376683	6.44067	533744068	2.51376	21232889667	195460236	48.0591	192467833	47.3233	18780081	4.61758	406708150	2.60447	15615769816	91128853	49.2616	90067517	48.6879	3793196	2.05049	184989566	2.8496	6491773979
T2T00_2	snp-tagged	712604230	377364434	52.9557	6751264381	878295586	13.0093	439813656	6.51454	438481930	6.49481	305472718	47.2317	306275027	47.3558	35005505	5.4125	646753250	2.33796	27663180076	237804857	48.0753	237244687	47.9621	19600813	3.96256	494650357	2.39998	20610581857	114216727	49.1849	113738307	48.9789	4263884	1.83615	232218918	2.60151	8926308390
T2T04	snp-tagged	1853187710	828884656	44.7275	13692476417	1717291625	12.5419	854637274	6.24166	862654351	6.30021	510853890	47.0405	516469453	47.5576	58663894	5.4019	1085987237	2.42386	44804019575	397421551	47.7052	402683861	48.3368	32973507	3.95803	833078919	2.49318	33414290387	192234692	48.878	193970532	49.3193	7089786	1.80266	393295010	2.70635	14532310487
T2T04_1	snp-tagged	684284939	358337425	52.3667	5829107834	765463343	13.1317	383276114	6.57521	382187229	6.55653	244651867	47.9103	242394771	47.4682	23599488	4.6215	510646126	2.18939	23323667133	196856155	48.4768	195561515	48.158	13665558	3.36521	406083228	2.25216	18030830541	107054953	49.345	106725684	49.1932	3171303	1.46175	216951940	2.44452	8875017171
T2T04_2	snp-tagged	855048621	415861322	48.636	6486158037	856684513	13.2079	428369138	6.60436	428315375	6.60353	228082048	46.9335	228009428	46.9186	29876580	6.14785	485968056	2.52876	19217672510	177425302	47.7602	177620914	47.8128	16446022	4.42702	371492238	2.59744	14302224059	82517775	48.9974	82512672	48.9944	3381969	2.00815	168412416	2.80595	6001970146
T2T01	snp-tagged	1094717572	511406303	46.7158	6866711650	911009661	13.267	455243717	6.62972	455765944	6.63732	180708545	47.0763	181137713	47.1881	22016739	5.73557	383862997	2.33685	16426531888	145033475	47.9138	145295278	48.0002	12368198	4.086	302696951	2.44367	12386998324	81834300	49.0607	82192948	49.2757	2774817	1.66354	166802065	2.73768	6092834512
T2T02	snp-tagged	998275739	439160580	43.9919	5875624358	725983599	12.3559	361898264	6.15932	364085335	6.19654	91571353	45.4326	92608177	45.947	17374607	8.62032	201554137	2.57809	7817961518	70330809	46.7434	71000359	47.1884	9130446	6.06829	150461614	2.71321	5545521137	32960440	48.467	33332006	49.0133	1713552	2.51971	68005998	2.99709	2269069714
T2T03	snp-tagged	817165331	420556271	51.4653	6416671336	884582493	13.7857	443328924	6.90902	441253569	6.87667	243597127	47.2691	241125663	46.7895	30618550	5.94141	515341340	2.57011	20051335920	189718948	48.1172	187633346	47.5882	16932779	4.29455	394285073	2.66564	14791400484	94546755	49.3411	93534330	48.8128	3537401	1.84606	191618486	2.93755	6523070878
T2T05	snp-tagged	1237582491	548030891	44.2824	7296099980	953376903	13.0669	476668811	6.5332	476708092	6.53374	182367382	47.1928	183245074	47.4199	20818383	5.38735	386430839	2.24864	17185058429	150678945	48.0821	151146988	48.2315	11552313	3.68638	313378246	2.34335	13373071590	86135233	49.2298	86279713	49.3124	2550584	1.45776	174965530	2.61249	6697279924
T2T06	snp-tagged	656550070	284410137	43.3189	3675124309	450086250	12.2468	224368130	6.10505	225718120	6.14178	48095104	45.2264	48385564	45.4995	9862324	9.27407	106342992	2.66383	3992101908	36705370	46.5046	37017708	46.9004	5205324	6.59499	78928402	2.82381	2795106425	17254511	48.5645	17272037	48.6139	1002486	2.8216	35529034	3.15259	1126977735
T2T07	snp-tagged	968720254	504652140	52.0947	7604530120	1016139821	13.3623	506815605	6.66465	509324216	6.69764	268020721	46.9982	270805023	47.4864	31452876	5.51535	570278620	2.34638	24304652697	213545829	47.7906	215480215	48.2236	17809986	3.9858	446836030	2.42998	18388462961	112334513	48.9204	113289853	49.3364	4002864	1.7432	229627230	2.6808	8565628906
T2T08	snp-tagged	730110308	331225940	45.3666	5276978719	649487309	12.3079	322452524	6.11055	327034785	6.19739	146691525	45.6642	151871219	47.2766	22677010	7.05922	321239754	2.73474	11746640684	111466101	46.7032	114961400	48.1677	12241568	5.1291	238669069	2.84829	8379375346	49733463	48.2213	50980181	49.4301	2422247	2.3486	103135891	3.10523	3321358258
T2T09	snp-tagged	1218548943	547720485	44.9486	7638652841	946123389	12.386	476898705	6.24323	469224684	6.14277	138229722	45.9449	135152094	44.9219	27478059	9.13318	300859875	2.84804	10563736600	103513388	47.3715	100597468	46.037	14403386	6.59151	218514242	2.99448	7297229497	46425278	49.2708	45126568	47.8925	2672840	2.83667	94224686	3.31139	2845469692
T2T10	snp-tagged	1257064069	543879016	43.2658	7324170287	921794529	12.5857	459890533	6.27908	461903996	6.30657	135678713	45.8915	137245654	46.4215	22726599	7.68697	295650966	2.58486	11437799632	103259584	46.994	104354153	47.4921	12115574	5.51386	219729311	2.68993	8168581219	48230896	48.6426	48577806	48.9925	2344918	2.36493	99153620	2.93625	3376883671
T2T11	snp-tagged	931106689	478593324	51.4005	7400713124	973837395	13.1587	486555472	6.57444	487281923	6.58426	255016817	46.8098	256222740	47.0311	33554349	6.15909	544793906	2.30423	23643201106	200138003	47.7301	200093630	47.7195	19080587	4.55045	419312220	2.37303	17669896399	103247035	49.002	103253273	49.005	4199211	1.99299	210699519	2.57854	8171274997
T2T12	snp-tagged	2595782407	1270546424	48.9466	20037198788	2693912139	13.4446	1348042881	6.7277	1345869258	6.71685	780027190	47.1794	783250704	47.3744	90043050	5.44619	1653320944	2.34453	70518369251	614267680	48.0626	612912520	47.9565	50878214	3.9809	1278058414	2.40925	53047973222	310906371	49.1218	310716344	49.0918	11306577	1.78639	632929292	2.62252	24134359616
T2T13	snp-tagged	2415854365	1048782883	43.4125	16772309617	2047933609	12.2102	1021284877	6.08911	1026648732	6.12109	494408940	46.9182	499606051	47.4114	59751880	5.67031	1053766871	2.10132	50147955186	390268420	47.67	394348450	48.1683	34071503	4.16172	818688373	2.18462	37475101794	196118900	48.8135	198005954	49.2832	7646587	1.90322	401771441	2.41301	16650233251
T2T15	snp-tagged	1060414970	541936917	51.1061	8616469780	1143240971	13.2681	574957236	6.67277	568283735	6.59532	321879876	47.6431	313485881	46.4007	40240327	5.95618	675606084	2.46968	27356044733	248515067	48.2108	244496039	47.4312	22464503	4.35801	515475609	2.54465	20257266948	122485003	49.4053	120600389	48.6451	4833570	1.94966	247918962	2.77059	8948222064
T2T16	snp-tagged	834788012	457994515	54.8636	7718834431	1030842951	13.3549	516714029	6.6942	514128922	6.66071	351059392	47.9118	347027593	47.3616	34633102	4.72665	732720087	2.24178	32684722443	275807692	48.5863	271937691	47.9046	19920006	3.50911	567665389	2.30177	24662071964	136926913	49.466	135417467	48.9207	4465658	1.61326	276810038	2.49958	11074252498
T2T17	snp-tagged	770060523	387326559	50.2982	6083869490	807489885	13.2726	405416514	6.66379	402073371	6.60884	221121682	47.3975	216496791	46.4061	28907978	6.19643	466526451	2.33927	19943216032	175685612	48.2567	172064703	47.2621	16314749	4.48127	364065064	2.40917	15111609018	90680670	49.4785	88960568	48.54	3631558	1.9815	183272796	2.61084	7019690084
T2T18	snp-tagged	773452411	302004999	39.0464	4384085788	569495636	12.9901	284759106	6.49529	284736530	6.49478	128382711	47.1635	127852111	46.9686	15972899	5.86791	272207721	2.39472	11366997679	102247601	47.9199	102092477	47.8472	9031887	4.23293	213371965	2.47349	8626362620	52733894	49.1052	52663768	49.0399	1991941	1.85487	107389603	2.67875	4008948188
T2T19	snp-tagged	912021410	396881030	43.5166	5993071226	716715326	11.9591	356790928	5.95339	359924398	6.00568	145074107	46.5186	147728408	47.3697	19060254	6.11174	311862769	2.12377	14684388810	114138414	47.3706	116185982	48.2204	10623338	4.40898	240947734	2.20061	10949156627	59491055	48.6426	60422248	49.404	2389038	1.95339	122302341	2.42145	5050784413
