[M::mm_idx_gen::67.273*1.50] collected minimizers
[M::mm_idx_gen::71.129*2.21] sorted minimizers
[M::main::71.129*2.21] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::73.050*2.17] mid_occ = 892
[M::worker_pipeline::6388.308*29.18] mapped 39701 sequences
[M::worker_pipeline::6445.252*29.17] mapped 39080 sequences
[M::worker_pipeline::6501.134*29.18] mapped 28980 sequences
[M::worker_pipeline::6524.897*29.26] mapped 41074 sequences
[M::worker_pipeline::6640.728*29.20] mapped 34148 sequences
[M::worker_pipeline::6645.397*29.18] mapped 34407 sequences
[M::worker_pipeline::6686.371*29.31] mapped 38084 sequences
[M::worker_pipeline::6771.235*29.23] mapped 36190 sequences
[M::worker_pipeline::6829.721*29.24] mapped 37534 sequences
[M::worker_pipeline::6871.000*29.34] mapped 37700 sequences
[M::worker_pipeline::6941.565*29.37] mapped 34071 sequences
[M::worker_pipeline::6992.208*29.42] mapped 39222 sequences
[M::worker_pipeline::7045.811*29.48] mapped 37713 sequences
[M::worker_pipeline::7112.605*29.50] mapped 37691 sequences
[M::worker_pipeline::7173.142*29.53] mapped 38131 sequences
[M::worker_pipeline::7232.250*29.59] mapped 36492 sequences
[M::worker_pipeline::7290.344*29.61] mapped 36994 sequences
[M::worker_pipeline::7373.961*29.55] mapped 37418 sequences
[M::worker_pipeline::7449.482*29.54] mapped 37532 sequences
[M::worker_pipeline::7516.975*29.56] mapped 34187 sequences
[M::worker_pipeline::7567.915*29.64] mapped 36269 sequences
[M::worker_pipeline::7613.332*29.71] mapped 48086 sequences
[M::worker_pipeline::7700.025*29.62] mapped 46821 sequences
[M::worker_pipeline::7756.637*29.68] mapped 39108 sequences
[M::worker_pipeline::7813.353*29.73] mapped 35558 sequences
[M::worker_pipeline::7968.811*29.57] mapped 45890 sequences
[M::worker_pipeline::7974.832*29.55] mapped 43392 sequences
[M::worker_pipeline::8054.045*29.61] mapped 28313 sequences
[M::worker_pipeline::8102.130*29.69] mapped 31769 sequences
[M::worker_pipeline::8171.912*29.67] mapped 37478 sequences
[M::worker_pipeline::8266.852*29.60] mapped 34641 sequences
[M::worker_pipeline::8308.028*29.66] mapped 47554 sequences
[M::worker_pipeline::8376.595*29.68] mapped 40649 sequences
[M::worker_pipeline::8439.183*29.70] mapped 37435 sequences
[M::worker_pipeline::8523.143*29.66] mapped 34318 sequences
[M::worker_pipeline::8594.803*29.66] mapped 36252 sequences
[M::worker_pipeline::8637.177*29.71] mapped 44345 sequences
[M::worker_pipeline::8676.032*29.77] mapped 40398 sequences
[M::worker_pipeline::8745.824*29.78] mapped 25436 sequences
[M::worker_pipeline::8803.411*29.79] mapped 43997 sequences
[M::worker_pipeline::8853.397*29.86] mapped 36828 sequences
[M::worker_pipeline::8927.450*29.85] mapped 37700 sequences
[M::worker_pipeline::8957.898*29.91] mapped 44041 sequences
[M::worker_pipeline::9008.691*29.96] mapped 39028 sequences
[M::worker_pipeline::9064.410*29.97] mapped 36713 sequences
[M::worker_pipeline::9215.491*29.80] mapped 34138 sequences
[M::worker_pipeline::9220.981*29.79] mapped 36569 sequences
[M::worker_pipeline::9375.925*29.57] mapped 38780 sequences
[M::worker_pipeline::9470.058*29.56] mapped 22995 sequences
[M::worker_pipeline::9526.179*29.55] mapped 39571 sequences
[M::worker_pipeline::9593.856*29.54] mapped 38573 sequences
[M::worker_pipeline::9684.408*29.49] mapped 30749 sequences
[M::worker_pipeline::9754.662*29.49] mapped 41079 sequences
[M::worker_pipeline::9817.320*29.49] mapped 37387 sequences
[M::worker_pipeline::9902.449*29.45] mapped 40839 sequences
[M::worker_pipeline::9978.418*29.44] mapped 37350 sequences
[M::worker_pipeline::10035.917*29.46] mapped 37739 sequences
[M::worker_pipeline::10096.841*29.50] mapped 27697 sequences
[M::worker_pipeline::10153.727*29.48] mapped 39067 sequences
[M::worker_pipeline::10217.587*29.51] mapped 34828 sequences
[M::worker_pipeline::10269.840*29.57] mapped 36832 sequences
[M::worker_pipeline::10308.945*29.62] mapped 41363 sequences
[M::worker_pipeline::10371.152*29.65] mapped 33035 sequences
[M::worker_pipeline::10408.665*29.68] mapped 36539 sequences
[M::worker_pipeline::10451.399*29.69] mapped 39642 sequences
[M::worker_pipeline::10610.204*29.51] mapped 33846 sequences
[M::worker_pipeline::10616.971*29.49] mapped 37569 sequences
[M::worker_pipeline::10670.810*29.49] mapped 39811 sequences
[M::worker_pipeline::10727.027*29.50] mapped 37204 sequences
[M::worker_pipeline::10767.556*29.53] mapped 38059 sequences
[M::worker_pipeline::10827.357*29.50] mapped 31631 sequences
[M::worker_pipeline::10855.535*29.55] mapped 44659 sequences
[M::worker_pipeline::10915.918*29.50] mapped 39179 sequences
[M::worker_pipeline::10951.617*29.55] mapped 35018 sequences
[M::worker_pipeline::10997.060*29.61] mapped 36043 sequences
[M::worker_pipeline::11061.045*29.60] mapped 39319 sequences
[M::worker_pipeline::11106.200*29.63] mapped 37483 sequences
[M::worker_pipeline::11148.259*29.66] mapped 39757 sequences
[M::worker_pipeline::11193.473*29.66] mapped 37773 sequences
[M::worker_pipeline::11223.315*29.69] mapped 38563 sequences
[M::worker_pipeline::11270.933*29.70] mapped 36785 sequences
[M::worker_pipeline::11342.339*29.68] mapped 36227 sequences
[M::worker_pipeline::11406.488*29.68] mapped 35834 sequences
[M::worker_pipeline::11503.736*29.60] mapped 35401 sequences
[M::worker_pipeline::11553.827*29.58] mapped 37873 sequences
[M::worker_pipeline::11684.995*29.53] mapped 42567 sequences
[M::worker_pipeline::11692.108*29.51] mapped 39704 sequences
[M::worker_pipeline::11785.720*29.48] mapped 38279 sequences
[M::worker_pipeline::11859.699*29.48] mapped 31360 sequences
[M::worker_pipeline::11959.795*29.40] mapped 38755 sequences
[M::worker_pipeline::12035.564*29.37] mapped 37256 sequences
[M::worker_pipeline::12074.079*29.41] mapped 39407 sequences
[M::worker_pipeline::12118.005*29.43] mapped 37815 sequences
[M::worker_pipeline::12214.952*29.35] mapped 28405 sequences
[M::worker_pipeline::12270.543*29.38] mapped 38930 sequences
[M::worker_pipeline::12330.930*29.38] mapped 32395 sequences
[M::worker_pipeline::12379.210*29.42] mapped 36711 sequences
[M::worker_pipeline::12438.311*29.43] mapped 50012 sequences
[M::worker_pipeline::12507.256*29.43] mapped 38306 sequences
[M::worker_pipeline::12550.072*29.48] mapped 38213 sequences
[M::worker_pipeline::12611.221*29.50] mapped 35598 sequences
[M::worker_pipeline::12666.494*29.51] mapped 40687 sequences
[M::worker_pipeline::12713.073*29.54] mapped 38238 sequences
[M::worker_pipeline::12792.425*29.53] mapped 36469 sequences
[M::worker_pipeline::12844.176*29.56] mapped 37170 sequences
[M::worker_pipeline::13020.208*29.45] mapped 38824 sequences
[M::worker_pipeline::13028.036*29.43] mapped 38126 sequences
[M::worker_pipeline::13074.356*29.49] mapped 35015 sequences
[M::worker_pipeline::13120.901*29.52] mapped 41309 sequences
[M::worker_pipeline::13167.951*29.56] mapped 35367 sequences
[M::worker_pipeline::13259.362*29.52] mapped 33156 sequences
[M::worker_pipeline::13306.365*29.55] mapped 40337 sequences
[M::worker_pipeline::13365.456*29.56] mapped 38852 sequences
[M::worker_pipeline::13399.563*29.60] mapped 38940 sequences
[M::worker_pipeline::13435.319*29.65] mapped 35709 sequences
[M::worker_pipeline::13528.014*29.58] mapped 38344 sequences
[M::worker_pipeline::13595.801*29.57] mapped 38542 sequences
[M::worker_pipeline::13663.457*29.56] mapped 36981 sequences
[M::worker_pipeline::13725.021*29.55] mapped 35487 sequences
[M::worker_pipeline::13780.125*29.56] mapped 35943 sequences
[M::worker_pipeline::13813.280*29.58] mapped 36092 sequences
[M::worker_pipeline::13858.411*29.60] mapped 39016 sequences
[M::worker_pipeline::13927.456*29.56] mapped 35494 sequences
[M::worker_pipeline::13991.616*29.56] mapped 36146 sequences
[M::worker_pipeline::14138.177*29.48] mapped 36862 sequences
[M::worker_pipeline::14143.750*29.47] mapped 36988 sequences
[M::worker_pipeline::14213.034*29.48] mapped 37497 sequences
[M::worker_pipeline::14297.243*29.45] mapped 36162 sequences
[M::worker_pipeline::14371.719*29.39] mapped 33687 sequences
[M::main] Version: 2.28-r1209
[M::main] CMD: minimap2 --MD -ax map-ont --eqx -t 60 data/ref/T2T-CHM13.v2.fasta assembly/input/TUE_02_01UL/TUE_02_01UL.UL.fastq.gz
[M::main] Real time: 14372.527 sec; CPU: 422367.016 sec; Peak RSS: 28.780 GB
[bam_sort_core] merging from 11 files and 4 in-memory blocks...
