[M::mm_idx_gen::51.209*1.54] collected minimizers
[M::mm_idx_gen::53.405*2.20] sorted minimizers
[M::main::53.405*2.20] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::54.695*2.17] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::55.343*2.16] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::139.007*29.42] mapped 7076 sequences
[M::worker_pipeline::149.234*31.35] mapped 6817 sequences
[M::worker_pipeline::159.693*33.11] mapped 6665 sequences
[M::worker_pipeline::171.424*34.74] mapped 6588 sequences
[M::worker_pipeline::184.529*36.21] mapped 6478 sequences
[M::worker_pipeline::193.846*37.23] mapped 6173 sequences
[M::worker_pipeline::204.267*38.26] mapped 5946 sequences
[M::worker_pipeline::214.576*39.16] mapped 6120 sequences
[M::worker_pipeline::229.260*40.36] mapped 6219 sequences
[M::worker_pipeline::246.149*41.43] mapped 5810 sequences
[M::worker_pipeline::259.638*42.28] mapped 6275 sequences
[M::worker_pipeline::391.273*44.84] mapped 6270 sequences
[M::worker_pipeline::645.523*49.47] mapped 6551 sequences
[M::worker_pipeline::718.637*50.12] mapped 6335 sequences
[M::worker_pipeline::726.359*50.08] mapped 6559 sequences
[M::worker_pipeline::736.492*50.19] mapped 6353 sequences
[M::worker_pipeline::746.393*50.29] mapped 6259 sequences
[M::worker_pipeline::756.054*50.39] mapped 5909 sequences
[M::worker_pipeline::768.258*50.51] mapped 5762 sequences
[M::worker_pipeline::776.925*50.59] mapped 6599 sequences
[M::worker_pipeline::826.262*49.95] mapped 6058 sequences
[M::worker_pipeline::847.146*49.01] mapped 6662 sequences
[M::worker_pipeline::856.251*49.09] mapped 6263 sequences
[M::worker_pipeline::866.483*49.04] mapped 6630 sequences
[M::worker_pipeline::882.902*48.85] mapped 6437 sequences
[M::worker_pipeline::891.214*48.93] mapped 6422 sequences
[M::worker_pipeline::903.750*49.04] mapped 6318 sequences
[M::worker_pipeline::916.785*49.18] mapped 6169 sequences
[M::worker_pipeline::928.251*49.28] mapped 6174 sequences
[M::worker_pipeline::938.979*49.37] mapped 6122 sequences
[M::worker_pipeline::948.956*49.46] mapped 6395 sequences
[M::worker_pipeline::958.689*49.55] mapped 6020 sequences
[M::worker_pipeline::1124.762*50.50] mapped 6527 sequences
[M::worker_pipeline::1131.030*50.52] mapped 6388 sequences
[M::worker_pipeline::1141.506*50.58] mapped 6274 sequences
[M::worker_pipeline::1150.311*50.64] mapped 6322 sequences
[M::worker_pipeline::1162.331*50.72] mapped 6380 sequences
[M::worker_pipeline::1173.904*50.79] mapped 5872 sequences
[M::worker_pipeline::1186.850*50.86] mapped 6024 sequences
[M::worker_pipeline::1196.376*50.91] mapped 5981 sequences
[M::worker_pipeline::1205.113*50.96] mapped 6260 sequences
[M::worker_pipeline::1214.294*51.02] mapped 6034 sequences
[M::worker_pipeline::1261.853*49.89] mapped 5832 sequences
[M::worker_pipeline::1264.275*49.80] mapped 6276 sequences
[M::worker_pipeline::1277.763*49.85] mapped 5978 sequences
[M::worker_pipeline::1286.149*49.91] mapped 6602 sequences
[M::worker_pipeline::1296.159*49.96] mapped 6487 sequences
[M::worker_pipeline::1305.488*50.02] mapped 6625 sequences
[M::worker_pipeline::1314.310*50.08] mapped 6455 sequences
[M::worker_pipeline::1324.256*50.14] mapped 6136 sequences
[M::worker_pipeline::1336.879*50.20] mapped 6105 sequences
[M::worker_pipeline::1351.927*50.28] mapped 6413 sequences
[M::worker_pipeline::1363.372*50.34] mapped 6558 sequences
[M::worker_pipeline::1371.682*50.38] mapped 6404 sequences
[M::worker_pipeline::1380.904*50.43] mapped 6197 sequences
[M::worker_pipeline::1391.691*50.47] mapped 5794 sequences
[M::worker_pipeline::1944.572*51.44] mapped 5287 sequences
[M::worker_pipeline::2012.401*51.08] mapped 5999 sequences
[M::worker_pipeline::2025.608*51.12] mapped 5943 sequences
[M::worker_pipeline::2035.658*51.15] mapped 6167 sequences
[M::worker_pipeline::2045.997*51.19] mapped 6461 sequences
[M::worker_pipeline::2056.681*51.22] mapped 6429 sequences
[M::worker_pipeline::2067.603*51.25] mapped 6027 sequences
[M::worker_pipeline::2082.156*51.29] mapped 6126 sequences
[M::worker_pipeline::2099.269*51.35] mapped 5865 sequences
[M::worker_pipeline::2152.762*50.65] mapped 6043 sequences
[M::worker_pipeline::2157.383*50.54] mapped 6159 sequences
[M::worker_pipeline::2196.512*50.58] mapped 6579 sequences
[M::worker_pipeline::2224.771*50.57] mapped 6661 sequences
[M::worker_pipeline::2235.351*50.60] mapped 6079 sequences
[M::worker_pipeline::2244.420*50.63] mapped 5970 sequences
[M::worker_pipeline::2254.464*50.66] mapped 6111 sequences
[M::worker_pipeline::2471.412*51.23] mapped 5741 sequences
[M::worker_pipeline::2488.512*51.28] mapped 6258 sequences
[M::worker_pipeline::2500.173*51.31] mapped 5797 sequences
[M::worker_pipeline::2511.388*51.34] mapped 6167 sequences
[M::worker_pipeline::2522.207*51.37] mapped 6188 sequences
[M::worker_pipeline::2534.065*51.40] mapped 5845 sequences
[M::worker_pipeline::2546.978*51.43] mapped 5942 sequences
[M::worker_pipeline::2557.413*51.46] mapped 5925 sequences
[M::worker_pipeline::2575.786*51.50] mapped 5915 sequences
[M::worker_pipeline::2593.790*51.54] mapped 5761 sequences
[M::worker_pipeline::2609.559*51.58] mapped 6170 sequences
[M::worker_pipeline::2619.492*51.60] mapped 6108 sequences
[M::worker_pipeline::2635.173*51.64] mapped 5980 sequences
[M::worker_pipeline::2650.144*51.68] mapped 5919 sequences
[M::worker_pipeline::2663.627*51.71] mapped 6133 sequences
[M::worker_pipeline::2725.432*51.27] mapped 6469 sequences
[M::worker_pipeline::2727.862*51.23] mapped 6424 sequences
[M::worker_pipeline::2745.327*51.26] mapped 5871 sequences
[M::worker_pipeline::2759.355*51.29] mapped 5868 sequences
[M::worker_pipeline::2774.527*51.33] mapped 6209 sequences
[M::worker_pipeline::3051.177*51.06] mapped 6138 sequences
[M::worker_pipeline::3057.094*51.03] mapped 6258 sequences
[M::worker_pipeline::3077.414*50.96] mapped 6296 sequences
[M::worker_pipeline::3087.136*50.98] mapped 6182 sequences
[M::worker_pipeline::3097.297*51.00] mapped 5872 sequences
[M::worker_pipeline::3108.942*51.03] mapped 5951 sequences
[M::worker_pipeline::3122.743*51.05] mapped 5911 sequences
[M::worker_pipeline::3137.964*51.09] mapped 6060 sequences
[M::worker_pipeline::3148.932*51.12] mapped 6078 sequences
[M::worker_pipeline::3157.929*51.14] mapped 6629 sequences
[M::worker_pipeline::3166.961*51.15] mapped 6385 sequences
[M::worker_pipeline::3179.639*51.18] mapped 6426 sequences
[M::worker_pipeline::3189.957*51.15] mapped 6280 sequences
[M::worker_pipeline::3204.505*51.18] mapped 6706 sequences
[M::worker_pipeline::3217.615*51.21] mapped 6354 sequences
[M::worker_pipeline::3229.368*51.23] mapped 6104 sequences
[M::worker_pipeline::3240.971*51.25] mapped 6520 sequences
[M::worker_pipeline::3288.931*50.82] mapped 6503 sequences
[M::worker_pipeline::3291.632*50.78] mapped 6171 sequences
[M::worker_pipeline::3504.389*51.13] mapped 6027 sequences
