[M::mm_idx_gen::39.117*1.51] collected minimizers
[M::mm_idx_gen::42.311*2.90] sorted minimizers
[M::main::42.311*2.90] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::43.652*2.84] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::44.322*2.81] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::145.723*12.77] mapped 3728 sequences
[M::worker_pipeline::211.823*15.82] mapped 3675 sequences
[M::worker_pipeline::284.922*17.95] mapped 3679 sequences
[M::worker_pipeline::346.126*19.19] mapped 3604 sequences
[M::worker_pipeline::390.761*20.50] mapped 3614 sequences
[M::worker_pipeline::475.559*20.21] mapped 3683 sequences
[M::worker_pipeline::562.592*19.51] mapped 3688 sequences
[M::worker_pipeline::601.321*20.50] mapped 3704 sequences
[M::worker_pipeline::661.661*21.03] mapped 3700 sequences
[M::worker_pipeline::746.363*20.75] mapped 3664 sequences
[M::worker_pipeline::805.958*21.00] mapped 3331 sequences
[M::worker_pipeline::898.867*20.48] mapped 3124 sequences
[M::worker_pipeline::956.754*20.59] mapped 3223 sequences
[M::worker_pipeline::1079.265*19.99] mapped 3260 sequences
[M::worker_pipeline::1159.317*19.87] mapped 3403 sequences
[M::worker_pipeline::1423.606*17.89] mapped 3393 sequences
[M::worker_pipeline::1593.091*17.08] mapped 3399 sequences
[M::worker_pipeline::1682.139*17.11] mapped 3212 sequences
[M::worker_pipeline::1856.719*17.17] mapped 3412 sequences
[M::worker_pipeline::1881.745*17.10] mapped 3384 sequences
[M::worker_pipeline::2033.288*16.70] mapped 3349 sequences
[M::worker_pipeline::2095.990*16.90] mapped 3408 sequences
[M::worker_pipeline::2142.423*17.20] mapped 3301 sequences
[M::worker_pipeline::2288.761*16.87] mapped 3305 sequences
[M::worker_pipeline::2372.339*17.02] mapped 3480 sequences
[M::worker_pipeline::2464.288*17.09] mapped 3448 sequences
[M::worker_pipeline::2513.926*17.34] mapped 3450 sequences
[M::worker_pipeline::2577.744*17.56] mapped 3536 sequences
[M::worker_pipeline::2652.975*17.69] mapped 3511 sequences
[M::worker_pipeline::2718.498*17.96] mapped 3498 sequences
[M::worker_pipeline::2806.957*17.98] mapped 3512 sequences
[M::worker_pipeline::2906.665*17.91] mapped 3569 sequences
[M::worker_pipeline::2964.732*18.12] mapped 3512 sequences
[M::worker_pipeline::3033.363*18.18] mapped 3566 sequences
[M::worker_pipeline::3116.722*18.21] mapped 3420 sequences
[M::worker_pipeline::3192.249*18.31] mapped 3561 sequences
[M::worker_pipeline::3240.710*18.48] mapped 3583 sequences
[M::worker_pipeline::3391.010*18.50] mapped 3752 sequences
[M::worker_pipeline::3403.565*18.52] mapped 3571 sequences
[M::worker_pipeline::3506.016*18.49] mapped 3643 sequences
[M::worker_pipeline::3610.391*18.38] mapped 3720 sequences
[M::worker_pipeline::3677.885*18.48] mapped 3503 sequences
[M::worker_pipeline::3835.610*18.18] mapped 3615 sequences
[M::worker_pipeline::3902.351*18.24] mapped 3670 sequences
[M::worker_pipeline::4038.536*18.05] mapped 3823 sequences
[M::worker_pipeline::4178.806*17.86] mapped 3816 sequences
[M::worker_pipeline::4262.757*17.86] mapped 3800 sequences
[M::worker_pipeline::4347.246*17.87] mapped 3576 sequences
[M::worker_pipeline::4408.087*17.97] mapped 3365 sequences
[M::worker_pipeline::4510.303*17.91] mapped 3604 sequences
[M::worker_pipeline::4628.372*17.80] mapped 3664 sequences
[M::worker_pipeline::4699.352*17.89] mapped 3771 sequences
[M::worker_pipeline::4780.940*17.89] mapped 3856 sequences
[M::worker_pipeline::4939.531*17.64] mapped 3924 sequences
[M::worker_pipeline::5017.529*17.69] mapped 4047 sequences
[M::worker_pipeline::5167.337*17.66] mapped 4009 sequences
[M::worker_pipeline::5171.813*17.65] mapped 4154 sequences
[M::worker_pipeline::5273.597*17.72] mapped 4153 sequences
[M::worker_pipeline::5345.948*17.77] mapped 3859 sequences
[M::worker_pipeline::5424.030*17.80] mapped 3413 sequences
[M::worker_pipeline::5486.393*17.87] mapped 4270 sequences
[M::worker_pipeline::5541.811*17.94] mapped 4421 sequences
[M::worker_pipeline::5607.331*18.01] mapped 4187 sequences
[M::worker_pipeline::5748.767*17.89] mapped 3148 sequences
[M::worker_pipeline::5796.100*18.01] mapped 4570 sequences
[M::worker_pipeline::5843.345*18.10] mapped 3686 sequences
[M::worker_pipeline::5958.540*18.08] mapped 3543 sequences
[M::worker_pipeline::6193.994*17.82] mapped 3496 sequences
[M::worker_pipeline::6400.764*17.66] mapped 3682 sequences
[M::worker_pipeline::6484.337*17.81] mapped 3518 sequences
[M::worker_pipeline::6585.961*17.93] mapped 3463 sequences
[M::worker_pipeline::6693.895*18.07] mapped 3509 sequences
[M::worker_pipeline::6769.131*18.17] mapped 3530 sequences
[M::worker_pipeline::6989.989*17.98] mapped 3758 sequences
[M::worker_pipeline::6995.662*17.98] mapped 3770 sequences
[M::worker_pipeline::7093.193*18.01] mapped 3640 sequences
[M::worker_pipeline::7164.192*18.02] mapped 3689 sequences
[M::worker_pipeline::7242.346*18.02] mapped 3671 sequences
[M::worker_pipeline::7305.240*18.03] mapped 3896 sequences
[M::worker_pipeline::7400.213*18.01] mapped 3748 sequences
[M::worker_pipeline::7457.696*18.06] mapped 3693 sequences
[M::worker_pipeline::7519.654*18.10] mapped 3631 sequences
[M::worker_pipeline::7591.221*18.12] mapped 3702 sequences
[M::worker_pipeline::7646.351*18.16] mapped 3519 sequences
[M::worker_pipeline::7715.926*18.20] mapped 3484 sequences
[M::worker_pipeline::7775.656*18.24] mapped 3443 sequences
[M::worker_pipeline::7842.021*18.27] mapped 3424 sequences
[M::worker_pipeline::7983.789*18.20] mapped 3645 sequences
[M::worker_pipeline::8054.938*18.23] mapped 3560 sequences
[M::worker_pipeline::8136.031*18.25] mapped 3572 sequences
[M::worker_pipeline::8428.371*17.85] mapped 3514 sequences
[M::worker_pipeline::8504.659*17.92] mapped 3409 sequences
[M::worker_pipeline::8696.719*17.86] mapped 3479 sequences
[M::worker_pipeline::8722.138*17.84] mapped 3533 sequences
[M::worker_pipeline::8807.247*17.86] mapped 3738 sequences
[M::worker_pipeline::8922.419*17.84] mapped 3506 sequences
[M::worker_pipeline::8976.306*17.91] mapped 3483 sequences
[M::worker_pipeline::9049.508*17.92] mapped 3675 sequences
[M::worker_pipeline::9120.507*17.97] mapped 3665 sequences
[M::worker_pipeline::9235.904*17.94] mapped 3522 sequences
[M::worker_pipeline::9310.355*17.98] mapped 3448 sequences
[M::worker_pipeline::9367.855*18.04] mapped 3673 sequences
[M::worker_pipeline::9461.815*18.04] mapped 3414 sequences
[M::worker_pipeline::9509.402*18.11] mapped 3578 sequences
[M::worker_pipeline::9584.404*18.13] mapped 3603 sequences
[M::worker_pipeline::9646.938*18.19] mapped 3437 sequences
[M::worker_pipeline::9747.897*18.20] mapped 3535 sequences
[M::worker_pipeline::9836.367*18.23] mapped 3467 sequences
[M::worker_pipeline::9904.258*18.26] mapped 3434 sequences
[M::worker_pipeline::9950.786*18.32] mapped 3426 sequences
[M::worker_pipeline::10066.550*18.31] mapped 3401 sequences
[M::worker_pipeline::10174.425*18.30] mapped 3395 sequences
[M::worker_pipeline::10363.172*18.30] mapped 3433 sequences
[M::worker_pipeline::10367.204*18.29] mapped 3493 sequences
[M::worker_pipeline::10542.509*18.18] mapped 3498 sequences
[M::worker_pipeline::10656.636*18.14] mapped 3307 sequences
[M::worker_pipeline::10801.599*18.05] mapped 3430 sequences
[M::worker_pipeline::10860.866*18.09] mapped 3543 sequences
[M::worker_pipeline::10931.303*18.13] mapped 3344 sequences
[M::worker_pipeline::11030.212*18.13] mapped 3443 sequences
[M::worker_pipeline::11086.292*18.18] mapped 3431 sequences
[M::worker_pipeline::11172.237*18.20] mapped 3410 sequences
[M::worker_pipeline::11293.066*18.15] mapped 3450 sequences
[M::worker_pipeline::11371.062*18.18] mapped 3676 sequences
[M::worker_pipeline::11443.954*18.22] mapped 3557 sequences
[M::worker_pipeline::11588.199*18.17] mapped 3474 sequences
[M::worker_pipeline::11727.680*18.12] mapped 3614 sequences
[M::worker_pipeline::11790.912*18.16] mapped 3685 sequences
[M::worker_pipeline::11895.651*18.13] mapped 3628 sequences
[M::worker_pipeline::11967.437*18.15] mapped 3880 sequences
[M::worker_pipeline::12037.267*18.20] mapped 3529 sequences
[M::worker_pipeline::12107.289*18.21] mapped 3787 sequences
[M::worker_pipeline::12257.119*18.22] mapped 3711 sequences
[M::worker_pipeline::12260.837*18.21] mapped 3457 sequences
[M::worker_pipeline::12317.400*18.27] mapped 3738 sequences
[M::worker_pipeline::12389.861*18.30] mapped 3619 sequences
[M::worker_pipeline::12453.596*18.33] mapped 3703 sequences
[M::worker_pipeline::12527.213*18.34] mapped 3815 sequences
[M::worker_pipeline::12629.804*18.33] mapped 3839 sequences
[M::worker_pipeline::12732.962*18.32] mapped 3822 sequences
[M::worker_pipeline::12817.337*18.31] mapped 3681 sequences
[M::worker_pipeline::12877.573*18.34] mapped 3613 sequences
[M::worker_pipeline::12928.569*18.39] mapped 3931 sequences
[M::worker_pipeline::12982.131*18.45] mapped 3906 sequences
[M::worker_pipeline::13049.505*18.48] mapped 3949 sequences
[M::worker_pipeline::13155.853*18.45] mapped 3904 sequences
[M::worker_pipeline::13229.172*18.48] mapped 3914 sequences
[M::worker_pipeline::13303.054*18.51] mapped 3728 sequences
[M::worker_pipeline::13375.069*18.52] mapped 3987 sequences
[M::worker_pipeline::13455.383*18.54] mapped 3793 sequences
[M::worker_pipeline::13550.779*18.56] mapped 3637 sequences
[M::worker_pipeline::13678.255*18.61] mapped 3662 sequences
[M::worker_pipeline::13835.746*18.77] mapped 3729 sequences
[M::worker_pipeline::13932.387*18.68] mapped 3696 sequences
[M::worker_pipeline::14059.979*18.71] mapped 3533 sequences
[M::worker_pipeline::14158.741*18.77] mapped 3658 sequences
[M::worker_pipeline::14398.062*18.67] mapped 3625 sequences
[M::worker_pipeline::14537.495*18.68] mapped 3613 sequences
[M::worker_pipeline::14630.220*18.68] mapped 3548 sequences
[M::worker_pipeline::14813.535*18.58] mapped 3710 sequences
[M::worker_pipeline::14921.382*18.56] mapped 3663 sequences
[M::worker_pipeline::15028.539*18.56] mapped 3518 sequences
