metric	value	haplotype	asm_method	asm_name	source	chromosome
length	2947895164	haplotype1	phased_hprc	HG002	asmstat	NA
ref_covered	0.9075	haplotype1	phased_hprc	HG002	asmstat	NA
asm_covered	0.9653	haplotype1	phased_hprc	HG002	asmstat	NA
length	3051529554	haplotype2	phased_hprc	HG002	asmstat	NA
ref_covered	0.9415	haplotype2	phased_hprc	HG002	asmstat	NA
asm_covered	0.9686	haplotype2	phased_hprc	HG002	asmstat	NA
length	3041251865	haplotype1	phased_hprc	HG00272	asmstat	NA
ref_covered	0.9339	haplotype1	phased_hprc	HG00272	asmstat	NA
asm_covered	0.9642	haplotype1	phased_hprc	HG00272	asmstat	NA
length	3041009244	haplotype2	phased_hprc	HG00272	asmstat	NA
ref_covered	0.9356	haplotype2	phased_hprc	HG00272	asmstat	NA
asm_covered	0.9667	haplotype2	phased_hprc	HG00272	asmstat	NA
length	2936560154	haplotype1	phased_hprc	HG005	asmstat	NA
ref_covered	0.9023	haplotype1	phased_hprc	HG005	asmstat	NA
asm_covered	0.9686	haplotype1	phased_hprc	HG005	asmstat	NA
length	3039594550	haplotype2	phased_hprc	HG005	asmstat	NA
ref_covered	0.9364	haplotype2	phased_hprc	HG005	asmstat	NA
asm_covered	0.9703	haplotype2	phased_hprc	HG005	asmstat	NA
length	3019487537	haplotype1	phased_hprc	HG00639	asmstat	NA
ref_covered	0.9328	haplotype1	phased_hprc	HG00639	asmstat	NA
asm_covered	0.9707	haplotype1	phased_hprc	HG00639	asmstat	NA
length	3035663863	haplotype2	phased_hprc	HG00639	asmstat	NA
ref_covered	0.9321	haplotype2	phased_hprc	HG00639	asmstat	NA
asm_covered	0.9648	haplotype2	phased_hprc	HG00639	asmstat	NA
length	2927093043	haplotype1	phased_hprc	HG01252	asmstat	NA
ref_covered	0.8978	haplotype1	phased_hprc	HG01252	asmstat	NA
asm_covered	0.9645	haplotype1	phased_hprc	HG01252	asmstat	NA
length	3036106664	haplotype2	phased_hprc	HG01252	asmstat	NA
ref_covered	0.9368	haplotype2	phased_hprc	HG01252	asmstat	NA
asm_covered	0.9689	haplotype2	phased_hprc	HG01252	asmstat	NA
length	3024996016	haplotype1	phased_hprc	HG01361	asmstat	NA
ref_covered	0.9347	haplotype1	phased_hprc	HG01361	asmstat	NA
asm_covered	0.9706	haplotype1	phased_hprc	HG01361	asmstat	NA
length	3037739883	haplotype2	phased_hprc	HG01361	asmstat	NA
ref_covered	0.9367	haplotype2	phased_hprc	HG01361	asmstat	NA
asm_covered	0.9707	haplotype2	phased_hprc	HG01361	asmstat	NA
length	2949481628	haplotype1	phased_hprc	HG02083	asmstat	NA
ref_covered	0.9048	haplotype1	phased_hprc	HG02083	asmstat	NA
asm_covered	0.9689	haplotype1	phased_hprc	HG02083	asmstat	NA
length	3026866187	haplotype2	phased_hprc	HG02083	asmstat	NA
ref_covered	0.9313	haplotype2	phased_hprc	HG02083	asmstat	NA
asm_covered	0.9664	haplotype2	phased_hprc	HG02083	asmstat	NA
length	3028269862	haplotype1	phased_hprc	HG02155	asmstat	NA
ref_covered	0.933	haplotype1	phased_hprc	HG02155	asmstat	NA
asm_covered	0.9688	haplotype1	phased_hprc	HG02155	asmstat	NA
length	3032908006	haplotype2	phased_hprc	HG02155	asmstat	NA
ref_covered	0.933	haplotype2	phased_hprc	HG02155	asmstat	NA
asm_covered	0.9681	haplotype2	phased_hprc	HG02155	asmstat	NA
length	3042936088	haplotype1	phased_hprc	HG03834	asmstat	NA
ref_covered	0.9392	haplotype1	phased_hprc	HG03834	asmstat	NA
asm_covered	0.9693	haplotype1	phased_hprc	HG03834	asmstat	NA
length	3035962555	haplotype2	phased_hprc	HG03834	asmstat	NA
ref_covered	0.9395	haplotype2	phased_hprc	HG03834	asmstat	NA
asm_covered	0.9735	haplotype2	phased_hprc	HG03834	asmstat	NA
length	2932691154	haplotype1	phased_hprc	HG04228	asmstat	NA
ref_covered	0.8974	haplotype1	phased_hprc	HG04228	asmstat	NA
asm_covered	0.9628	haplotype1	phased_hprc	HG04228	asmstat	NA
length	3019442738	haplotype2	phased_hprc	HG04228	asmstat	NA
ref_covered	0.9343	haplotype2	phased_hprc	HG04228	asmstat	NA
asm_covered	0.9697	haplotype2	phased_hprc	HG04228	asmstat	NA
length	3025370803	haplotype1	phased_hprc	HG06807	asmstat	NA
ref_covered	0.9303	haplotype1	phased_hprc	HG06807	asmstat	NA
asm_covered	0.9627	haplotype1	phased_hprc	HG06807	asmstat	NA
length	3018902280	haplotype2	phased_hprc	HG06807	asmstat	NA
ref_covered	0.9327	haplotype2	phased_hprc	HG06807	asmstat	NA
asm_covered	0.9695	haplotype2	phased_hprc	HG06807	asmstat	NA
length	2946461234	haplotype1	phased_hprc	NA18522	asmstat	NA
ref_covered	0.8933	haplotype1	phased_hprc	NA18522	asmstat	NA
asm_covered	0.9549	haplotype1	phased_hprc	NA18522	asmstat	NA
length	3032450852	haplotype2	phased_hprc	NA18522	asmstat	NA
ref_covered	0.934	haplotype2	phased_hprc	NA18522	asmstat	NA
asm_covered	0.9666	haplotype2	phased_hprc	NA18522	asmstat	NA
length	2935934041	haplotype1	phased_hprc	NA18747	asmstat	NA
ref_covered	0.9004000000000001	haplotype1	phased_hprc	NA18747	asmstat	NA
asm_covered	0.9656	haplotype1	phased_hprc	NA18747	asmstat	NA
length	3029714943	haplotype2	phased_hprc	NA18747	asmstat	NA
ref_covered	0.9363	haplotype2	phased_hprc	NA18747	asmstat	NA
asm_covered	0.9711	haplotype2	phased_hprc	NA18747	asmstat	NA
length	2911939063	haplotype1	phased_hprc	NA18948	asmstat	NA
ref_covered	0.8964	haplotype1	phased_hprc	NA18948	asmstat	NA
asm_covered	0.9674	haplotype1	phased_hprc	NA18948	asmstat	NA
length	3051108770	haplotype2	phased_hprc	NA18948	asmstat	NA
ref_covered	0.9337	haplotype2	phased_hprc	NA18948	asmstat	NA
asm_covered	0.9628	haplotype2	phased_hprc	NA18948	asmstat	NA
length	2932179058	haplotype1	phased_hprc	NA19043	asmstat	NA
ref_covered	0.8929	haplotype1	phased_hprc	NA19043	asmstat	NA
asm_covered	0.9575	haplotype1	phased_hprc	NA19043	asmstat	NA
length	3025972752	haplotype2	phased_hprc	NA19043	asmstat	NA
ref_covered	0.9297	haplotype2	phased_hprc	NA19043	asmstat	NA
asm_covered	0.965	haplotype2	phased_hprc	NA19043	asmstat	NA
length	3011895543	haplotype1	phased_hprc	NA20503	asmstat	NA
ref_covered	0.9333	haplotype1	phased_hprc	NA20503	asmstat	NA
asm_covered	0.9705	haplotype1	phased_hprc	NA20503	asmstat	NA
length	3021981611	haplotype2	phased_hprc	NA20503	asmstat	NA
ref_covered	0.9338	haplotype2	phased_hprc	NA20503	asmstat	NA
asm_covered	0.9685	haplotype2	phased_hprc	NA20503	asmstat	NA
length	2910590402	haplotype1	phased_hprc	NA20762	asmstat	NA
ref_covered	0.8956999999999999	haplotype1	phased_hprc	NA20762	asmstat	NA
asm_covered	0.9669	haplotype1	phased_hprc	NA20762	asmstat	NA
length	3016800655	haplotype2	phased_hprc	NA20762	asmstat	NA
ref_covered	0.9323	haplotype2	phased_hprc	NA20762	asmstat	NA
asm_covered	0.9721	haplotype2	phased_hprc	NA20762	asmstat	NA
length	2897340138	haplotype1	phased_hprc	NA20806	asmstat	NA
ref_covered	0.8964	haplotype1	phased_hprc	NA20806	asmstat	NA
asm_covered	0.9711	haplotype1	phased_hprc	NA20806	asmstat	NA
length	3051587412	haplotype2	phased_hprc	NA20806	asmstat	NA
ref_covered	0.9441	haplotype2	phased_hprc	NA20806	asmstat	NA
asm_covered	0.9724	haplotype2	phased_hprc	NA20806	asmstat	NA
length	2957426484	haplotype1	phased_hprc	NA20809	asmstat	NA
ref_covered	0.9028	haplotype1	phased_hprc	NA20809	asmstat	NA
asm_covered	0.9629	haplotype1	phased_hprc	NA20809	asmstat	NA
length	3003400650	haplotype2	phased_hprc	NA20809	asmstat	NA
ref_covered	0.9358	haplotype2	phased_hprc	NA20809	asmstat	NA
asm_covered	0.9803	haplotype2	phased_hprc	NA20809	asmstat	NA
length	2915641356	haplotype1	phased_hprc	NA20827	asmstat	NA
ref_covered	0.8987999999999999	haplotype1	phased_hprc	NA20827	asmstat	NA
asm_covered	0.9686	haplotype1	phased_hprc	NA20827	asmstat	NA
length	3029380097	haplotype2	phased_hprc	NA20827	asmstat	NA
ref_covered	0.9353	haplotype2	phased_hprc	NA20827	asmstat	NA
asm_covered	0.9695	haplotype2	phased_hprc	NA20827	asmstat	NA
inter-chromosomal_misjoins	6	haplotype1	phased_hprc	HG002	misjoin	NA
intra-chromosomal_gaps	11	haplotype1	phased_hprc	HG002	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype1	phased_hprc	HG002	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_hprc	HG002	misjoin	NA
