flowcell_id	dataset	sequencing_type	yield	longest_read	bases_longer_1e5	bases_longer_2e5	reads_longer_1e6	N50
25006LRa039_T2T01_PoreC_05236	T2T01	PoreC	120685601804	1380064	871044355	379119195	11	6246
25006LRa116_T2T01_PoreC_05523	T2T01	PoreC	120278566304	1373720	1633813106	749037404	30	6075
25006LRa005_04698	T2T02	UltraLong	26661019679	1256647	16012068844	6459825147	5	122392
25006LRa007_04699	T2T02	UltraLong	82165084490	1851593	48011519425	19200269083	24	119265
25006LRa051_T2T02_05317	T2T02	UltraLong	50957357090	1698946	17497632266	3205011246	25	73319
25006LRa051_T2T02_05346	T2T02	UltraLong	32424358960	1807455	11653377980	2357525577	10	75449
25006LRa063_T2T02_PoreC_05349	T2T02	PoreC	86818305442	1596533	1193360374	525709106	24	5732
25006LRa117_T2T02_PoreC_05524	T2T02	PoreC	104681269019	1377962	1040055271	502300755	7	5073
25006LRa009_04700	T2T03	UltraLong	59537823102	1909132	38540045697	17855344803	49	136838
25006LRa011_04701	T2T03	UltraLong	52044696787	1392860	32583151925	12983805721	16	128356
25006LRa046_T2T03_05479	T2T03	UltraLong	68251924893	1734807	41526002186	15717210361	72	123394
25006LRa010_04919	T2T03	APK	37622378627	849370	671831090	443454486	0	8009
25006LRa040_T2T03_PoreC_05237	T2T03	PoreC	148372384112	1679471	1600248600	775157860	39	8788
25006LRa118_T2T03_PoreC_05525	T2T03	PoreC	78666084069	1245174	788175986	371795385	13	8386
25006LRa015_04767	T2T04	UltraLong	29004141944	1750265	18924521569	9120668343	8	139612
25006LRa016_04768	T2T04	UltraLong	33522473233	1682679	21160715437	9922217185	5	133751
25006LRa014_05011	T2T04	UltraLong	26919629359	1970966	16898879637	6917984447	10	129678
25006LRa033_05208	T2T04	UltraLong	43310543991	1551577	11880858323	1771582597	16	62017
25006LRa033_05205	T2T04	UltraLong	80169831281	1766952	21464178592	2842691094	10	62310
25006LRa033_05209	T2T04	UltraLong	79284309435	2083618	17870870748	1855666128	18	57599
25006LRa020_05009	T2T04	Parental	138781514037	1690214	1472453625	993739980	13	21468
25006LRa023_05010	T2T04	Parental	170603984139	1432878	2006654378	1260767053	8	18614
25006LRa014_05173	T2T04	APK	98849414096	673651	695433160	230937908	0	7468
25006LRa037_T2T04_PoreC_05170	T2T04	PoreC	108700352271	1802439	1164595908	543588652	6	9755
25006LRa078_T2T04_PoreC_05377	T2T04	PoreC	93177273945	1503178	823031122	414000236	10	8199
25006LRa079_T2T04_PoreC_05378	T2T04	PoreC	80673314703	1738145	558967088	287052457	7	8096
25006LRa079_T2T04_PoreC_06050	T2T04	PoreC	92642192326	1390656	779793548	434521522	13	8325
25006LRa219_T2T04_PoreC_06051	T2T04	PoreC	52664638184	1295748	395942666	215333767	6	7703
25006LRa018_04769	T2T04_1	UltraLong	28225747628	1341828	17042371827	7237404318	4	124612
25006LRa019_04770	T2T04_1	UltraLong	33593082039	1229013	21323258341	9594519974	8	133050
25006LRa087_T2T04_1_05480	T2T04_1	UltraLong	54830164143	1442614	19096237526	2923902165	23	75057
25006LRa087_T2T04_1_05481	T2T04_1	UltraLong	52297888510	1625492	18649421586	2724317504	49	76749
25006LRa020_05009	T2T04_1	LSK	138781514037	1690214	1472453625	993739980	13	21468
25006LRa097_T2T04_1_PoreC_05488	T2T04_1	PoreC	76967188856	1547245	814009905	520701336	25	8329
25006LRa098_T2T04_1_PoreC_05489	T2T04_1	PoreC	118246697709	1463843	1192835650	747683520	32	9143
25006LRa021_04771	T2T04_2	UltraLong	7975832752	965194	4517715031	1792533016	0	114997
25006LRa022_04772	T2T04_2	UltraLong	35447682737	1485731	22012149550	9438547483	7	128407
25006LRa091_T2T04_2_05482	T2T04_2	UltraLong	51658352973	1518811	20695109670	3245987923	61	84265
25006LRa091_T2T04_2_05483	T2T04_2	UltraLong	25233799794	1500954	9361915696	1411052400	33	78931
25006LRa094_T2T04_2_05585	T2T04_2	UltraLong	38368509033	1589454	15385870078	2865103379	42	83728
25006LRa023_05010	T2T04_2	LSK	170603984139	1432878	2006654378	1260767053	8	18614
25006LRa099_T2T04_2_PoreC_05490	T2T04_2	PoreC	124477781158	1470436	1412859252	850682356	66	8639
25006LRa100_T2T04_2_PoreC_05491	T2T04_2	PoreC	93259952264	1606408	846505331	523561167	33	8444
25006LRa038_05176	T2T05	UltraLong	61507989623	1387932	21157729028	3776638060	9	73324
25006LRa038_05178	T2T05	UltraLong	89178210023	1889490	32327983489	5635994270	10	76905
25006LRa048_T2T05_05586	T2T05	UltraLong	87239216803	1590813	26126638688	2492490395	30	71424
25006LRa041_T2T05_PoreC_05238	T2T05	PoreC	95276165074	1310456	615912475	253065479	5	5768
25006LRa119_T2T05_PoreC_05526	T2T05	PoreC	151683565168	1324188	1739327494	782230355	27	5773
25006LRa055_T2T06_05318	T2T06	UltraLong	61395998756	1891618	20385901030	3761918322	27	71290
25006LRa055_T2T06_05347	T2T06	UltraLong	55715235621	1744003	16998188135	2717497239	25	68127
25006LRa056_T2T06_05587	T2T06	UltraLong	88317450038	1451790	22608090744	2770541666	40	63178
25006LRa064_T2T06_PoreC_05350	T2T06	PoreC	55932190103	1698687	379850692	251748670	21	4787
25006LRa120_T2T06_PoreC_05527	T2T06	PoreC	60263279848	1249941	607126312	257704461	3	4325
25006LRa059_T2T07_05319	T2T07	UltraLong	74724304924	1613453	17972323346	2073149594	14	60079
25006LRa059_T2T07_05348	T2T07	UltraLong	67154636438	1632660	14778566545	1336873451	14	58878
25006LRa060_T2T07_05588	T2T07	UltraLong	59587137206	1210390	14352651315	1140482568	12	62088
25006LRa065_T2T07_PoreC_05351	T2T07	PoreC	118573805414	1842679	1008738967	446143531	18	8078
25006LRa121_T2T07_PoreC_05528	T2T07	PoreC	141505585791	1485369	1508691273	652051780	11	7478
25006LRa069_T2T08_05369	T2T08	UltraLong	54788352909	1567595	30403091380	10566172414	28	111432
25006LRa069_T2T08_05370	T2T08	UltraLong	67495589919	2144480	28246586409	8251540623	27	82794
25006LRa066_T2T08_05589	T2T08	UltraLong	72889295698	1458382	31173789248	6341621404	21	88273
25006LRa080_T2T08_PoreC_05379	T2T08	PoreC	59414575351	1357287	519103558	258290995	9	7689
25006LRa122_T2T08_PoreC_05529	T2T08	PoreC	100525662480	1174125	1095720444	500631376	5	7610
25006LRa073_T2T09_05371	T2T09	UltraLong	38694470063	1837244	18360150789	4431640253	9	95396
25006LRa073_T2T09_05372	T2T09	UltraLong	46797872383	1649873	23031856035	5585962897	7	98595
25006LRa071_T2T09_05532	T2T09	UltraLong	73904774462	1359292	34663387529	7772420607	13	94582
25006LRa081_T2T09_PoreC_05380	T2T09	PoreC	120636802990	1468579	767619582	410441706	8	5281
25006LRa123_T2T09_PoreC_05530	T2T09	PoreC	101394915681	1389854	1089815128	553914474	17	5088
25006LRa077_T2T10_05373	T2T10	UltraLong	16923287900	1771063	7414154590	1589113402	13	88865
25006LRa077_T2T10_05374	T2T10	UltraLong	56565079444	2071526	26179658336	5842064198	43	93462
25006LRa075_T2T10_05533	T2T10	UltraLong	35409617065	1681987	17659525492	4065197711	20	99765
25006LRa075_T2T10_05590	T2T10	UltraLong	48975189437	1530417	23121969716	4398290318	21	95371
25006LRa082_T2T10_PoreC_05381	T2T10	PoreC	96033837803	1433033	614909501	339078036	9	5540
25006LRa124_T2T10_PoreC_05531	T2T10	PoreC	137240970898	1457643	1277194244	637193088	10	5518
25006LRa083_T2T11_05484	T2T11	UltraLong	48738380295	1622824	17830947632	2362309557	13	78668
