metric	value	haplotype	asm_method	asm_name	source	chromosome
length	2905418720	haplotype1	phased_verkko	T2T06	asmstat	NA
ref_covered	0.8957999999999999	haplotype1	phased_verkko	T2T06	asmstat	NA
asm_covered	0.9671	haplotype1	phased_verkko	T2T06	asmstat	NA
length	3030858123	haplotype2	phased_verkko	T2T06	asmstat	NA
ref_covered	0.9414	haplotype2	phased_verkko	T2T06	asmstat	NA
asm_covered	0.9769	haplotype2	phased_verkko	T2T06	asmstat	NA
length	6023394135	both	phased_verkko	T2T06	asmstat	NA
ref_covered	0.9631	both	phased_verkko	T2T06	asmstat	NA
asm_covered	0.9715	both	phased_verkko	T2T06	asmstat	NA
length	3031929679	haplotype1	phased_verkko	T2T07	asmstat	NA
ref_covered	0.9379	haplotype1	phased_verkko	T2T07	asmstat	NA
asm_covered	0.9731	haplotype1	phased_verkko	T2T07	asmstat	NA
length	3033303663	haplotype2	phased_verkko	T2T07	asmstat	NA
ref_covered	0.935	haplotype2	phased_verkko	T2T07	asmstat	NA
asm_covered	0.9701	haplotype2	phased_verkko	T2T07	asmstat	NA
length	6151382343	both	phased_verkko	T2T07	asmstat	NA
ref_covered	0.948	both	phased_verkko	T2T07	asmstat	NA
asm_covered	0.9713	both	phased_verkko	T2T07	asmstat	NA
length	3019486569	haplotype1	phased_verkko	T2T08	asmstat	NA
ref_covered	0.9333	haplotype1	phased_verkko	T2T08	asmstat	NA
asm_covered	0.9707	haplotype1	phased_verkko	T2T08	asmstat	NA
length	3030233306	haplotype2	phased_verkko	T2T08	asmstat	NA
ref_covered	0.9402	haplotype2	phased_verkko	T2T08	asmstat	NA
asm_covered	0.9738	haplotype2	phased_verkko	T2T08	asmstat	NA
length	6106382387	both	phased_verkko	T2T08	asmstat	NA
ref_covered	0.9492	both	phased_verkko	T2T08	asmstat	NA
asm_covered	0.9712	both	phased_verkko	T2T08	asmstat	NA
length	2902939078	haplotype1	phased_verkko	T2T09	asmstat	NA
ref_covered	0.8959	haplotype1	phased_verkko	T2T09	asmstat	NA
asm_covered	0.97	haplotype1	phased_verkko	T2T09	asmstat	NA
length	3038085111	haplotype2	phased_verkko	T2T09	asmstat	NA
ref_covered	0.9344	haplotype2	phased_verkko	T2T09	asmstat	NA
asm_covered	0.9688	haplotype2	phased_verkko	T2T09	asmstat	NA
length	6008776184	both	phased_verkko	T2T09	asmstat	NA
ref_covered	0.9566	both	phased_verkko	T2T09	asmstat	NA
asm_covered	0.9687	both	phased_verkko	T2T09	asmstat	NA
length	3022427736	haplotype1	phased_verkko	T2T10	asmstat	NA
ref_covered	0.9331	haplotype1	phased_verkko	T2T10	asmstat	NA
