[M::mm_idx_gen::36.766*1.51] collected minimizers
[M::mm_idx_gen::39.022*2.29] sorted minimizers
[M::main::39.022*2.29] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::40.312*2.25] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::40.941*2.23] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::112.352*16.92] mapped 8156 sequences
[M::worker_pipeline::159.739*19.72] mapped 7394 sequences
[M::worker_pipeline::204.818*21.12] mapped 7367 sequences
[M::worker_pipeline::258.350*21.49] mapped 7489 sequences
[M::worker_pipeline::320.387*20.93] mapped 7877 sequences
[M::worker_pipeline::390.405*21.90] mapped 8260 sequences
[M::worker_pipeline::464.619*21.31] mapped 7505 sequences
[M::worker_pipeline::527.216*21.23] mapped 7298 sequences
[M::worker_pipeline::603.927*20.68] mapped 7506 sequences
[M::worker_pipeline::662.629*20.78] mapped 7806 sequences
[M::worker_pipeline::726.393*21.23] mapped 8322 sequences
[M::worker_pipeline::779.329*21.45] mapped 7604 sequences
[M::worker_pipeline::845.010*21.40] mapped 7487 sequences
[M::worker_pipeline::908.178*21.49] mapped 7567 sequences
[M::worker_pipeline::983.685*21.02] mapped 7814 sequences
[M::worker_pipeline::1052.845*21.30] mapped 8420 sequences
[M::worker_pipeline::1096.937*21.46] mapped 7547 sequences
[M::worker_pipeline::1187.854*21.07] mapped 7465 sequences
[M::worker_pipeline::1264.949*20.87] mapped 7457 sequences
[M::worker_pipeline::1350.414*20.40] mapped 7807 sequences
[M::worker_pipeline::1426.047*20.57] mapped 8309 sequences
[M::worker_pipeline::1508.267*20.86] mapped 7701 sequences
[M::worker_pipeline::1525.024*20.76] mapped 7435 sequences
[M::worker_pipeline::1597.998*20.58] mapped 7460 sequences
[M::worker_pipeline::1651.114*20.64] mapped 7701 sequences
[M::worker_pipeline::1716.333*20.84] mapped 8187 sequences
[M::worker_pipeline::1786.900*20.77] mapped 7896 sequences
[M::worker_pipeline::1851.458*20.71] mapped 7494 sequences
[M::worker_pipeline::1900.510*20.81] mapped 7508 sequences
[M::worker_pipeline::1969.419*20.69] mapped 7692 sequences
[M::worker_pipeline::2033.470*20.81] mapped 8091 sequences
[M::worker_pipeline::2099.553*20.79] mapped 8110 sequences
[M::worker_pipeline::2145.009*20.91] mapped 7523 sequences
[M::worker_pipeline::2220.201*20.81] mapped 7575 sequences
[M::worker_pipeline::2275.742*20.78] mapped 7692 sequences
[M::worker_pipeline::2358.151*20.73] mapped 8124 sequences
[M::worker_pipeline::2421.577*20.72] mapped 8056 sequences
[M::worker_pipeline::2499.962*20.59] mapped 7563 sequences
[M::worker_pipeline::2550.262*20.68] mapped 7439 sequences
[M::worker_pipeline::2602.598*20.70] mapped 7728 sequences
[M::worker_pipeline::2684.350*20.69] mapped 8159 sequences
[M::worker_pipeline::2743.748*20.72] mapped 7988 sequences
[M::worker_pipeline::2832.722*20.84] mapped 7510 sequences
[M::worker_pipeline::2881.870*20.66] mapped 7517 sequences
[M::worker_pipeline::2948.627*20.62] mapped 7710 sequences
[M::worker_pipeline::3021.579*20.63] mapped 8257 sequences
[M::worker_pipeline::3075.072*20.70] mapped 7668 sequences
[M::worker_pipeline::3137.395*20.70] mapped 7347 sequences
[M::worker_pipeline::3206.574*20.67] mapped 7330 sequences
