[M::mm_idx_gen::37.270*1.54] collected minimizers
[M::mm_idx_gen::39.773*2.67] sorted minimizers
[M::main::39.773*2.67] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.211*2.62] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::41.870*2.59] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::99.246*18.98] mapped 40096 sequences
[M::worker_pipeline::143.684*20.51] mapped 31467 sequences
[M::worker_pipeline::164.700*23.41] mapped 27231 sequences
[M::worker_pipeline::197.970*25.16] mapped 21736 sequences
[M::worker_pipeline::228.674*26.52] mapped 21225 sequences
[M::worker_pipeline::258.431*28.08] mapped 20509 sequences
[M::worker_pipeline::286.888*29.45] mapped 20422 sequences
[M::worker_pipeline::323.470*29.63] mapped 20240 sequences
[M::worker_pipeline::348.576*30.53] mapped 20404 sequences
[M::worker_pipeline::390.339*30.42] mapped 20488 sequences
[M::worker_pipeline::422.514*30.60] mapped 21704 sequences
[M::worker_pipeline::444.800*31.17] mapped 22341 sequences
[M::worker_pipeline::480.877*30.95] mapped 23129 sequences
[M::worker_pipeline::523.208*30.52] mapped 23610 sequences
[M::worker_pipeline::565.370*31.09] mapped 37504 sequences
[M::worker_pipeline::592.221*31.28] mapped 32327 sequences
[M::worker_pipeline::623.577*31.27] mapped 28016 sequences
[M::worker_pipeline::655.520*31.56] mapped 22517 sequences
[M::worker_pipeline::698.022*31.38] mapped 21247 sequences
[M::worker_pipeline::729.160*31.60] mapped 20402 sequences
[M::worker_pipeline::776.290*31.43] mapped 20169 sequences
[M::worker_pipeline::833.913*31.88] mapped 19991 sequences
[M::worker_pipeline::847.418*31.60] mapped 20019 sequences
[M::worker_pipeline::910.957*30.82] mapped 20212 sequences
[M::worker_pipeline::984.568*29.67] mapped 21394 sequences
[M::worker_pipeline::1017.208*29.67] mapped 21955 sequences
[M::worker_pipeline::1057.235*29.55] mapped 22697 sequences
[M::worker_pipeline::1085.097*29.77] mapped 23568 sequences
[M::worker_pipeline::1123.716*30.02] mapped 33541 sequences
[M::worker_pipeline::1154.223*30.18] mapped 33885 sequences
[M::worker_pipeline::1192.216*30.05] mapped 29065 sequences
[M::worker_pipeline::1221.788*30.07] mapped 24169 sequences
[M::worker_pipeline::1275.681*29.66] mapped 21301 sequences
[M::worker_pipeline::1317.797*29.58] mapped 20871 sequences
[M::worker_pipeline::1387.629*29.06] mapped 20637 sequences
[M::worker_pipeline::1413.658*29.32] mapped 20345 sequences
[M::worker_pipeline::1460.998*29.22] mapped 20358 sequences
[M::worker_pipeline::1506.647*29.12] mapped 20709 sequences
[M::worker_pipeline::1551.483*28.97] mapped 21313 sequences
[M::worker_pipeline::1592.201*28.84] mapped 21863 sequences
[M::worker_pipeline::1641.600*28.56] mapped 22952 sequences
[M::worker_pipeline::1666.921*28.65] mapped 22953 sequences
[M::worker_pipeline::1715.568*28.62] mapped 30805 sequences
[M::worker_pipeline::1768.780*28.83] mapped 36144 sequences
[M::worker_pipeline::1778.874*28.76] mapped 30205 sequences
[M::worker_pipeline::1817.110*28.67] mapped 25132 sequences
[M::worker_pipeline::1838.866*28.86] mapped 21656 sequences
[M::worker_pipeline::1866.501*29.00] mapped 21245 sequences
[M::worker_pipeline::1929.535*28.62] mapped 20746 sequences
[M::worker_pipeline::2001.944*28.25] mapped 20368 sequences
[M::worker_pipeline::2047.147*28.22] mapped 20767 sequences
[M::worker_pipeline::2096.345*28.16] mapped 20465 sequences
[M::worker_pipeline::2141.708*28.06] mapped 21174 sequences
[M::worker_pipeline::2182.304*28.02] mapped 22046 sequences
[M::worker_pipeline::2256.843*27.54] mapped 23066 sequences
[M::worker_pipeline::2284.035*27.65] mapped 23420 sequences
[M::worker_pipeline::2314.289*27.85] mapped 28394 sequences
[M::worker_pipeline::2348.832*28.02] mapped 36936 sequences
[M::worker_pipeline::2384.577*28.01] mapped 30259 sequences
[M::worker_pipeline::2412.256*28.07] mapped 25690 sequences
[M::worker_pipeline::2460.202*27.95] mapped 21222 sequences
[M::worker_pipeline::2488.923*28.05] mapped 21117 sequences
[M::worker_pipeline::2530.055*28.06] mapped 20317 sequences
[M::worker_pipeline::2562.546*28.16] mapped 20075 sequences
[M::worker_pipeline::2611.113*28.41] mapped 19906 sequences
[M::worker_pipeline::2649.346*28.08] mapped 20379 sequences
[M::worker_pipeline::2697.974*28.00] mapped 20512 sequences
[M::worker_pipeline::2738.284*27.97] mapped 21881 sequences
[M::worker_pipeline::2763.997*28.05] mapped 21832 sequences
[M::worker_pipeline::2806.609*27.97] mapped 23126 sequences
[M::worker_pipeline::2844.355*27.97] mapped 23613 sequences
[M::worker_pipeline::2880.831*28.13] mapped 39174 sequences
[M::worker_pipeline::2906.933*28.21] mapped 31356 sequences
[M::worker_pipeline::2935.539*28.27] mapped 26973 sequences
[M::worker_pipeline::2988.125*28.15] mapped 22445 sequences
[M::worker_pipeline::3041.393*28.00] mapped 21252 sequences
[M::worker_pipeline::3075.811*28.04] mapped 20628 sequences
[M::worker_pipeline::3127.133*27.95] mapped 20386 sequences
[M::worker_pipeline::3158.602*28.01] mapped 20372 sequences
[M::worker_pipeline::3191.903*28.09] mapped 20504 sequences
[M::worker_pipeline::3226.544*28.13] mapped 20667 sequences
[M::worker_pipeline::3264.975*28.11] mapped 21600 sequences
[M::worker_pipeline::3322.141*27.95] mapped 21965 sequences
[M::worker_pipeline::3344.296*28.05] mapped 23029 sequences
[M::worker_pipeline::3394.299*27.94] mapped 23562 sequences
[M::worker_pipeline::3431.618*28.06] mapped 35865 sequences
[M::worker_pipeline::3483.095*28.17] mapped 32734 sequences
[M::worker_pipeline::3486.964*28.15] mapped 28836 sequences
[M::worker_pipeline::3522.980*28.18] mapped 23743 sequences
[M::worker_pipeline::3562.495*28.15] mapped 21397 sequences
[M::worker_pipeline::3598.086*28.20] mapped 21079 sequences
[M::worker_pipeline::3620.424*28.32] mapped 20632 sequences
[M::worker_pipeline::3649.237*28.41] mapped 20336 sequences
[M::worker_pipeline::3711.028*28.29] mapped 20603 sequences
[M::worker_pipeline::3733.992*28.40] mapped 20734 sequences
[M::worker_pipeline::3757.359*28.48] mapped 21550 sequences
[M::worker_pipeline::3795.440*28.46] mapped 22113 sequences
[M::worker_pipeline::3823.623*28.49] mapped 23371 sequences
[M::worker_pipeline::3851.794*28.52] mapped 23213 sequences
[M::worker_pipeline::3895.334*28.55] mapped 32773 sequences
[M::worker_pipeline::3943.570*28.51] mapped 35430 sequences
[M::worker_pipeline::3991.946*28.41] mapped 30028 sequences
[M::worker_pipeline::4015.895*28.47] mapped 24987 sequences
[M::worker_pipeline::4052.392*28.48] mapped 21749 sequences
[M::worker_pipeline::4081.573*28.54] mapped 21390 sequences
[M::worker_pipeline::4120.481*28.54] mapped 21118 sequences
[M::worker_pipeline::4180.453*28.42] mapped 20686 sequences
[M::worker_pipeline::4260.900*28.42] mapped 20729 sequences
[M::worker_pipeline::4274.816*28.37] mapped 20781 sequences
[M::worker_pipeline::4324.488*28.28] mapped 21781 sequences
[M::worker_pipeline::4353.890*28.31] mapped 22382 sequences
[M::worker_pipeline::4382.808*28.36] mapped 23366 sequences
[M::worker_pipeline::4408.682*28.40] mapped 23542 sequences
[M::worker_pipeline::4442.994*28.47] mapped 32418 sequences
[M::worker_pipeline::4495.469*28.43] mapped 35297 sequences
[M::worker_pipeline::4523.845*28.46] mapped 30160 sequences
[M::worker_pipeline::4571.853*28.37] mapped 25767 sequences
[M::worker_pipeline::4611.554*28.37] mapped 22099 sequences
[M::worker_pipeline::4657.921*28.32] mapped 21257 sequences
[M::worker_pipeline::4686.402*28.39] mapped 20943 sequences
[M::worker_pipeline::4722.530*28.41] mapped 20749 sequences
[M::worker_pipeline::4806.804*28.19] mapped 20911 sequences
[M::worker_pipeline::4842.719*28.21] mapped 20839 sequences
[M::worker_pipeline::4873.088*28.26] mapped 21187 sequences
[M::worker_pipeline::4925.193*28.17] mapped 22225 sequences
[M::worker_pipeline::4966.969*28.14] mapped 23247 sequences
[M::worker_pipeline::4987.551*28.21] mapped 23458 sequences
[M::worker_pipeline::5019.071*28.28] mapped 29228 sequences
[M::worker_pipeline::5045.097*28.35] mapped 36625 sequences
[M::worker_pipeline::5112.406*28.33] mapped 29921 sequences
[M::worker_pipeline::5131.613*28.26] mapped 24783 sequences
[M::worker_pipeline::5166.290*28.29] mapped 20939 sequences
[M::worker_pipeline::5193.651*28.35] mapped 20386 sequences
[M::worker_pipeline::5239.970*28.33] mapped 19674 sequences
[M::worker_pipeline::5268.730*28.38] mapped 19876 sequences
[M::worker_pipeline::5325.130*28.31] mapped 19623 sequences
[M::worker_pipeline::5382.674*28.22] mapped 19965 sequences
[M::worker_pipeline::5426.928*28.19] mapped 20304 sequences
[M::worker_pipeline::5461.356*28.20] mapped 21218 sequences
[M::worker_pipeline::5525.851*28.06] mapped 22317 sequences
[M::worker_pipeline::5550.624*28.09] mapped 22840 sequences
[M::worker_pipeline::5586.739*28.12] mapped 24611 sequences
[M::worker_pipeline::5618.017*28.19] mapped 39279 sequences
[M::worker_pipeline::5657.003*28.17] mapped 31648 sequences
[M::worker_pipeline::5682.046*28.20] mapped 27620 sequences
[M::worker_pipeline::5710.317*28.24] mapped 22960 sequences
[M::worker_pipeline::5746.706*28.24] mapped 22108 sequences
[M::worker_pipeline::5769.593*28.32] mapped 21522 sequences
[M::worker_pipeline::5800.511*28.36] mapped 21234 sequences
[M::worker_pipeline::5834.301*28.38] mapped 21096 sequences
[M::worker_pipeline::5888.791*28.32] mapped 21258 sequences
[M::worker_pipeline::5958.645*28.31] mapped 21499 sequences
[M::worker_pipeline::5961.486*28.30] mapped 22484 sequences
[M::worker_pipeline::5987.340*28.35] mapped 22807 sequences
[M::worker_pipeline::6014.769*28.39] mapped 23913 sequences
[M::worker_pipeline::6038.475*28.43] mapped 24057 sequences
[M::worker_pipeline::6072.681*28.50] mapped 39057 sequences
[M::worker_pipeline::6135.409*28.38] mapped 31286 sequences
[M::worker_pipeline::6209.249*28.21] mapped 27347 sequences
[M::worker_pipeline::6239.610*28.25] mapped 21782 sequences
[M::worker_pipeline::6265.755*28.30] mapped 20983 sequences
[M::worker_pipeline::6291.258*28.35] mapped 20503 sequences
[M::worker_pipeline::6332.913*28.35] mapped 20366 sequences
[M::worker_pipeline::6398.770*28.25] mapped 20102 sequences
[M::worker_pipeline::6438.688*28.25] mapped 20320 sequences
[M::worker_pipeline::6470.405*28.28] mapped 20679 sequences
[M::worker_pipeline::6524.610*28.20] mapped 21900 sequences
[M::worker_pipeline::6566.025*28.16] mapped 22100 sequences
[M::worker_pipeline::6596.430*28.18] mapped 23294 sequences
[M::worker_pipeline::6641.621*28.14] mapped 23535 sequences
[M::worker_pipeline::6676.747*28.20] mapped 37918 sequences
[M::worker_pipeline::6716.908*28.17] mapped 32233 sequences
[M::worker_pipeline::6765.893*28.22] mapped 28198 sequences
[M::worker_pipeline::6774.914*28.20] mapped 22295 sequences
[M::worker_pipeline::6820.584*28.18] mapped 21488 sequences
[M::worker_pipeline::6870.949*28.16] mapped 20634 sequences
[M::worker_pipeline::6905.704*28.19] mapped 20415 sequences
[M::worker_pipeline::6944.713*28.20] mapped 20505 sequences
[M::worker_pipeline::6969.263*28.25] mapped 20683 sequences
[M::worker_pipeline::7025.320*28.19] mapped 20485 sequences
[M::worker_pipeline::7060.815*28.18] mapped 22195 sequences
[M::worker_pipeline::7098.452*28.16] mapped 22801 sequences
[M::worker_pipeline::7140.557*28.14] mapped 23415 sequences
[M::worker_pipeline::7164.538*28.17] mapped 23809 sequences
[M::worker_pipeline::7216.096*28.20] mapped 37446 sequences
[M::worker_pipeline::7256.173*28.19] mapped 31685 sequences
[M::worker_pipeline::7276.162*28.23] mapped 27667 sequences
[M::worker_pipeline::7307.283*28.26] mapped 21313 sequences
[M::worker_pipeline::7342.818*28.27] mapped 21174 sequences
[M::worker_pipeline::7411.223*28.17] mapped 20204 sequences
[M::worker_pipeline::7435.771*28.22] mapped 20224 sequences
[M::worker_pipeline::7480.155*28.22] mapped 19921 sequences
[M::worker_pipeline::7521.790*28.22] mapped 20228 sequences
[M::worker_pipeline::7585.128*28.13] mapped 20435 sequences
[M::worker_pipeline::7642.136*28.16] mapped 21555 sequences
[M::worker_pipeline::7645.243*28.14] mapped 22633 sequences
[M::worker_pipeline::7676.015*28.18] mapped 22813 sequences
[M::worker_pipeline::7708.833*28.19] mapped 23487 sequences
[M::worker_pipeline::7748.449*28.23] mapped 25560 sequences
[M::worker_pipeline::7838.601*28.11] mapped 26210 sequences
[M::worker_pipeline::7876.000*28.14] mapped 14091 sequences
[M::worker_pipeline::7945.558*28.06] mapped 13565 sequences
[M::worker_pipeline::7991.373*28.05] mapped 12402 sequences
[M::worker_pipeline::8109.120*27.81] mapped 11662 sequences
[M::worker_pipeline::8178.503*27.74] mapped 11622 sequences
[M::worker_pipeline::8253.755*27.65] mapped 11548 sequences
[M::worker_pipeline::8294.723*27.66] mapped 11837 sequences
[M::worker_pipeline::8428.420*27.40] mapped 12086 sequences
[M::worker_pipeline::8514.345*27.27] mapped 12346 sequences
[M::worker_pipeline::8593.359*27.16] mapped 15498 sequences
[M::worker_pipeline::8701.888*27.00] mapped 16003 sequences
[M::worker_pipeline::8822.929*26.79] mapped 16814 sequences
[M::worker_pipeline::8890.646*26.75] mapped 17829 sequences
[M::worker_pipeline::8967.801*26.74] mapped 22700 sequences
[M::worker_pipeline::9044.390*26.67] mapped 14704 sequences
[M::worker_pipeline::9092.648*26.66] mapped 12456 sequences
[M::worker_pipeline::9188.401*26.65] mapped 11718 sequences
[M::worker_pipeline::9230.952*26.55] mapped 10510 sequences
[M::worker_pipeline::9316.308*26.45] mapped 10434 sequences
[M::worker_pipeline::9374.239*26.43] mapped 10261 sequences
[M::worker_pipeline::9488.032*26.28] mapped 10532 sequences
[M::worker_pipeline::9573.615*26.22] mapped 10595 sequences
[M::worker_pipeline::9633.736*26.21] mapped 11058 sequences
[M::worker_pipeline::9844.029*25.81] mapped 11267 sequences
[M::worker_pipeline::9926.082*25.72] mapped 13816 sequences
[M::worker_pipeline::10058.414*25.54] mapped 14904 sequences
[M::worker_pipeline::10126.927*25.52] mapped 15825 sequences
[M::worker_pipeline::10183.399*25.53] mapped 17599 sequences
[M::worker_pipeline::10232.997*25.58] mapped 21397 sequences
[M::worker_pipeline::10312.172*25.54] mapped 15247 sequences
[M::worker_pipeline::10414.249*25.41] mapped 12343 sequences
[M::worker_pipeline::10458.843*25.41] mapped 12069 sequences
[M::worker_pipeline::10571.960*25.29] mapped 10692 sequences
[M::worker_pipeline::10640.346*25.24] mapped 10674 sequences
[M::worker_pipeline::10913.480*24.75] mapped 10496 sequences
[M::worker_pipeline::10957.067*24.76] mapped 10438 sequences
[M::worker_pipeline::11052.708*24.66] mapped 10846 sequences
[M::worker_pipeline::11137.155*24.68] mapped 11269 sequences
[M::worker_pipeline::11150.503*24.67] mapped 11183 sequences
[M::worker_pipeline::11192.811*24.70] mapped 13855 sequences
[M::worker_pipeline::11322.058*24.55] mapped 14444 sequences
[M::worker_pipeline::11435.518*24.45] mapped 15740 sequences
[M::worker_pipeline::11539.475*24.35] mapped 17010 sequences
[M::worker_pipeline::11674.123*24.21] mapped 19788 sequences
[M::worker_pipeline::11737.981*24.23] mapped 18347 sequences
[M::worker_pipeline::11789.989*24.22] mapped 12780 sequences
[M::worker_pipeline::11826.744*24.25] mapped 11845 sequences
[M::worker_pipeline::11923.046*24.18] mapped 11001 sequences
[M::worker_pipeline::12079.392*23.99] mapped 10876 sequences
[M::worker_pipeline::12119.843*24.01] mapped 10892 sequences
[M::worker_pipeline::12192.261*23.98] mapped 10742 sequences
[M::worker_pipeline::12285.702*23.92] mapped 10945 sequences
[M::worker_pipeline::12500.268*23.64] mapped 11223 sequences
[M::worker_pipeline::12571.990*23.61] mapped 11558 sequences
[M::worker_pipeline::12638.788*23.59] mapped 13890 sequences
[M::worker_pipeline::12696.767*23.60] mapped 14636 sequences
[M::worker_pipeline::12774.927*23.55] mapped 15506 sequences
[M::worker_pipeline::12854.273*23.52] mapped 16755 sequences
[M::worker_pipeline::12946.774*23.46] mapped 18713 sequences
[M::worker_pipeline::13090.839*23.44] mapped 21490 sequences
[M::worker_pipeline::13108.684*23.42] mapped 12883 sequences
[M::worker_pipeline::13215.725*23.33] mapped 12553 sequences
[M::worker_pipeline::13263.281*23.36] mapped 11761 sequences
[M::worker_pipeline::13324.230*23.34] mapped 11021 sequences
[M::worker_pipeline::13389.614*23.32] mapped 10780 sequences
[M::worker_pipeline::13451.909*23.31] mapped 10992 sequences
[M::worker_pipeline::13496.963*23.33] mapped 11207 sequences
[M::worker_pipeline::13643.909*23.18] mapped 11562 sequences
[M::worker_pipeline::13710.158*23.16] mapped 11691 sequences
[M::worker_pipeline::13755.479*23.18] mapped 13785 sequences
[M::worker_pipeline::13819.005*23.16] mapped 15071 sequences
[M::worker_pipeline::13921.771*23.09] mapped 15637 sequences
[M::worker_pipeline::13964.707*23.11] mapped 16966 sequences
[M::worker_pipeline::14055.949*23.08] mapped 18644 sequences
[M::worker_pipeline::14127.193*23.09] mapped 18575 sequences
[M::worker_pipeline::14174.495*23.10] mapped 12226 sequences
[M::worker_pipeline::14215.627*23.12] mapped 12007 sequences
[M::worker_pipeline::14280.939*23.10] mapped 10504 sequences
[M::worker_pipeline::14339.379*23.09] mapped 10305 sequences
[M::worker_pipeline::14403.487*23.07] mapped 10343 sequences
[M::worker_pipeline::14515.680*23.05] mapped 10281 sequences
[M::worker_pipeline::14527.081*23.05] mapped 10308 sequences
[M::worker_pipeline::14580.166*23.07] mapped 10646 sequences
[M::worker_pipeline::14692.815*23.00] mapped 10882 sequences
[M::worker_pipeline::14802.552*22.94] mapped 12801 sequences
[M::worker_pipeline::14922.211*22.85] mapped 14572 sequences
[M::worker_pipeline::14957.231*22.88] mapped 15587 sequences
[M::worker_pipeline::15053.808*22.83] mapped 16832 sequences
[M::worker_pipeline::15112.734*22.84] mapped 18320 sequences
[M::worker_pipeline::15161.820*22.88] mapped 19671 sequences
[M::worker_pipeline::15209.282*22.88] mapped 12430 sequences
[M::worker_pipeline::15287.681*22.85] mapped 11843 sequences
[M::worker_pipeline::15345.856*22.85] mapped 10836 sequences
[M::worker_pipeline::15408.768*22.84] mapped 10276 sequences
[M::worker_pipeline::15461.674*22.85] mapped 10412 sequences
[M::worker_pipeline::15585.883*22.75] mapped 10423 sequences
[M::worker_pipeline::15625.932*22.78] mapped 10382 sequences
[M::worker_pipeline::15694.084*22.77] mapped 10794 sequences
[M::worker_pipeline::15740.267*22.77] mapped 10705 sequences
[M::worker_pipeline::15804.394*22.76] mapped 12398 sequences
[M::worker_pipeline::15866.888*22.76] mapped 14353 sequences
[M::worker_pipeline::15922.796*22.77] mapped 15073 sequences
[M::worker_pipeline::16002.899*22.83] mapped 16374 sequences
[M::worker_pipeline::16056.518*22.78] mapped 17965 sequences
[M::worker_pipeline::16117.130*22.82] mapped 19592 sequences
[M::worker_pipeline::16173.301*22.82] mapped 12363 sequences
[M::worker_pipeline::16215.147*22.83] mapped 11915 sequences
[M::worker_pipeline::16267.568*22.84] mapped 11059 sequences
[M::worker_pipeline::16336.567*22.82] mapped 10196 sequences
[M::worker_pipeline::16412.633*22.79] mapped 10173 sequences
[M::worker_pipeline::16476.358*22.78] mapped 10293 sequences
[M::worker_pipeline::16542.073*22.76] mapped 10564 sequences
[M::worker_pipeline::16616.114*22.76] mapped 10752 sequences
[M::worker_pipeline::16694.258*22.73] mapped 10796 sequences
[M::worker_pipeline::16750.806*22.73] mapped 12134 sequences
[M::worker_pipeline::16847.967*22.68] mapped 14279 sequences
[M::worker_pipeline::16929.945*22.65] mapped 14825 sequences
[M::worker_pipeline::16985.670*22.66] mapped 16184 sequences
[M::worker_pipeline::17050.517*22.67] mapped 17521 sequences
[M::worker_pipeline::17124.372*22.69] mapped 21609 sequences
[M::worker_pipeline::17253.323*22.60] mapped 12645 sequences
[M::worker_pipeline::17341.657*22.56] mapped 12053 sequences
[M::worker_pipeline::17410.492*22.54] mapped 11390 sequences
[M::worker_pipeline::17455.978*22.56] mapped 10418 sequences
[M::worker_pipeline::17581.146*22.52] mapped 10265 sequences
[M::worker_pipeline::17590.938*22.52] mapped 10296 sequences
[M::worker_pipeline::17624.359*22.55] mapped 10303 sequences
[M::worker_pipeline::17698.427*22.54] mapped 10806 sequences
[M::worker_pipeline::17771.324*22.52] mapped 10940 sequences
[M::worker_pipeline::17809.895*22.53] mapped 11570 sequences
[M::worker_pipeline::17898.158*22.51] mapped 14148 sequences
[M::worker_pipeline::17955.706*22.51] mapped 15054 sequences
[M::worker_pipeline::18030.055*22.51] mapped 15805 sequences
[M::worker_pipeline::18097.917*22.51] mapped 17694 sequences
[M::worker_pipeline::18164.932*22.53] mapped 22559 sequences
[M::worker_pipeline::18216.774*22.53] mapped 12643 sequences
[M::worker_pipeline::18286.227*22.52] mapped 12177 sequences
[M::worker_pipeline::18359.245*22.51] mapped 11577 sequences
[M::worker_pipeline::18419.550*22.51] mapped 10470 sequences
[M::worker_pipeline::18483.433*22.50] mapped 10513 sequences
[M::worker_pipeline::18558.649*22.49] mapped 10454 sequences
[M::worker_pipeline::18594.891*22.51] mapped 10463 sequences
[M::worker_pipeline::18660.916*22.50] mapped 10670 sequences
[M::worker_pipeline::18715.715*22.52] mapped 10965 sequences
[M::worker_pipeline::18787.332*22.51] mapped 11419 sequences
[M::worker_pipeline::18954.641*22.44] mapped 14361 sequences
[M::worker_pipeline::18977.466*22.43] mapped 14426 sequences
[M::worker_pipeline::19033.936*22.43] mapped 15867 sequences
[M::worker_pipeline::19097.799*22.44] mapped 17327 sequences
[M::worker_pipeline::19183.028*22.45] mapped 22739 sequences
[M::worker_pipeline::19225.539*22.46] mapped 15386 sequences
[M::worker_pipeline::19268.567*22.47] mapped 12883 sequences
[M::worker_pipeline::19320.812*22.47] mapped 12292 sequences
[M::worker_pipeline::19373.612*22.48] mapped 10965 sequences
[M::worker_pipeline::19418.611*22.50] mapped 10783 sequences
[M::worker_pipeline::19505.089*22.46] mapped 10472 sequences
[M::worker_pipeline::19553.487*22.47] mapped 10785 sequences
[M::worker_pipeline::19633.065*22.45] mapped 11022 sequences
[M::worker_pipeline::19686.620*22.46] mapped 11290 sequences
[M::worker_pipeline::19852.088*22.35] mapped 11556 sequences
[M::worker_pipeline::19885.307*22.37] mapped 14695 sequences
[M::worker_pipeline::19932.413*22.37] mapped 15017 sequences
[M::worker_pipeline::20017.262*22.35] mapped 15962 sequences
[M::worker_pipeline::20086.496*22.34] mapped 17722 sequences
[M::worker_pipeline::20156.888*22.36] mapped 21761 sequences
[M::worker_pipeline::20214.117*22.37] mapped 12623 sequences
[M::worker_pipeline::20286.072*22.35] mapped 12001 sequences
[M::worker_pipeline::20410.977*22.34] mapped 11470 sequences
[M::worker_pipeline::20426.373*22.33] mapped 10193 sequences
[M::worker_pipeline::20492.322*22.32] mapped 10236 sequences
[M::worker_pipeline::20522.797*22.34] mapped 10171 sequences
[M::worker_pipeline::20579.989*22.34] mapped 10109 sequences
[M::worker_pipeline::20639.940*22.35] mapped 10551 sequences
[M::worker_pipeline::20705.054*22.34] mapped 10778 sequences
[M::worker_pipeline::20819.620*22.28] mapped 10902 sequences
[M::worker_pipeline::20910.345*22.25] mapped 13895 sequences
[M::worker_pipeline::20982.102*22.24] mapped 14647 sequences
[M::worker_pipeline::21034.161*22.25] mapped 15403 sequences
[M::worker_pipeline::21121.058*22.24] mapped 16919 sequences
[M::worker_pipeline::21163.346*22.27] mapped 20122 sequences
[M::worker_pipeline::21241.527*22.27] mapped 17738 sequences
[M::worker_pipeline::21288.310*22.27] mapped 12535 sequences
[M::worker_pipeline::21376.427*22.24] mapped 12171 sequences
[M::worker_pipeline::21451.838*22.22] mapped 11239 sequences
[M::worker_pipeline::21532.230*22.21] mapped 10551 sequences
[M::worker_pipeline::21574.759*22.22] mapped 10435 sequences
[M::worker_pipeline::21665.691*22.19] mapped 10705 sequences
[M::worker_pipeline::21742.917*22.17] mapped 10963 sequences
[M::worker_pipeline::21831.095*22.15] mapped 11263 sequences
[M::worker_pipeline::21901.082*22.14] mapped 11350 sequences
[M::worker_pipeline::22022.741*22.07] mapped 13563 sequences
[M::worker_pipeline::22069.919*22.09] mapped 14903 sequences
[M::worker_pipeline::22151.883*22.07] mapped 15511 sequences
[M::worker_pipeline::22191.440*22.10] mapped 16980 sequences
[M::worker_pipeline::22319.446*22.06] mapped 18855 sequences
[M::worker_pipeline::22387.871*22.06] mapped 16670 sequences
[M::worker_pipeline::22447.884*22.05] mapped 12321 sequences
[M::worker_pipeline::22501.938*22.06] mapped 11765 sequences
[M::worker_pipeline::22610.956*22.02] mapped 10172 sequences
[M::worker_pipeline::22684.918*22.01] mapped 10244 sequences
[M::worker_pipeline::22737.758*22.02] mapped 10137 sequences
[M::worker_pipeline::22792.296*22.01] mapped 10075 sequences
[M::worker_pipeline::22880.877*22.00] mapped 10352 sequences
[M::worker_pipeline::22933.137*22.01] mapped 10619 sequences
[M::worker_pipeline::22978.560*22.02] mapped 10882 sequences
[M::worker_pipeline::23061.599*21.99] mapped 13152 sequences
[M::worker_pipeline::23175.697*21.95] mapped 14228 sequences
[M::worker_pipeline::23261.699*21.93] mapped 15531 sequences
[M::worker_pipeline::23392.859*21.88] mapped 16989 sequences
[M::worker_pipeline::23486.439*21.85] mapped 18816 sequences
[M::worker_pipeline::23584.163*21.87] mapped 14225 sequences
[M::worker_pipeline::23613.011*21.85] mapped 10647 sequences
[M::worker_pipeline::23662.081*21.86] mapped 12894 sequences
[M::worker_pipeline::23731.354*21.82] mapped 11723 sequences
[M::main] Version: 2.28-r1209
[M::main] CMD: minimap2 --MD -ax map-ont --eqx -t 60 data/ref/T2T-CHM13.v2.fasta assembly/input/TUE_02_02UL/TUE_02_02UL.HQ_herro.fastq.gz
[M::main] Real time: 23731.874 sec; CPU: 517918.356 sec; Peak RSS: 30.348 GB
[bam_sort_core] merging from 19 files and 4 in-memory blocks...
