[M::mm_idx_gen::36.537*1.51] collected minimizers
[M::mm_idx_gen::40.700*3.27] sorted minimizers
[M::main::40.700*3.27] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::42.128*3.19] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.858*3.15] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::112.988*13.16] mapped 47196 sequences
[M::worker_pipeline::154.539*17.02] mapped 27423 sequences
[M::worker_pipeline::211.876*18.33] mapped 23827 sequences
[M::worker_pipeline::248.122*20.27] mapped 24658 sequences
[M::worker_pipeline::326.852*20.07] mapped 22493 sequences
[M::worker_pipeline::419.031*18.84] mapped 17490 sequences
[M::worker_pipeline::555.893*17.47] mapped 10678 sequences
[M::worker_pipeline::647.371*17.44] mapped 18519 sequences
[M::worker_pipeline::703.104*17.82] mapped 30421 sequences
[M::worker_pipeline::763.858*18.11] mapped 25612 sequences
[M::worker_pipeline::854.594*18.13] mapped 22790 sequences
[M::worker_pipeline::923.834*18.02] mapped 20049 sequences
[M::worker_pipeline::972.357*18.37] mapped 21947 sequences
[M::worker_pipeline::1053.703*18.39] mapped 16265 sequences
[M::worker_pipeline::1153.666*18.04] mapped 16341 sequences
[M::worker_pipeline::1196.200*18.45] mapped 18767 sequences
[M::worker_pipeline::1264.550*18.63] mapped 18438 sequences
[M::worker_pipeline::1340.055*18.91] mapped 6199 sequences
[M::worker_pipeline::1389.515*19.13] mapped 30328 sequences
[M::worker_pipeline::1443.075*19.32] mapped 18398 sequences
[M::worker_pipeline::1555.228*19.52] mapped 22374 sequences
[M::worker_pipeline::1581.902*19.36] mapped 19527 sequences
[M::worker_pipeline::1690.956*19.08] mapped 18327 sequences
[M::worker_pipeline::1777.959*18.95] mapped 17071 sequences
[M::worker_pipeline::1897.014*18.52] mapped 17881 sequences
[M::worker_pipeline::1944.304*18.74] mapped 19627 sequences
[M::worker_pipeline::2005.387*18.83] mapped 17882 sequences
[M::worker_pipeline::2143.127*18.41] mapped 10225 sequences
[M::worker_pipeline::2198.020*18.54] mapped 27412 sequences
[M::worker_pipeline::2412.920*17.53] mapped 18305 sequences
[M::worker_pipeline::2500.430*17.48] mapped 18805 sequences
[M::worker_pipeline::2573.925*17.51] mapped 22640 sequences
[M::worker_pipeline::2685.720*17.37] mapped 19091 sequences
[M::worker_pipeline::2741.416*17.60] mapped 8852 sequences
[M::worker_pipeline::2848.282*17.42] mapped 26965 sequences
[M::worker_pipeline::3112.391*16.46] mapped 18854 sequences
[M::worker_pipeline::3182.721*16.53] mapped 17819 sequences
[M::worker_pipeline::3221.608*16.72] mapped 19119 sequences
[M::worker_pipeline::3319.049*16.68] mapped 18416 sequences
[M::worker_pipeline::3387.269*16.72] mapped 17241 sequences
[M::worker_pipeline::3520.063*16.77] mapped 16547 sequences
[M::worker_pipeline::3523.502*16.76] mapped 19923 sequences
[M::worker_pipeline::3626.187*16.72] mapped 16284 sequences
[M::worker_pipeline::3693.114*16.78] mapped 21697 sequences
[M::worker_pipeline::3739.886*16.93] mapped 17939 sequences
[M::worker_pipeline::3868.401*16.71] mapped 17712 sequences
[M::worker_pipeline::4010.707*16.47] mapped 18727 sequences
[M::worker_pipeline::4066.336*16.55] mapped 16701 sequences
[M::worker_pipeline::4138.008*16.60] mapped 21608 sequences
[M::worker_pipeline::4202.899*16.64] mapped 17560 sequences
[M::worker_pipeline::4252.149*16.79] mapped 16836 sequences
[M::worker_pipeline::4403.932*16.53] mapped 17564 sequences
[M::worker_pipeline::4483.412*16.55] mapped 20043 sequences
[M::worker_pipeline::4536.536*16.65] mapped 14141 sequences
[M::worker_pipeline::4586.114*16.74] mapped 21992 sequences
[M::worker_pipeline::4660.754*16.77] mapped 18565 sequences
[M::worker_pipeline::4745.169*16.79] mapped 17826 sequences
[M::worker_pipeline::4795.503*16.91] mapped 17692 sequences
[M::worker_pipeline::4861.089*16.99] mapped 19215 sequences
[M::worker_pipeline::4978.821*16.85] mapped 17881 sequences
[M::worker_pipeline::5098.189*16.98] mapped 17024 sequences
[M::worker_pipeline::5268.390*16.51] mapped 13696 sequences
[M::worker_pipeline::5373.166*16.44] mapped 19780 sequences
[M::worker_pipeline::5442.464*16.49] mapped 16311 sequences
[M::worker_pipeline::5482.356*16.60] mapped 22281 sequences
[M::worker_pipeline::5523.008*16.70] mapped 17841 sequences
[M::worker_pipeline::5656.548*16.57] mapped 17964 sequences
[M::worker_pipeline::5767.066*16.50] mapped 19068 sequences
[M::worker_pipeline::5854.063*16.46] mapped 19445 sequences
[M::worker_pipeline::5897.866*16.56] mapped 17801 sequences
[M::worker_pipeline::5973.558*16.59] mapped 17186 sequences
[M::worker_pipeline::6096.948*16.52] mapped 15767 sequences
[M::worker_pipeline::6162.396*16.57] mapped 17479 sequences
[M::worker_pipeline::6274.622*16.54] mapped 10489 sequences
[M::worker_pipeline::6341.495*16.58] mapped 17823 sequences
[M::worker_pipeline::6390.750*16.68] mapped 20229 sequences
[M::worker_pipeline::6445.097*16.74] mapped 18459 sequences
[M::worker_pipeline::6510.924*16.77] mapped 19635 sequences
[M::worker_pipeline::6553.700*16.85] mapped 26841 sequences
[M::worker_pipeline::6601.885*16.90] mapped 25471 sequences
[M::worker_pipeline::6771.961*16.84] mapped 22476 sequences
[M::worker_pipeline::6779.913*16.85] mapped 19079 sequences
[M::worker_pipeline::6838.647*16.90] mapped 19429 sequences
[M::worker_pipeline::6888.250*16.98] mapped 17104 sequences
[M::worker_pipeline::6934.481*17.03] mapped 17009 sequences
[M::worker_pipeline::7008.960*17.06] mapped 16371 sequences
[M::worker_pipeline::7061.716*17.12] mapped 15713 sequences
[M::worker_pipeline::7101.987*17.20] mapped 19665 sequences
[M::worker_pipeline::7161.790*17.24] mapped 18385 sequences
[M::worker_pipeline::7224.701*17.29] mapped 17354 sequences
[M::worker_pipeline::7315.699*17.28] mapped 17644 sequences
[M::worker_pipeline::7354.284*17.36] mapped 18250 sequences
[M::worker_pipeline::7465.853*17.30] mapped 12426 sequences
[M::worker_pipeline::7543.911*17.30] mapped 22731 sequences
[M::worker_pipeline::7620.115*17.30] mapped 16832 sequences
[M::worker_pipeline::7683.144*17.33] mapped 17095 sequences
[M::worker_pipeline::7756.642*17.35] mapped 16337 sequences
[M::worker_pipeline::7818.576*17.38] mapped 17814 sequences
[M::worker_pipeline::7860.345*17.46] mapped 17312 sequences
[M::worker_pipeline::7913.752*17.52] mapped 16951 sequences
[M::worker_pipeline::8012.432*17.63] mapped 16804 sequences
[M::worker_pipeline::8015.782*17.62] mapped 14458 sequences
[M::worker_pipeline::8093.892*17.66] mapped 20829 sequences
[M::worker_pipeline::8129.952*17.72] mapped 23054 sequences
[M::worker_pipeline::8175.200*17.78] mapped 16745 sequences
[M::worker_pipeline::8256.422*17.80] mapped 17363 sequences
[M::worker_pipeline::8368.442*17.73] mapped 18391 sequences
[M::worker_pipeline::8438.845*17.74] mapped 16203 sequences
[M::worker_pipeline::8487.976*17.78] mapped 14361 sequences
[M::worker_pipeline::8533.267*17.84] mapped 17231 sequences
[M::worker_pipeline::8600.792*17.85] mapped 18329 sequences
[M::worker_pipeline::8660.671*17.89] mapped 17363 sequences
[M::worker_pipeline::8723.519*17.94] mapped 14307 sequences
[M::worker_pipeline::8796.173*17.93] mapped 19806 sequences
[M::worker_pipeline::8865.386*17.95] mapped 17639 sequences
[M::worker_pipeline::8914.465*18.01] mapped 14593 sequences
[M::worker_pipeline::8951.270*18.07] mapped 19709 sequences
[M::worker_pipeline::9000.650*18.12] mapped 15671 sequences
[M::worker_pipeline::9043.932*18.18] mapped 18278 sequences
[M::worker_pipeline::9103.973*18.21] mapped 16695 sequences
[M::worker_pipeline::9211.283*18.28] mapped 16472 sequences
[M::worker_pipeline::9214.882*18.27] mapped 16569 sequences
[M::worker_pipeline::9282.355*18.31] mapped 15139 sequences
[M::worker_pipeline::9375.604*18.27] mapped 19735 sequences
[M::worker_pipeline::9441.219*18.28] mapped 19047 sequences
[M::worker_pipeline::9508.834*18.31] mapped 14488 sequences
[M::worker_pipeline::9556.644*18.34] mapped 18555 sequences
[M::worker_pipeline::9634.516*18.32] mapped 17263 sequences
[M::worker_pipeline::9684.297*18.35] mapped 18650 sequences
