[M::mm_idx_gen::34.931*1.46] collected minimizers
[M::mm_idx_gen::37.711*3.34] sorted minimizers
[M::main::37.711*3.34] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::38.909*3.27] mid_occ = 892
[M::worker_pipeline::6666.114*20.24] mapped 11844 sequences
[M::worker_pipeline::6712.923*20.31] mapped 12686 sequences
[M::worker_pipeline::6776.093*20.33] mapped 12451 sequences
[M::worker_pipeline::6870.133*20.28] mapped 12102 sequences
[M::worker_pipeline::6932.286*20.27] mapped 11571 sequences
[M::worker_pipeline::6984.918*20.31] mapped 12030 sequences
[M::worker_pipeline::7105.286*20.33] mapped 9784 sequences
[M::worker_pipeline::7108.293*20.32] mapped 18927 sequences
[M::worker_pipeline::7208.703*20.27] mapped 12027 sequences
[M::worker_pipeline::7312.655*20.20] mapped 15207 sequences
[M::worker_pipeline::7367.783*20.20] mapped 14878 sequences
[M::worker_pipeline::7422.178*20.22] mapped 20760 sequences
[M::worker_pipeline::7484.257*20.21] mapped 20608 sequences
[M::worker_pipeline::7530.841*20.26] mapped 13990 sequences
[M::worker_pipeline::7590.850*20.27] mapped 15683 sequences
[M::worker_pipeline::7649.210*20.27] mapped 13495 sequences
[M::worker_pipeline::7693.149*20.31] mapped 13512 sequences
[M::worker_pipeline::7733.464*20.37] mapped 12850 sequences
[M::worker_pipeline::7809.146*20.36] mapped 8870 sequences
[M::worker_pipeline::7864.338*20.35] mapped 18644 sequences
[M::worker_pipeline::7928.364*20.36] mapped 13240 sequences
[M::worker_pipeline::8015.978*20.32] mapped 17856 sequences
[M::worker_pipeline::8064.608*20.37] mapped 12646 sequences
[M::worker_pipeline::8239.075*20.15] mapped 12873 sequences
[M::worker_pipeline::8289.665*20.18] mapped 12655 sequences
[M::worker_pipeline::8380.111*20.13] mapped 12214 sequences
[M::worker_pipeline::8470.694*20.21] mapped 9551 sequences
[M::worker_pipeline::8473.542*20.20] mapped 18566 sequences
[M::worker_pipeline::8511.372*20.27] mapped 12803 sequences
[M::worker_pipeline::8583.032*20.26] mapped 13373 sequences
[M::worker_pipeline::8693.790*20.17] mapped 13809 sequences
[M::worker_pipeline::8740.607*20.22] mapped 12644 sequences
[M::worker_pipeline::8791.380*20.25] mapped 12337 sequences
[M::worker_pipeline::8864.577*20.26] mapped 10535 sequences
[M::worker_pipeline::8905.805*20.29] mapped 16703 sequences
[M::worker_pipeline::8953.954*20.34] mapped 13095 sequences
[M::worker_pipeline::9003.775*20.37] mapped 13057 sequences
[M::worker_pipeline::9120.360*20.28] mapped 12972 sequences
[M::worker_pipeline::9198.158*20.28] mapped 12796 sequences
[M::worker_pipeline::9255.035*20.30] mapped 14324 sequences
[M::worker_pipeline::9301.660*20.33] mapped 13197 sequences
[M::worker_pipeline::9342.261*20.38] mapped 20878 sequences
[M::worker_pipeline::9474.697*20.27] mapped 15106 sequences
[M::worker_pipeline::9515.840*20.32] mapped 13201 sequences
[M::worker_pipeline::9574.588*20.34] mapped 12779 sequences
[M::worker_pipeline::9651.389*20.30] mapped 12807 sequences
[M::worker_pipeline::9735.859*20.28] mapped 11870 sequences
[M::worker_pipeline::9828.453*20.22] mapped 11206 sequences
[M::worker_pipeline::9910.120*20.20] mapped 11482 sequences
[M::worker_pipeline::9952.543*20.24] mapped 17961 sequences
[M::worker_pipeline::10019.263*20.24] mapped 17291 sequences
[M::worker_pipeline::10055.957*20.30] mapped 12869 sequences
[M::worker_pipeline::10148.714*20.25] mapped 12057 sequences
[M::worker_pipeline::10213.220*20.26] mapped 13690 sequences
[M::worker_pipeline::10258.947*20.29] mapped 11967 sequences
[M::worker_pipeline::10318.229*20.30] mapped 12796 sequences
[M::worker_pipeline::10407.793*20.26] mapped 11767 sequences
[M::worker_pipeline::10485.515*20.24] mapped 9716 sequences
[M::worker_pipeline::10527.661*20.27] mapped 20114 sequences
[M::worker_pipeline::10575.312*20.30] mapped 16755 sequences
[M::worker_pipeline::10675.244*20.25] mapped 14608 sequences
[M::worker_pipeline::10746.410*20.25] mapped 12914 sequences
