[M::mm_idx_gen::35.632*1.51] collected minimizers
[M::mm_idx_gen::39.331*3.51] sorted minimizers
[M::main::39.331*3.51] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::40.581*3.43] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::41.215*3.40] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::76.249*18.88] mapped 19785 sequences
[M::worker_pipeline::98.374*24.39] mapped 17626 sequences
[M::worker_pipeline::121.087*27.41] mapped 17617 sequences
[M::worker_pipeline::143.961*29.77] mapped 17580 sequences
[M::worker_pipeline::160.993*32.02] mapped 17490 sequences
[M::worker_pipeline::180.968*33.69] mapped 17502 sequences
[M::worker_pipeline::200.430*34.83] mapped 17817 sequences
[M::worker_pipeline::221.302*35.40] mapped 17907 sequences
[M::worker_pipeline::239.019*36.17] mapped 18074 sequences
[M::worker_pipeline::263.794*37.44] mapped 19337 sequences
[M::worker_pipeline::281.131*38.05] mapped 18616 sequences
[M::worker_pipeline::306.160*38.15] mapped 17582 sequences
[M::worker_pipeline::330.738*38.42] mapped 17481 sequences
[M::worker_pipeline::352.301*38.78] mapped 17426 sequences
[M::worker_pipeline::371.499*39.39] mapped 17464 sequences
[M::worker_pipeline::399.326*39.04] mapped 17570 sequences
[M::worker_pipeline::417.712*39.29] mapped 17792 sequences
[M::worker_pipeline::433.039*39.67] mapped 18062 sequences
[M::worker_pipeline::450.015*40.04] mapped 18246 sequences
[M::worker_pipeline::475.263*40.64] mapped 20008 sequences
[M::worker_pipeline::493.107*40.95] mapped 17619 sequences
[M::worker_pipeline::543.619*40.59] mapped 17491 sequences
[M::worker_pipeline::545.968*40.42] mapped 17427 sequences
[M::worker_pipeline::570.655*40.60] mapped 17440 sequences
[M::worker_pipeline::592.432*40.80] mapped 17518 sequences
[M::worker_pipeline::611.544*40.95] mapped 17597 sequences
[M::worker_pipeline::629.987*41.07] mapped 17922 sequences
[M::worker_pipeline::647.480*41.22] mapped 17980 sequences
[M::worker_pipeline::670.791*41.60] mapped 19638 sequences
[M::worker_pipeline::687.393*41.86] mapped 18524 sequences
[M::worker_pipeline::705.547*42.01] mapped 17549 sequences
[M::worker_pipeline::726.329*42.05] mapped 17333 sequences
[M::worker_pipeline::751.541*42.02] mapped 17324 sequences
[M::worker_pipeline::772.455*42.11] mapped 17439 sequences
[M::worker_pipeline::792.744*42.21] mapped 17530 sequences
[M::worker_pipeline::810.910*42.24] mapped 17754 sequences
[M::worker_pipeline::827.658*42.34] mapped 17941 sequences
[M::worker_pipeline::852.949*42.07] mapped 18244 sequences
[M::worker_pipeline::878.935*42.27] mapped 20019 sequences
[M::worker_pipeline::897.977*42.34] mapped 17791 sequences
[M::worker_pipeline::921.445*42.29] mapped 17514 sequences
[M::worker_pipeline::938.078*42.49] mapped 17503 sequences
[M::worker_pipeline::955.866*42.66] mapped 17560 sequences
[M::worker_pipeline::1001.878*42.39] mapped 17521 sequences
[M::worker_pipeline::1003.975*42.30] mapped 17734 sequences
[M::worker_pipeline::1022.330*42.40] mapped 17891 sequences
[M::worker_pipeline::1039.822*42.46] mapped 17993 sequences
[M::worker_pipeline::1063.528*42.63] mapped 19340 sequences
[M::worker_pipeline::1084.061*42.68] mapped 18798 sequences
[M::worker_pipeline::1108.091*42.58] mapped 17478 sequences
[M::worker_pipeline::1126.255*42.66] mapped 17456 sequences
[M::worker_pipeline::1145.818*42.75] mapped 17368 sequences
[M::worker_pipeline::1165.252*42.81] mapped 17384 sequences
[M::worker_pipeline::1187.204*42.83] mapped 17481 sequences
[M::worker_pipeline::1205.272*42.87] mapped 17741 sequences
[M::worker_pipeline::1221.213*42.91] mapped 17982 sequences
[M::worker_pipeline::1245.289*42.75] mapped 18173 sequences
[M::worker_pipeline::1269.418*42.85] mapped 19198 sequences
[M::worker_pipeline::1286.478*42.94] mapped 17587 sequences
[M::worker_pipeline::1305.340*43.05] mapped 17454 sequences
[M::worker_pipeline::1325.178*43.11] mapped 17430 sequences
[M::worker_pipeline::1344.894*43.15] mapped 17523 sequences
[M::worker_pipeline::1368.776*43.04] mapped 17611 sequences
[M::worker_pipeline::1384.572*43.10] mapped 17932 sequences
[M::worker_pipeline::1404.803*43.05] mapped 18261 sequences
[M::worker_pipeline::1450.605*42.91] mapped 19882 sequences
[M::worker_pipeline::1452.734*42.85] mapped 19703 sequences
[M::worker_pipeline::1474.929*42.88] mapped 18415 sequences
[M::worker_pipeline::1494.149*42.95] mapped 18331 sequences
[M::worker_pipeline::1511.626*43.03] mapped 18321 sequences
[M::worker_pipeline::1529.403*43.13] mapped 18352 sequences
[M::worker_pipeline::1547.813*43.15] mapped 18409 sequences
[M::worker_pipeline::1563.412*43.21] mapped 18666 sequences
[M::worker_pipeline::1581.551*43.19] mapped 18911 sequences
[M::worker_pipeline::1598.718*43.23] mapped 19410 sequences
[M::worker_pipeline::1622.585*43.22] mapped 20817 sequences
[M::worker_pipeline::1639.557*43.28] mapped 18446 sequences
[M::worker_pipeline::1657.893*43.33] mapped 18131 sequences
[M::worker_pipeline::1681.070*43.27] mapped 18240 sequences
[M::worker_pipeline::1704.787*43.21] mapped 18155 sequences
[M::worker_pipeline::1723.359*43.24] mapped 18328 sequences
[M::worker_pipeline::1739.167*43.30] mapped 18595 sequences
[M::worker_pipeline::1754.538*43.37] mapped 18771 sequences
[M::worker_pipeline::1771.433*43.39] mapped 19076 sequences
[M::worker_pipeline::1792.287*43.44] mapped 21048 sequences
[M::worker_pipeline::1810.117*43.46] mapped 18724 sequences
[M::worker_pipeline::1826.617*43.54] mapped 18307 sequences
[M::worker_pipeline::1870.517*43.39] mapped 18324 sequences
[M::worker_pipeline::1872.972*43.34] mapped 18247 sequences
[M::worker_pipeline::1894.740*43.38] mapped 18255 sequences
[M::worker_pipeline::1920.878*43.22] mapped 18510 sequences
[M::worker_pipeline::1935.192*43.27] mapped 18567 sequences
[M::worker_pipeline::1964.087*43.05] mapped 18963 sequences
[M::worker_pipeline::1983.620*43.12] mapped 19986 sequences
[M::worker_pipeline::2001.224*43.18] mapped 18911 sequences
[M::worker_pipeline::2019.178*43.23] mapped 17861 sequences
[M::worker_pipeline::2041.304*43.20] mapped 17771 sequences
[M::worker_pipeline::2060.076*43.25] mapped 17626 sequences
[M::worker_pipeline::2076.553*43.33] mapped 17660 sequences
[M::worker_pipeline::2095.447*43.37] mapped 17662 sequences
[M::worker_pipeline::2112.511*43.40] mapped 17984 sequences
[M::worker_pipeline::2129.406*43.42] mapped 18059 sequences
[M::worker_pipeline::2147.181*43.46] mapped 18261 sequences
[M::worker_pipeline::2171.857*43.49] mapped 19908 sequences
[M::worker_pipeline::2191.373*43.50] mapped 18717 sequences
[M::worker_pipeline::2209.525*43.54] mapped 17888 sequences
[M::worker_pipeline::2229.520*43.56] mapped 17715 sequences
[M::worker_pipeline::2251.855*43.51] mapped 17717 sequences
[M::worker_pipeline::2270.664*43.55] mapped 17662 sequences
[M::worker_pipeline::2319.021*43.33] mapped 17723 sequences
[M::worker_pipeline::2321.183*43.29] mapped 17873 sequences
[M::worker_pipeline::2342.437*43.28] mapped 18043 sequences
[M::worker_pipeline::2361.977*43.28] mapped 18325 sequences
[M::worker_pipeline::2386.667*43.32] mapped 20173 sequences
[M::worker_pipeline::2405.668*43.32] mapped 18573 sequences
[M::worker_pipeline::2423.450*43.34] mapped 17791 sequences
[M::worker_pipeline::2444.864*43.35] mapped 17674 sequences
[M::worker_pipeline::2461.728*43.41] mapped 17603 sequences
[M::worker_pipeline::2484.882*43.37] mapped 17681 sequences
[M::worker_pipeline::2503.131*43.40] mapped 17714 sequences
[M::worker_pipeline::2520.701*43.43] mapped 17954 sequences
[M::worker_pipeline::2535.819*43.49] mapped 18029 sequences
[M::worker_pipeline::2566.308*43.30] mapped 18352 sequences
[M::worker_pipeline::2593.624*43.32] mapped 20167 sequences
[M::worker_pipeline::2615.939*43.28] mapped 18460 sequences
[M::worker_pipeline::2635.035*43.30] mapped 17780 sequences
[M::worker_pipeline::2656.271*43.30] mapped 17605 sequences
[M::worker_pipeline::2674.690*43.33] mapped 17624 sequences
[M::worker_pipeline::2694.709*43.35] mapped 17642 sequences
[M::worker_pipeline::2719.252*43.28] mapped 17726 sequences
[M::worker_pipeline::2739.745*43.25] mapped 17907 sequences
[M::worker_pipeline::2783.371*43.11] mapped 18084 sequences
[M::worker_pipeline::2785.384*43.08] mapped 18393 sequences
[M::worker_pipeline::2808.090*43.16] mapped 20341 sequences
[M::worker_pipeline::2824.365*43.21] mapped 18392 sequences
[M::worker_pipeline::2844.586*43.22] mapped 17707 sequences
[M::worker_pipeline::2863.716*43.24] mapped 17824 sequences
[M::worker_pipeline::2881.534*43.28] mapped 17615 sequences
[M::worker_pipeline::2897.872*43.34] mapped 17699 sequences
[M::worker_pipeline::2915.256*43.38] mapped 17765 sequences
[M::worker_pipeline::2933.534*43.40] mapped 17949 sequences
[M::worker_pipeline::2948.844*43.43] mapped 18219 sequences
[M::worker_pipeline::2969.542*43.40] mapped 18452 sequences
[M::worker_pipeline::3001.465*43.30] mapped 18472 sequences
[M::worker_pipeline::3055.158*42.93] mapped 18744 sequences
[M::worker_pipeline::3078.153*42.92] mapped 18933 sequences
[M::worker_pipeline::3097.518*42.94] mapped 17620 sequences
[M::worker_pipeline::3123.229*42.88] mapped 17566 sequences
[M::worker_pipeline::3143.852*42.92] mapped 17552 sequences
[M::worker_pipeline::3162.497*42.95] mapped 17512 sequences
[M::worker_pipeline::3181.928*42.97] mapped 17616 sequences
[M::worker_pipeline::3200.387*42.99] mapped 17679 sequences
[M::worker_pipeline::3252.749*42.79] mapped 17939 sequences
[M::worker_pipeline::3254.827*42.76] mapped 18083 sequences
[M::worker_pipeline::3282.283*42.82] mapped 19451 sequences
[M::worker_pipeline::3306.556*42.78] mapped 18636 sequences
[M::worker_pipeline::3325.122*42.80] mapped 17491 sequences
[M::worker_pipeline::3342.823*42.85] mapped 17466 sequences
[M::worker_pipeline::3362.770*42.87] mapped 17405 sequences
[M::worker_pipeline::3383.303*42.89] mapped 17351 sequences
[M::worker_pipeline::3402.510*42.92] mapped 17526 sequences
[M::worker_pipeline::3418.168*42.96] mapped 17791 sequences
[M::worker_pipeline::3438.404*42.93] mapped 18014 sequences
[M::worker_pipeline::3459.407*42.91] mapped 18191 sequences
[M::worker_pipeline::3485.355*42.95] mapped 19771 sequences
[M::worker_pipeline::3500.975*42.99] mapped 18043 sequences
[M::worker_pipeline::3517.709*43.03] mapped 17569 sequences
[M::worker_pipeline::3538.410*43.05] mapped 17403 sequences
[M::worker_pipeline::3558.343*43.07] mapped 17517 sequences
[M::worker_pipeline::3579.926*43.08] mapped 17501 sequences
[M::worker_pipeline::3595.465*43.11] mapped 17661 sequences
[M::worker_pipeline::3612.984*43.14] mapped 17775 sequences
