[M::mm_idx_gen::66.380*1.55] collected minimizers
[M::mm_idx_gen::68.914*2.42] sorted minimizers
[M::main::68.915*2.42] loaded/built the index for 1050 target sequence(s)
[M::mm_mapopt_update::72.005*2.36] mid_occ = 334
[M::worker_pipeline::2311.327*23.85] mapped 8496 sequences
[M::worker_pipeline::2334.386*23.89] mapped 7952 sequences
[M::worker_pipeline::2400.391*23.49] mapped 6657 sequences
[M::worker_pipeline::2424.652*23.49] mapped 9515 sequences
[M::worker_pipeline::2452.477*23.43] mapped 9134 sequences
[M::worker_pipeline::2487.315*23.38] mapped 7079 sequences
[M::worker_pipeline::2507.682*23.44] mapped 7504 sequences
[M::worker_pipeline::2534.157*23.41] mapped 7839 sequences
[M::worker_pipeline::2586.711*23.22] mapped 9204 sequences
[M::worker_pipeline::2603.788*23.25] mapped 8993 sequences
[M::worker_pipeline::2626.742*23.25] mapped 6442 sequences
[M::worker_pipeline::2646.101*23.27] mapped 12045 sequences
[M::worker_pipeline::2661.094*23.31] mapped 6761 sequences
[M::worker_pipeline::2687.243*23.22] mapped 7359 sequences
[M::worker_pipeline::2706.394*23.28] mapped 6723 sequences
[M::worker_pipeline::2750.338*23.13] mapped 7768 sequences
[M::worker_pipeline::2767.581*23.12] mapped 7337 sequences
[M::worker_pipeline::2792.922*23.12] mapped 8066 sequences
[M::worker_pipeline::2809.709*23.17] mapped 7757 sequences
[M::worker_pipeline::2845.655*23.11] mapped 8187 sequences
[M::worker_pipeline::2861.225*23.14] mapped 8685 sequences
[M::worker_pipeline::2883.549*23.21] mapped 10018 sequences
[M::worker_pipeline::2897.102*23.23] mapped 6862 sequences
[M::worker_pipeline::2920.301*23.26] mapped 9489 sequences
[M::worker_pipeline::2942.045*23.27] mapped 8067 sequences
[M::worker_pipeline::2988.319*23.11] mapped 8403 sequences
[M::worker_pipeline::3008.254*23.14] mapped 10778 sequences
[M::worker_pipeline::3023.090*23.18] mapped 10721 sequences
[M::worker_pipeline::3036.586*23.19] mapped 29420 sequences
[M::worker_pipeline::3053.986*23.22] mapped 5311 sequences
[M::worker_pipeline::3076.194*23.25] mapped 5129 sequences
[M::worker_pipeline::3095.234*23.27] mapped 5273 sequences
[M::worker_pipeline::3111.048*23.32] mapped 5204 sequences
[M::worker_pipeline::3138.525*23.29] mapped 5294 sequences
[M::worker_pipeline::3149.057*23.33] mapped 33432 sequences
[M::worker_pipeline::3164.729*23.39] mapped 11043 sequences
[M::worker_pipeline::3183.703*23.40] mapped 5368 sequences
[M::worker_pipeline::3212.490*23.32] mapped 8991 sequences
[M::worker_pipeline::3227.665*23.37] mapped 8818 sequences
[M::worker_pipeline::3242.805*23.41] mapped 14099 sequences
[M::worker_pipeline::3254.545*23.45] mapped 27209 sequences
[M::worker_pipeline::3274.086*23.48] mapped 8170 sequences
[M::worker_pipeline::3294.412*23.49] mapped 9583 sequences
[M::worker_pipeline::3308.427*23.55] mapped 8101 sequences
[M::worker_pipeline::3322.999*23.58] mapped 6463 sequences
[M::worker_pipeline::3332.633*23.59] mapped 31270 sequences
[M::worker_pipeline::3356.276*23.64] mapped 7978 sequences
[M::worker_pipeline::3366.569*23.67] mapped 26646 sequences
[M::worker_pipeline::3379.877*23.73] mapped 30916 sequences
[M::worker_pipeline::3395.666*23.77] mapped 13436 sequences
[M::worker_pipeline::3409.589*23.81] mapped 5539 sequences
[M::worker_pipeline::3421.420*23.84] mapped 5319 sequences
[M::worker_pipeline::3438.720*23.90] mapped 5696 sequences
[M::worker_pipeline::3458.385*23.92] mapped 5021 sequences
[M::worker_pipeline::3469.705*23.95] mapped 31174 sequences
[M::worker_pipeline::3512.843*23.82] mapped 6576 sequences
[M::worker_pipeline::3524.599*23.86] mapped 25926 sequences
[M::worker_pipeline::3534.714*23.89] mapped 30554 sequences
[M::worker_pipeline::3563.699*23.86] mapped 14008 sequences
[M::worker_pipeline::3580.062*23.89] mapped 5634 sequences
[M::worker_pipeline::3596.465*23.93] mapped 5500 sequences
[M::worker_pipeline::3796.478*22.86] mapped 5972 sequences
[M::worker_pipeline::3802.743*22.84] mapped 5190 sequences
[M::worker_pipeline::3818.801*22.91] mapped 18249 sequences
[M::worker_pipeline::3832.969*22.94] mapped 18114 sequences
[M::worker_pipeline::3859.542*22.93] mapped 13324 sequences
[M::worker_pipeline::3872.701*22.97] mapped 31072 sequences
[M::worker_pipeline::3910.579*22.89] mapped 5104 sequences
[M::worker_pipeline::3923.524*22.92] mapped 6484 sequences
[M::worker_pipeline::3933.000*22.95] mapped 26297 sequences
[M::worker_pipeline::3944.694*22.99] mapped 19155 sequences
[M::worker_pipeline::3956.286*23.01] mapped 31522 sequences
[M::worker_pipeline::3977.514*23.00] mapped 6347 sequences
[M::worker_pipeline::3985.151*22.99] mapped 38954 sequences
[M::worker_pipeline::4007.417*23.03] mapped 5079 sequences
[M::worker_pipeline::4022.230*23.06] mapped 6353 sequences
[M::worker_pipeline::4033.004*23.07] mapped 5601 sequences
[M::worker_pipeline::4057.143*23.05] mapped 25897 sequences
[M::worker_pipeline::4073.537*23.05] mapped 20126 sequences
[M::worker_pipeline::4086.015*23.07] mapped 23822 sequences
[M::worker_pipeline::4097.657*23.10] mapped 5072 sequences
[M::worker_pipeline::4114.250*23.13] mapped 7868 sequences
[M::worker_pipeline::4151.945*23.06] mapped 16679 sequences
[M::worker_pipeline::4169.559*23.10] mapped 5122 sequences
[M::worker_pipeline::4188.758*23.09] mapped 17550 sequences
[M::worker_pipeline::4206.175*23.12] mapped 9349 sequences
[M::worker_pipeline::4224.725*23.14] mapped 5323 sequences
[M::worker_pipeline::4237.504*23.18] mapped 27791 sequences
[M::worker_pipeline::4250.032*23.20] mapped 20724 sequences
[M::worker_pipeline::4265.309*23.24] mapped 5310 sequences
[M::worker_pipeline::4284.777*23.26] mapped 5251 sequences
[M::worker_pipeline::4300.390*23.28] mapped 5327 sequences
[M::worker_pipeline::4321.338*23.28] mapped 7759 sequences
[M::worker_pipeline::4338.583*23.30] mapped 13710 sequences
[M::worker_pipeline::4346.663*23.31] mapped 26528 sequences
[M::worker_pipeline::4363.920*23.34] mapped 31248 sequences
[M::worker_pipeline::4377.120*23.38] mapped 5169 sequences
[M::worker_pipeline::4386.835*23.40] mapped 29473 sequences
[M::worker_pipeline::4405.015*23.43] mapped 5970 sequences
[M::worker_pipeline::4421.897*23.45] mapped 5490 sequences
[M::worker_pipeline::4438.329*23.48] mapped 5237 sequences
[M::worker_pipeline::4452.399*23.50] mapped 5140 sequences
[M::worker_pipeline::4470.572*23.52] mapped 8010 sequences
[M::worker_pipeline::4479.475*23.54] mapped 33109 sequences
[M::worker_pipeline::4491.811*23.58] mapped 31003 sequences
[M::worker_pipeline::4501.931*23.60] mapped 33835 sequences
[M::worker_pipeline::4519.384*23.65] mapped 5886 sequences
[M::worker_pipeline::4536.646*23.67] mapped 5446 sequences
[M::worker_pipeline::4543.862*23.66] mapped 24822 sequences
[M::worker_pipeline::4561.857*23.68] mapped 15173 sequences
[M::worker_pipeline::4620.612*23.50] mapped 5211 sequences
[M::worker_pipeline::4639.331*23.51] mapped 5431 sequences
[M::worker_pipeline::4650.450*23.53] mapped 25945 sequences
[M::worker_pipeline::4673.268*23.54] mapped 5273 sequences
[M::worker_pipeline::4684.675*23.57] mapped 20578 sequences
[M::worker_pipeline::4699.667*23.60] mapped 6277 sequences
[M::worker_pipeline::4713.205*23.64] mapped 12980 sequences
[M::worker_pipeline::4732.095*23.65] mapped 13544 sequences
[M::worker_pipeline::4746.518*23.68] mapped 12126 sequences
[M::worker_pipeline::4774.880*23.64] mapped 10893 sequences
[M::worker_pipeline::4786.773*23.65] mapped 11035 sequences
[M::worker_pipeline::4805.260*23.68] mapped 23634 sequences
[M::worker_pipeline::4822.141*23.70] mapped 5336 sequences
[M::worker_pipeline::4836.855*23.72] mapped 5164 sequences
[M::worker_pipeline::4855.551*23.72] mapped 15098 sequences
[M::worker_pipeline::4871.033*23.74] mapped 25385 sequences
[M::worker_pipeline::4884.943*23.77] mapped 5297 sequences
[M::worker_pipeline::4921.358*23.70] mapped 5227 sequences
[M::worker_pipeline::4931.776*23.72] mapped 21484 sequences
[M::worker_pipeline::4952.487*23.74] mapped 6808 sequences
[M::worker_pipeline::4970.042*23.76] mapped 5476 sequences
[M::worker_pipeline::4982.179*23.77] mapped 21920 sequences
[M::worker_pipeline::5000.653*23.77] mapped 14030 sequences
[M::worker_pipeline::5016.281*23.78] mapped 15478 sequences
[M::worker_pipeline::5033.474*23.78] mapped 13321 sequences
[M::worker_pipeline::5049.437*23.80] mapped 17102 sequences
[M::worker_pipeline::5063.726*23.82] mapped 9366 sequences
[M::worker_pipeline::5079.849*23.83] mapped 8514 sequences
[M::worker_pipeline::5093.348*23.86] mapped 29841 sequences
[M::worker_pipeline::5124.728*23.81] mapped 5223 sequences
[M::worker_pipeline::5150.245*23.77] mapped 13710 sequences
[M::worker_pipeline::5164.152*23.79] mapped 20681 sequences
[M::worker_pipeline::5179.915*23.82] mapped 5264 sequences
[M::worker_pipeline::5198.017*23.82] mapped 5365 sequences
[M::worker_pipeline::5397.969*23.05] mapped 31876 sequences
[M::worker_pipeline::5403.772*23.03] mapped 15775 sequences
[M::worker_pipeline::5429.521*23.04] mapped 15230 sequences
[M::worker_pipeline::5442.402*23.06] mapped 5492 sequences
[M::worker_pipeline::5455.994*23.08] mapped 17565 sequences
[M::worker_pipeline::5464.536*23.09] mapped 33906 sequences
[M::worker_pipeline::5483.672*23.10] mapped 19501 sequences
[M::worker_pipeline::5494.985*23.13] mapped 19301 sequences
[M::worker_pipeline::5514.779*23.16] mapped 5265 sequences
[M::worker_pipeline::5555.153*23.08] mapped 11983 sequences
[M::worker_pipeline::5567.193*23.11] mapped 5202 sequences
[M::worker_pipeline::5585.367*23.13] mapped 5391 sequences
[M::worker_pipeline::5602.388*23.14] mapped 5306 sequences
[M::worker_pipeline::5613.560*23.16] mapped 27780 sequences
[M::worker_pipeline::5629.201*23.20] mapped 6476 sequences
[M::worker_pipeline::5659.318*23.15] mapped 5364 sequences
[M::worker_pipeline::5678.474*23.15] mapped 5309 sequences
[M::worker_pipeline::5695.053*23.18] mapped 5418 sequences
[M::worker_pipeline::5704.338*23.18] mapped 5431 sequences
[M::worker_pipeline::5720.592*23.21] mapped 5408 sequences
[M::worker_pipeline::5732.844*23.23] mapped 6463 sequences
[M::worker_pipeline::5742.107*23.23] mapped 31514 sequences
[M::worker_pipeline::5761.162*23.27] mapped 5530 sequences
[M::worker_pipeline::5775.545*23.27] mapped 5247 sequences
[M::worker_pipeline::5785.475*23.28] mapped 21390 sequences
[M::worker_pipeline::5811.302*23.28] mapped 12988 sequences
[M::worker_pipeline::5822.711*23.28] mapped 5406 sequences
[M::worker_pipeline::5847.120*23.27] mapped 5350 sequences
[M::worker_pipeline::5860.031*23.30] mapped 24333 sequences
[M::worker_pipeline::5873.487*23.30] mapped 10606 sequences
[M::worker_pipeline::5889.297*23.31] mapped 5555 sequences
[M::worker_pipeline::5904.907*23.32] mapped 15132 sequences
