[M::mm_idx_gen::82.488*1.58] collected minimizers
[M::mm_idx_gen::83.830*2.13] sorted minimizers
[M::main::83.830*2.13] loaded/built the index for 1372 target sequence(s)
[M::mm_mapopt_update::87.753*2.08] mid_occ = 339
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 1372
[M::mm_idx_stat::90.626*2.04] distinct minimizers: 218178844 (3.68% are singletons); average occurrences: 2.829; average spacing: 9.967; total length: 6151382343
[M::worker_pipeline::118.548*8.81] mapped 5806 sequences
[M::worker_pipeline::130.184*11.27] mapped 36512 sequences
[M::worker_pipeline::141.235*13.42] mapped 36769 sequences
[M::worker_pipeline::152.953*15.29] mapped 37949 sequences
[M::worker_pipeline::163.002*16.68] mapped 35616 sequences
[M::worker_pipeline::180.801*17.75] mapped 14017 sequences
[M::worker_pipeline::200.617*18.83] mapped 5830 sequences
[M::worker_pipeline::217.757*19.65] mapped 5756 sequences
[M::worker_pipeline::234.742*20.35] mapped 5931 sequences
[M::worker_pipeline::260.057*20.60] mapped 5989 sequences
[M::worker_pipeline::280.642*20.84] mapped 5800 sequences
[M::worker_pipeline::293.757*21.51] mapped 28341 sequences
[M::worker_pipeline::306.299*22.14] mapped 34702 sequences
[M::worker_pipeline::323.474*22.69] mapped 13986 sequences
[M::worker_pipeline::341.466*23.14] mapped 5809 sequences
[M::worker_pipeline::364.306*23.12] mapped 5867 sequences
[M::worker_pipeline::415.679*21.62] mapped 14565 sequences
[M::worker_pipeline::427.638*22.03] mapped 33792 sequences
[M::worker_pipeline::444.944*22.31] mapped 28284 sequences
[M::worker_pipeline::460.755*22.70] mapped 5962 sequences
[M::worker_pipeline::478.258*23.02] mapped 5906 sequences
[M::worker_pipeline::494.152*23.49] mapped 5900 sequences
[M::worker_pipeline::507.179*23.80] mapped 31982 sequences
[M::worker_pipeline::531.422*23.88] mapped 9136 sequences
[M::worker_pipeline::545.987*24.12] mapped 6039 sequences
[M::worker_pipeline::560.770*24.45] mapped 24675 sequences
[M::worker_pipeline::573.107*24.73] mapped 32875 sequences
[M::worker_pipeline::589.332*24.99] mapped 18001 sequences
[M::worker_pipeline::605.586*25.28] mapped 5910 sequences
[M::worker_pipeline::621.926*25.42] mapped 5767 sequences
[M::worker_pipeline::639.882*25.47] mapped 5874 sequences
[M::worker_pipeline::660.118*25.47] mapped 5954 sequences
[M::worker_pipeline::677.958*25.61] mapped 5807 sequences
[M::worker_pipeline::697.605*25.63] mapped 8543 sequences
[M::worker_pipeline::707.261*25.77] mapped 25828 sequences
[M::worker_pipeline::720.070*25.99] mapped 32063 sequences
[M::worker_pipeline::736.265*26.20] mapped 18222 sequences
[M::worker_pipeline::750.694*26.40] mapped 17976 sequences
[M::worker_pipeline::768.691*26.57] mapped 5922 sequences
[M::worker_pipeline::787.650*26.69] mapped 5774 sequences
[M::worker_pipeline::805.107*26.82] mapped 5937 sequences
[M::worker_pipeline::821.823*26.98] mapped 5895 sequences
[M::worker_pipeline::834.581*27.13] mapped 34366 sequences
[M::worker_pipeline::854.550*27.18] mapped 20761 sequences
[M::worker_pipeline::870.701*27.29] mapped 6132 sequences
[M::worker_pipeline::884.822*27.45] mapped 15131 sequences
[M::worker_pipeline::899.613*27.57] mapped 5899 sequences
[M::worker_pipeline::913.051*27.71] mapped 12183 sequences
[M::worker_pipeline::926.563*27.83] mapped 34438 sequences
[M::worker_pipeline::942.244*27.83] mapped 14464 sequences
[M::worker_pipeline::959.822*27.91] mapped 5924 sequences
[M::worker_pipeline::985.590*27.74] mapped 8038 sequences
[M::worker_pipeline::995.254*27.79] mapped 32088 sequences
[M::worker_pipeline::1007.710*27.91] mapped 21286 sequences
[M::worker_pipeline::1020.559*28.03] mapped 48691 sequences
[M::worker_pipeline::1034.253*28.10] mapped 29567 sequences
[M::worker_pipeline::1049.093*28.24] mapped 5963 sequences
[M::worker_pipeline::1065.966*28.25] mapped 5916 sequences
[M::worker_pipeline::1077.791*28.34] mapped 43590 sequences
[M::worker_pipeline::1091.201*28.44] mapped 38409 sequences
[M::worker_pipeline::1109.973*28.44] mapped 9544 sequences
[M::worker_pipeline::1121.769*28.54] mapped 30895 sequences
[M::worker_pipeline::1133.697*28.63] mapped 37208 sequences
[M::worker_pipeline::1149.660*28.63] mapped 13818 sequences
[M::worker_pipeline::1173.083*28.52] mapped 5563 sequences
[M::worker_pipeline::1185.251*28.61] mapped 21636 sequences
[M::worker_pipeline::1195.702*28.53] mapped 38493 sequences
[M::worker_pipeline::1223.492*28.43] mapped 27780 sequences
[M::worker_pipeline::1237.561*28.49] mapped 5810 sequences
[M::worker_pipeline::1250.570*28.59] mapped 25908 sequences
[M::worker_pipeline::1264.772*28.66] mapped 20828 sequences
[M::worker_pipeline::1282.098*28.72] mapped 5999 sequences
[M::worker_pipeline::1298.548*28.70] mapped 5800 sequences
[M::worker_pipeline::1315.183*28.76] mapped 5743 sequences
[M::worker_pipeline::1338.341*28.68] mapped 11958 sequences
[M::worker_pipeline::1352.552*28.74] mapped 32281 sequences
[M::worker_pipeline::1370.354*28.72] mapped 5974 sequences
[M::worker_pipeline::1387.928*28.68] mapped 5777 sequences
[M::worker_pipeline::1398.958*28.74] mapped 29402 sequences
[M::worker_pipeline::1409.993*28.81] mapped 38231 sequences
[M::worker_pipeline::1423.119*28.86] mapped 14319 sequences
[M::worker_pipeline::1437.645*28.89] mapped 5823 sequences
[M::worker_pipeline::1450.742*28.97] mapped 23655 sequences
[M::worker_pipeline::1651.650*25.85] mapped 20978 sequences
[M::worker_pipeline::1659.412*25.83] mapped 5958 sequences
[M::worker_pipeline::1679.191*25.93] mapped 5857 sequences
[M::worker_pipeline::1695.083*25.98] mapped 5727 sequences
[M::worker_pipeline::1706.338*26.05] mapped 32607 sequences
[M::worker_pipeline::1718.523*26.11] mapped 32957 sequences
[M::worker_pipeline::1734.505*26.18] mapped 9115 sequences
[M::worker_pipeline::1771.194*25.99] mapped 5919 sequences
[M::worker_pipeline::1787.163*26.07] mapped 7516 sequences
[M::worker_pipeline::1800.564*26.14] mapped 37403 sequences
[M::worker_pipeline::1822.619*26.15] mapped 6131 sequences
[M::worker_pipeline::1837.675*26.24] mapped 31560 sequences
[M::worker_pipeline::1855.326*26.28] mapped 13899 sequences
[M::worker_pipeline::1873.188*26.32] mapped 5883 sequences
[M::worker_pipeline::1885.826*26.40] mapped 24822 sequences
[M::worker_pipeline::1901.341*26.46] mapped 26328 sequences
[M::worker_pipeline::1918.031*26.53] mapped 19247 sequences
[M::worker_pipeline::1933.488*26.54] mapped 28498 sequences
[M::worker_pipeline::1951.512*26.61] mapped 17829 sequences
[M::worker_pipeline::1967.443*26.67] mapped 12613 sequences
[M::worker_pipeline::1984.498*26.74] mapped 5792 sequences
[M::worker_pipeline::1997.795*26.82] mapped 24052 sequences
[M::worker_pipeline::2015.465*26.87] mapped 21521 sequences
[M::worker_pipeline::2032.676*26.86] mapped 31200 sequences
[M::worker_pipeline::2048.676*26.91] mapped 5808 sequences
[M::worker_pipeline::2064.902*26.96] mapped 5777 sequences
[M::worker_pipeline::2075.389*27.00] mapped 35440 sequences
[M::worker_pipeline::2091.021*27.07] mapped 7495 sequences
[M::worker_pipeline::2107.449*27.11] mapped 6036 sequences
[M::worker_pipeline::2120.993*27.13] mapped 28350 sequences
