[M::mm_idx_gen::82.615*1.18] collected minimizers
[M::mm_idx_gen::83.236*1.43] sorted minimizers
[M::main::83.236*1.43] loaded/built the index for 1372 target sequence(s)
[M::mm_mapopt_update::84.164*1.43] mid_occ = 237
[M::mm_idx_stat] kmer size: 25; skip: 51; is_hpc: 0; #seq: 1372
[M::mm_idx_stat::84.574*1.43] distinct minimizers: 95968358 (5.79% are singletons); average occurrences: 2.480; average spacing: 25.841; total length: 6151382343
[M::worker_pipeline::112.076*7.93] mapped 14181 sequences
[M::worker_pipeline::123.510*10.00] mapped 9951 sequences
[M::worker_pipeline::137.071*12.42] mapped 9837 sequences
[M::worker_pipeline::151.146*14.21] mapped 10157 sequences
[M::worker_pipeline::164.884*15.74] mapped 10090 sequences
[M::worker_pipeline::179.397*17.01] mapped 10168 sequences
[M::worker_pipeline::192.011*17.91] mapped 10283 sequences
[M::worker_pipeline::208.451*19.07] mapped 10370 sequences
[M::worker_pipeline::222.026*19.70] mapped 10708 sequences
[M::worker_pipeline::234.558*20.49] mapped 11473 sequences
[M::worker_pipeline::251.604*20.66] mapped 12285 sequences
[M::worker_pipeline::267.360*21.17] mapped 13260 sequences
[M::worker_pipeline::286.450*22.02] mapped 14063 sequences
[M::worker_pipeline::297.121*21.95] mapped 9571 sequences
[M::worker_pipeline::313.249*22.19] mapped 9258 sequences
[M::worker_pipeline::328.499*22.69] mapped 9209 sequences
[M::worker_pipeline::342.971*23.02] mapped 9639 sequences
[M::worker_pipeline::358.264*23.27] mapped 9463 sequences
[M::worker_pipeline::370.928*23.66] mapped 9480 sequences
[M::worker_pipeline::386.173*24.02] mapped 9719 sequences
[M::worker_pipeline::398.258*24.39] mapped 9756 sequences
[M::worker_pipeline::409.772*24.58] mapped 10077 sequences
[M::worker_pipeline::460.044*23.42] mapped 11111 sequences
[M::worker_pipeline::463.581*23.26] mapped 12129 sequences
[M::worker_pipeline::485.633*23.64] mapped 13466 sequences
[M::worker_pipeline::507.120*24.03] mapped 15923 sequences
[M::worker_pipeline::521.562*24.35] mapped 14651 sequences
[M::worker_pipeline::533.611*24.53] mapped 11706 sequences
[M::worker_pipeline::548.149*24.64] mapped 9933 sequences
[M::worker_pipeline::562.258*24.84] mapped 9542 sequences
[M::worker_pipeline::584.893*24.84] mapped 9326 sequences
[M::worker_pipeline::596.869*24.98] mapped 9246 sequences
[M::worker_pipeline::612.640*25.06] mapped 9303 sequences
[M::worker_pipeline::627.268*25.19] mapped 9385 sequences
[M::worker_pipeline::641.505*25.27] mapped 8931 sequences
[M::worker_pipeline::651.537*25.20] mapped 9006 sequences
[M::worker_pipeline::665.814*25.44] mapped 9289 sequences
[M::worker_pipeline::679.120*25.51] mapped 9492 sequences
[M::worker_pipeline::698.377*25.72] mapped 15901 sequences
[M::worker_pipeline::711.384*25.86] mapped 15827 sequences
[M::worker_pipeline::724.694*25.90] mapped 11495 sequences
[M::worker_pipeline::735.402*25.87] mapped 11870 sequences
[M::worker_pipeline::750.999*26.00] mapped 11919 sequences
[M::worker_pipeline::763.562*26.15] mapped 11922 sequences
[M::worker_pipeline::826.852*25.02] mapped 12008 sequences
[M::worker_pipeline::830.459*24.92] mapped 12030 sequences
[M::worker_pipeline::854.138*24.90] mapped 12245 sequences
[M::worker_pipeline::868.207*24.96] mapped 12773 sequences
[M::worker_pipeline::879.639*25.03] mapped 13217 sequences
[M::worker_pipeline::889.938*25.05] mapped 14034 sequences
[M::worker_pipeline::907.853*25.26] mapped 15512 sequences
[M::worker_pipeline::923.241*25.43] mapped 12567 sequences
[M::worker_pipeline::933.489*25.54] mapped 9717 sequences
[M::worker_pipeline::944.748*25.63] mapped 9559 sequences
[M::worker_pipeline::958.015*25.75] mapped 9971 sequences
[M::worker_pipeline::972.485*25.85] mapped 9761 sequences
[M::worker_pipeline::984.998*25.98] mapped 9935 sequences
[M::worker_pipeline::999.786*26.07] mapped 10118 sequences
[M::worker_pipeline::1010.900*26.19] mapped 10073 sequences
[M::worker_pipeline::1022.981*26.28] mapped 10500 sequences
[M::worker_pipeline::1034.233*26.36] mapped 11445 sequences
[M::worker_pipeline::1046.303*26.46] mapped 12228 sequences
[M::worker_pipeline::1061.709*26.54] mapped 13486 sequences
[M::worker_pipeline::1080.767*26.64] mapped 13346 sequences
[M::worker_pipeline::1091.802*26.72] mapped 9422 sequences
[M::worker_pipeline::1103.562*26.80] mapped 9181 sequences
[M::worker_pipeline::1115.732*26.87] mapped 9253 sequences
[M::worker_pipeline::1166.341*26.34] mapped 9357 sequences
[M::worker_pipeline::1170.227*26.26] mapped 9530 sequences
[M::worker_pipeline::1186.929*26.39] mapped 9452 sequences
[M::worker_pipeline::1201.338*26.46] mapped 9809 sequences
[M::worker_pipeline::1215.370*26.54] mapped 9615 sequences
[M::worker_pipeline::1228.187*26.62] mapped 10194 sequences
[M::worker_pipeline::1241.796*26.69] mapped 11263 sequences
[M::worker_pipeline::1255.280*26.78] mapped 12260 sequences
[M::worker_pipeline::1274.386*26.87] mapped 13749 sequences
[M::worker_pipeline::1294.509*27.00] mapped 14660 sequences
[M::worker_pipeline::1307.156*27.06] mapped 9947 sequences
[M::worker_pipeline::1318.172*27.12] mapped 9755 sequences
[M::worker_pipeline::1330.299*27.20] mapped 10128 sequences
[M::worker_pipeline::1345.064*27.27] mapped 10148 sequences
[M::worker_pipeline::1361.249*27.31] mapped 10077 sequences
[M::worker_pipeline::1373.009*27.38] mapped 10132 sequences
[M::worker_pipeline::1386.830*27.45] mapped 10357 sequences
[M::worker_pipeline::1402.355*27.48] mapped 10279 sequences
[M::worker_pipeline::1413.745*27.54] mapped 11147 sequences
[M::worker_pipeline::1425.856*27.60] mapped 11653 sequences
[M::worker_pipeline::1441.171*27.65] mapped 12976 sequences
[M::worker_pipeline::1466.522*27.61] mapped 14112 sequences
[M::worker_pipeline::1524.738*27.16] mapped 14780 sequences
[M::worker_pipeline::1528.632*27.10] mapped 10247 sequences
[M::worker_pipeline::1546.474*27.15] mapped 10044 sequences
[M::worker_pipeline::1561.751*27.19] mapped 10546 sequences
[M::worker_pipeline::1576.266*27.23] mapped 10386 sequences
[M::worker_pipeline::1589.810*27.31] mapped 10404 sequences
[M::worker_pipeline::1604.989*27.37] mapped 10525 sequences
[M::worker_pipeline::1619.297*27.42] mapped 10752 sequences
[M::worker_pipeline::1633.976*27.44] mapped 10932 sequences
[M::worker_pipeline::1645.839*27.48] mapped 11696 sequences
[M::worker_pipeline::1657.672*27.52] mapped 12303 sequences
[M::worker_pipeline::1669.524*27.59] mapped 13424 sequences
[M::worker_pipeline::1690.951*27.70] mapped 15978 sequences
[M::worker_pipeline::1712.081*27.76] mapped 19021 sequences
[M::worker_pipeline::1724.292*27.81] mapped 12017 sequences
[M::worker_pipeline::1739.306*27.84] mapped 12243 sequences
[M::worker_pipeline::1755.229*27.85] mapped 12449 sequences
[M::worker_pipeline::1770.808*27.91] mapped 12441 sequences
[M::worker_pipeline::1784.669*27.95] mapped 12492 sequences
[M::worker_pipeline::1800.879*28.01] mapped 12444 sequences
[M::worker_pipeline::1819.162*28.05] mapped 12493 sequences
[M::worker_pipeline::1828.916*28.09] mapped 12949 sequences
[M::worker_pipeline::1842.260*28.15] mapped 13350 sequences
[M::worker_pipeline::1894.666*27.73] mapped 13942 sequences
[M::worker_pipeline::1899.069*27.67] mapped 15124 sequences
[M::worker_pipeline::1922.536*27.74] mapped 17711 sequences
[M::worker_pipeline::1939.884*27.79] mapped 12671 sequences
[M::worker_pipeline::1957.933*27.88] mapped 12476 sequences
[M::worker_pipeline::1972.250*27.90] mapped 12429 sequences
[M::worker_pipeline::1993.102*27.99] mapped 16961 sequences
[M::worker_pipeline::2005.671*28.04] mapped 11076 sequences
[M::worker_pipeline::2021.747*28.03] mapped 10554 sequences
[M::worker_pipeline::2035.573*28.07] mapped 10911 sequences
[M::worker_pipeline::2051.038*28.12] mapped 10901 sequences
[M::worker_pipeline::2068.430*28.16] mapped 10839 sequences
[M::worker_pipeline::2082.786*28.21] mapped 10830 sequences
[M::worker_pipeline::2096.182*28.27] mapped 11026 sequences
[M::worker_pipeline::2112.217*28.29] mapped 11182 sequences
[M::worker_pipeline::2125.852*28.33] mapped 12267 sequences
[M::worker_pipeline::2141.501*28.36] mapped 12804 sequences
[M::worker_pipeline::2155.361*28.39] mapped 13326 sequences
[M::worker_pipeline::2167.251*28.42] mapped 13397 sequences
[M::worker_pipeline::2184.766*28.48] mapped 12181 sequences
[M::worker_pipeline::2197.334*28.51] mapped 9546 sequences
[M::worker_pipeline::2210.381*28.55] mapped 9399 sequences
[M::worker_pipeline::2269.216*28.21] mapped 9561 sequences
[M::worker_pipeline::2273.557*28.15] mapped 9598 sequences
[M::worker_pipeline::2295.704*28.21] mapped 9565 sequences
[M::worker_pipeline::2311.316*28.25] mapped 9779 sequences
[M::worker_pipeline::2328.008*28.27] mapped 9801 sequences
[M::worker_pipeline::2342.148*28.32] mapped 10358 sequences
